Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bronson Arroyo     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Heath Bell         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chad Billingsley   R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Matt Cain          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Chris Carpenter    R   5   1   1   0   0   2   0   0   0   0   0  .200  .429  .400 
Zach Duke          L   9   4   1   0   0   0   0   0   0   0   0  .444  .444  .556 
Justin Germano     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Tom Gorzelanny     L   7   2   2   0   0   0   0   0   0   0   0  .286  .286  .571 
John Grabow        L   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Roy Halladay       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Livan Hernandez    R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
David Huff         L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Edwin Jackson      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Ubaldo Jimenez     R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Clayton Kershaw    L   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Hiroki Kuroda      R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Jon Lester         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ted Lilly          L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Tim Lincecum       R   8   1   0   1   0   0   0   1   0   0   0  .125  .125  .375 
Greg Maddux        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Maholm        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Shaun Marcum       R   7   3   2   0   0   0   0   0   0   0   0  .429  .429  .714 
Kris Medlen        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Wade Miley         L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Jon Niese          L   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Jake Peavy         R   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
David Price        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tyson Ross         R   4   1   1   0   0   0   0   3   0   0   0  .250  .250  .500 
Hyun-Jin Ryu       L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Chris Sale         L   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Huston Street      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Eric Stults        L   8   1   0   0   0   1   1   3   0   0   0  .125  .222  .125 
Nick Vincent       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Edinson Volquez    R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Brandon Webb       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Zack Wheeler       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Travis Wood        L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Carlos Zambrano    R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250
