Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L   3   2   0   0   1   1   0   0   0   1   0  .667  .750 1.667 
Ralph Branca       R   6   1   0   0   0   1   0   0   0   1   0  .167  .286  .167 
Moe Burtschy       R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Harry Byrd         R  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Art Ceccarelli     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Chakales       R  10   1   0   0   0   2   0   4   0   0   0  .100  .250  .100 
Joe Coleman        R  14   5   0   0   0   2   0   1   0   0   0  .357  .438  .357 
Sandy Consuegra    R   5   1   0   0   0   1   0   2   0   0   1  .200  .286  .200 
Art Ditmar         R   8   0   0   0   0   3   0   1   0   0   0  .000  .273  .000 
Sonny Dixon        R   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Dick Donovan       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Fritz Dorish       R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Bob Feller         R   9   1   0   1   0   0   0   1   0   0   0  .111  .111  .333 
Whitey Ford        L   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Howie Fox          R   3   2   0   1   0   1   0   0   0   0   0  .667  .750 1.333 
Marion Fricano     R   8   2   1   1   0   0   0   1   0   0   0  .250  .250  .625 
Mike Garcia        R  15   5   1   0   0   1   0   3   0   0   1  .333  .353  .400 
Ned Garver         R  17   4   0   0   0   1   0   3   0   0   0  .235  .278  .235 
Johnny Gray        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bob Grim           R  15   9   2   0   1   3   0   3   0   0   0  .600  .667  .933 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Gromek       R  12   3   1   0   0   1   0   1   0   0   0  .250  .308  .333 
Jack Harshman      L   8   0   0   0   0   2   0   2   0   0   0  .000  .200  .000 
Ray Herbert        R  10   4   1   0   1   2   1   0   0   0   0  .400  .500  .800 
Billy Hoeft        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Art Houtteman      R  16   3   1   0   0   3   0   1   0   0   1  .188  .300  .250 
Don Johnson        R  11   2   0   0   0   0   0   2   0   0   1  .182  .167  .182 
Bob Keegan         R  26   4   0   1   0   2   0   2   0   0   0  .154  .214  .231 
Gus Keriazakos     R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Lou Kretlow        R  10   4   0   0   0   1   0   1   0   0   0  .400  .455  .400 
Don Larsen         R  12   3   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Frank Lary         R   7   3   2   0   0   0   0   1   0   0   0  .429  .429  .714 
Bob Lemon          R  15   3   0   0   1   4   0   2   0   0   0  .200  .368  .400 
Duke Maas          R   8   4   2   0   0   1   0   1   0   0   0  .500  .556  .750 
Dick Marlowe       R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Connie Marrero     R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Morrie Martin      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim McDonald       R   8   3   0   0   0   1   0   2   0   0   0  .375  .444  .375 
Bob Miller         L   2   0   0   0   0   1   0   0   0   1   1  .000  .250  .000 
Tom Morgan         R  12   5   1   0   1   1   0   0   0   0   0  .417  .462  .750 
Don Mossi          L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Narleski       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Oster         L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Camilo Pascual     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Duane Pillette     R  14   4   2   0   0   0   0   0   0   1   0  .286  .286  .429 
Bob Porterfield    R  11   4   0   1   0   1   0   2   0   0   0  .364  .417  .545 
A. Portocarrero    R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Allie Reynolds     R  10   2   0   0   1   1   0   3   0   1   0  .200  .273  .500 
Johnny Sain        R   9   3   1   1   0   0   0   2   0   0   0  .333  .333  .667 
Spec Shea          R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Bob Trice          R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Virgil Trucks      R  13   5   1   0   1   2   0   3   0   0   0  .385  .467  .692 
Bob Turley         R  25   3   1   0   0   4   0   4   0   0   0  .120  .241  .160 
O. Van Brabant     R   3   2   1   0   1   1   0   0   0   0   0  .667  .750 2.000 
Early Wynn         R   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000 
George Zuverink    R  12   2   0   0   0   0   0   0   0   0   0  .167  .167  .167
