Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Brian Anderson     L   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Kevin Appier       R   3   1   0   0   1   0   0   1   1   0   0  .333  .500 1.333 
Pedro Astacio      R   5   1   0   1   0   0   0   1   0   0   0  .200  .200  .600 
Matt Beech         L   6   2   2   0   0   1   0   1   0   0   0  .333  .429  .667 
Tim Belcher        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Andy Benes         R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Shayne Bennett     R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jason Bere         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Mike Bielecki      R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Willie Blair       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ricky Bones        R  13   1   0   0   0   0   0   2   0   0   0  .077  .077  .077 
Kent Bottenfield   R   8   3   1   0   0   0   0   3   0   0   0  .375  .375  .500 
Jeff Brantley      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Tony Castillo      L   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Frank Castillo     R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Bobby Chouinard    R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Roger Clemens      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Steve Cooke        L   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Omar Daal          L  10   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Danny Darwin       R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Mike DeJean        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Cal Eldred         R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Scott Erickson     R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Shawn Estes        L  13   4   0   0   0   1   0   2   0   0   0  .308  .357  .308 
Scott Eyre         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
