Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Anderson     L   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Andy Ashby         R   9   2   0   0   0   2   0   1   0   0   0  .222  .364  .222 
Pedro Astacio      R   8   1   0   0   1   2   0   3   0   0   0  .125  .300  .500 
Roger Bailey       R   9   3   1   0   0   0   0   1   2   0   0  .333  .455  .444 
Miguel Batista     R   3   1   1   0   0   1   0   1   0   0   1  .333  .400  .667 
Andy Benes         R   7   1   0   1   0   0   0   1   0   0   0  .143  .143  .429 
Kris Benson        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Mike Bielecki      R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Brian Boehringer   R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Brian Bohanon      L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Toby Borland       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Ricky Bottalico    R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Kent Bottenfield   R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Steve Bourgeois    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Kevin Brown        R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Dave Burba         R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Paul Byrd          R   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
Tom Candiotti      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dan Carlson        R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Hector Carrasco    R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Castillo     R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Mark Clark         R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Brad Clontz        R   6   1   1   0   0   0   0   3   0   1   0  .167  .167  .333 
Doug Creek         L   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Omar Daal          L   9   5   0   0   2   3   0   0   0   0   0  .556  .667 1.222 
Danny Darwin       R  13   1   0   0   0   0   0   4   0   0   0  .077  .077  .077 
Jerry DiPoto       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Cal Eldred         R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Shawn Estes        L  13   5   1   1   0   1   0   2   0   0   0  .385  .429  .615 
Jeff Fassero       L   2   1   0   0   0   1   0   0   0   1   0  .500  .667  .500 
Alex Fernandez     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Foster       R   6   3   0   1   0   2   0   0   0   0   0  .500  .625  .833 
Ramon Garcia       R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Mark Gardner       R  20   4   1   0   1   1   0   4   0   1   0  .200  .238  .400 
Tom Glavine        L  10   3   1   0   0   4   0   3   0   0   1  .300  .467  .400 
Joey Hamilton      R   8   2   0   1   0   2   0   3   0   0   0  .250  .400  .500 
Mike Hampton       L  13   2   0   0   0   1   0   3   0   1   0  .154  .214  .154 
Pete Harnisch      R   7   2   1   0   0   0   0   4   0   0   0  .286  .286  .429 
Rick Helling       R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Doug Henry         R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Livan Hernandez    R  10   4   0   0   0   0   0   1   0   0   0  .400  .400  .400 
S. Hitchcock       L  10   3   1   0   0   2   0   3   0   0   0  .300  .417  .400 
Trevor Hoffman     R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Bobby Jones        L   4   1   0   0   0   1   0   3   1   0   0  .250  .500  .250 
Jeff Juden         R   2   1   0   0   0   0   0   1   2   0   0  .500  .750  .500 
Scott Karl         L  13   1   1   0   0   0   0   2   0   0   0  .077  .077  .154 
Darryl Kile        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Al Leiter          L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Curt Leskanic      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Greg Maddux        R  12   3   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Calvin Maduro      R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Ramon Martinez     R  11   4   2   0   0   0   0   2   0   0   0  .364  .364  .545 
Rafael Medina      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jose Mercedes      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kent Mercker       L   8   6   4   0   0   2   0   1   0   0   0  .750  .800 1.250 
Jose Mesa          R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Kevin Millwood     R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Eric Milton        L   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
Dave Mlicki        R  12   5   0   0   0   1   0   2   0   0   0  .417  .462  .417 
Mike Morgan        R   6   4   1   0   0   0   0   0   2   0   1  .667  .667  .833 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Terry Mulholland   L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bobby Munoz        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Charles Nagy       R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Jaime Navarro      R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Denny Neagle       L   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Hideo Nomo         R   5   1   0   0   0   1   0   4   0   0   0  .200  .333  .200 
Darren Oliver      L   5   4   2   0   0   0   0   0   1   0   0  .800  .833 1.200 
Donovan Osborne    L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chan Ho Park       R   8   4   0   0   1   0   0   2   0   0   0  .500  .500  .875 
Jim Parque         L   3   0   0   0   0   0   0   3   1   0   0  .000  .250  .000 
Carlos Perez       L  13   1   0   0   0   1   0   2   0   0   0  .077  .143  .077 
Robert Person      R   1   0   0   0   0   2   0   0   0   1   0  .000  .667  .000 
Mark Petkovsek     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Scott Radinsky     L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rick Reed          R   5   2   0   1   0   0   0   1   0   0   0  .400  .400  .800 
Mike Remlinger     L   2   1   1   0   0   2   0   1   1   0   0  .500  .800 1.000 
Dennys Reyes       L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Shane Reynolds     R   7   4   1   0   0   0   0   0   0   0   0  .571  .571  .714 
Armando Reynoso    R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kevin Ritz         R  11   4   2   1   0   0   0   2   0   0   0  .364  .364  .727 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rich Rodriguez     L   4   0   0   0   0   2   1   1   0   0   0  .000  .333  .000 
Mel Rojas          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Kirk Rueter        L  12   6   2   0   0   0   0   4   0   0   0  .500  .500  .667 
Jesus Sanchez      L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Curt Schilling     R  17   4   0   0   0   2   0   3   0   1   0  .235  .316  .235 
Pete Schourek      L   7   2   0   0   0   1   0   4   0   0   0  .286  .375  .286 
Aaron Sele         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dan Serafini       L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff Shaw          R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Mike Sirotka       L   7   4   0   0   0   1   0   1   0   0   0  .571  .625  .571 
John Smiley        L   8   2   1   0   0   0   0   3   0   0   0  .250  .250  .375 
Pete Smith         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Smoltz        R  17   1   0   0   0   0   0   4   0   1   0  .059  .059  .059 
Jerry Spradlin     R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Russ Springer      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Anthony Telford    R   5   2   0   0   0   1   0   1   0   1   0  .400  .500  .400 
Bob Tewksbury      R   6   2   0   0   0   0   0   1   1   0   0  .333  .429  .333 
Mark Thompson      R   7   3   1   0   0   0   0   1   1   0   2  .429  .400  .571 
John Thomson       R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Brett Tomko        R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Trachsel     R  10   3   2   0   0   1   0   3   0   0   0  .300  .364  .500 
Ismael Valdez      R  10   1   0   0   0   0   0   5   0   0   0  .100  .100  .100 
F. Valenzuela      L   9   4   0   0   1   1   0   0   0   0   0  .444  .500  .778 
W. VanLandingham   R   6   3   0   0   0   0   0   0   1   0   0  .500  .571  .500 
Terrell Wade       L   8   0   0   0   0   1   0   2   0   1   0  .000  .111  .000 
Billy Wagner       L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Donne Wall         R  12   2   0   0   0   0   0   3   1   0   0  .167  .231  .167 
Allen Watson       L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
David Wells        L   3   1   1   0   0   0   0   0   0   1   0  .333  .333  .667 
Gabe White         L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Steve Woodard      R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Tim Worrell        R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Jamey Wright       R   9   3   1   0   0   2   0   3   0   0   0  .333  .455  .444
