Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Antonelli   L  10   1   0   0   0   3   0   4   0   0   0  .100  .308  .100 
Fred Baczewski     L  10   3   0   0   0   1   0   1   0   0   0  .300  .364  .300 
Ralph Beard        R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Al Brazle          L   1   0   0   0   0   1   0   0   0   1   1  .000  .333  .000 
Bob Buhl           R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Lew Burdette       R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jackie Collum      L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Gene Conley        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Davis          L  10   3   1   0   1   3   0   1   0   0   0  .300  .462  .700 
Murry Dickson      R   4   1   0   1   0   1   0   1   0   0   0  .250  .400  .750 
Carl Erskine       R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Art Fowler         R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Charlie Gorin      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Warren Hacker      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Harvey Haddix      L  16   0   0   0   0   1   0   4   0   0   0  .000  .059  .000 
Jim Hearn          R   9   2   1   0   0   1   0   0   0   0   0  .222  .300  .333 
Larry Jansen       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Howie Judson       R   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Brooks Lawrence    R   9   1   0   1   0   0   0   2   0   0   0  .111  .111  .333 
Don Liddle         L   5   0   0   0   0   2   0   2   0   0   0  .000  .286  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Billy Loes         R   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Sal Maglie         R   8   6   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Windy McCall       L   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Russ Meyer         R  10   3   1   0   0   0   0   2   0   0   1  .300  .273  .400 
Bob Miller         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Paul Minner        L  16   5   1   0   0   3   0   2   0   0   0  .313  .421  .375 
Chet Nichols       L   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Joe Nuxhall        L  18   3   0   0   0   2   0   4   0   0   0  .167  .250  .167 
Erv Palica         R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Harry Perkowski    L   5   2   0   0   0   3   0   0   0   0   0  .400  .625  .400 
Bud Podbielan      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Johnny Podres      L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Tom Poholsky       R  14   2   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Howie Pollet       L   8   2   0   1   0   0   0   1   0   0   0  .250  .250  .500 
Steve Ridzik       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Robin Roberts      R  12   1   0   0   0   1   0   6   0   0   0  .083  .154  .083 
Preacher Roe       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Rush           R  10   1   0   1   0   2   0   3   0   0   0  .100  .250  .300 
Curt Simmons       L  21   4   0   0   0   2   0   3   0   0   0  .190  .261  .190 
Frank Smith        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Warren Spahn       L  20   3   0   0   0   3   0   4   0   1   0  .150  .261  .150 
Karl Spooner       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Gerry Staley       R   5   2   0   0   0   0   0   1   0   0   1  .400  .333  .400 
Corky Valentine    R  16   4   1   0   0   2   0   0   0   0   0  .250  .333  .313 
Ben Wade           R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Herm Wehmeier      R   8   5   2   2   0   2   0   0   0   0   0  .625  .700 1.375 
Hoyt Wilhelm       R   4   0   0   0   0   2   0   1   2   0   0  .000  .500  .000 
Jim Wilson         R   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000
