Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Stan Bahnsen       R   9   1   0   0   1   2   0   4   0   0   0  .111  .273  .444 
Steve Barber       L   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Vida Blue          L  13   0   0   0   0   2   0   4   0   0   0  .000  .133  .000 
Tom Bradley        R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Ken Brett          L   7   3   1   0   0   3   0   1   0   0   0  .429  .600  .571 
George Brunet      L  11   5   1   0   0   3   0   4   0   0   0  .455  .571  .545 
Tom Burgmeier      L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Bill Butler        L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Les Cain           L   9   1   0   0   0   1   0   3   1   0   0  .111  .273  .111 
Cisco Carlos       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Casey Cox          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Mike Cuellar       L  22   5   0   0   1   3   1   7   0   0   0  .227  .320  .364 
Ray Culp           R  22   6   0   0   2   0   0   5   0   0   0  .273  .273  .545 
Bruce Dal Canton   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Chuck Dobson       R   6   4   2   0   1   0   0   2   0   0   0  .667  .667 1.500 
Pat Dobson         R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Al Downing         L  11   5   1   0   1   3   0   2   0   0   0  .455  .571  .818 
Dick Drago         R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Dick Ellsworth     L  10   4   1   0   0   0   0   2   0   0   0  .400  .400  .500 
Eddie Fisher       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Fisher        R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Joe Grzenda        L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Tom Hall           L   8   3   0   0   1   0   0   1   0   0   0  .375  .375  .750 
Steve Hamilton     L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Hargan       R   6   3   0   0   1   1   0   0   0   0   0  .500  .571 1.000 
Mike Hedlund       R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
John Hiller        L  10   2   1   0   1   0   0   2   0   0   0  .200  .200  .600 
Joe Horlen         R  11   2   0   0   0   0   0   1   0   0   0  .182  .182  .182 
Catfish Hunter     R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Gerry Janeski      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Tommy John         L  22   8   1   0   1   3   0   4   0   0   1  .364  .423  .545 
Bart Johnson       R  10   1   0   0   1   2   0   2   0   0   0  .100  .250  .400 
Jim Kaat           L  15   6   1   0   0   2   0   6   0   0   0  .400  .471  .467 
Mike Kekich        L  10   1   0   0   0   2   0   3   0   0   0  .100  .250  .100 
Mike Kilkenny      L   6   0   0   0   0   4   0   1   0   0   0  .000  .400  .000 
Steve Kline        R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Lew Krausse        R   9   5   0   0   2   0   0   0   0   0   0  .556  .556 1.222 
Bill Landis        L   8   3   0   0   1   2   0   3   0   0   0  .375  .500  .750 
Dave LaRoche       L   4   0   0   0   0   1   1   2   0   0   0  .000  .200  .000 
G. Lauzerique      R   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
