Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alfredo Aceves     R   7   2   1   0   0   1   0   1   0   0   0  .286  .375  .429 
Matt Albers        R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Jake Arrieta       R   7   1   0   0   1   2   0   1   0   0   0  .143  .333  .571 
Dylan Axelrod      R   5   2   0   0   1   0   0   2   1   0   0  .400  .500 1.000 
Daniel Bard        R   4   0   0   0   0   3   0   2   0   0   0  .000  .429  .000 
Brandon Beachy     R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Joaquin Benoit     R   3   0   0   0   0   0   0   3   0   0   1  .000  .000  .000 
Brad Bergesen      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Nick Blackburn     R   8   2   0   0   1   1   0   1   0   0   0  .250  .333  .625 
Travis Blackley    L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Craig Breslow      L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Zach Britton       L   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Clay Buchholz      R  22   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Mark Buehrle       L   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Trevor Cahill      R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Fausto Carmona     R   9   3   1   0   0   0   0   4   0   0   0  .333  .333  .444 
Alex Cobb          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Phil Coke          L   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Bartolo Colon      R   8   2   1   0   1   1   0   4   0   0   1  .250  .300  .750 
Kevin Correia      R   6   2   0   0   0   1   0   2   1   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jarred Cosart      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John Danks         L   3   2   1   0   1   2   0   0   0   0   0  .667  .800 2.000 
Yu Darvish         R  12   1   0   0   1   0   0   5   0   0   0  .083  .083  .333 
Wade Davis         R  14   4   1   0   1   1   0   2   0   0   0  .286  .333  .571 
Ryan Dempster      R  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
Scott Diamond      L   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
R.A. Dickey        R   4   1   0   0   1   0   0   1   1   0   0  .250  .400 1.000 
Felix Doubront     L  12   2   1   0   1   1   0   5   0   0   0  .167  .231  .500 
Danny Duffy        L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Roenis Elias       L   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
Scott Feldman      R  11   1   0   0   0   1   0   3   0   0   0  .091  .167  .091 
Doug Fister        R   5   0   0   0   0   1   0   2   1   0   0  .000  .286  .000 
Gavin Floyd        R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Jeff Francis       L   7   3   1   0   2   0   0   1   0   0   0  .429  .429 1.429 
Freddy Garcia      R   5   3   0   0   1   1   0   1   1   0   0  .600  .714 1.200 
Chad Gaudin        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kevin Gausman      R   8   3   1   0   2   0   0   2   0   0   0  .375  .375 1.250 
Brandon Gomes      R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Gio Gonzalez       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Miguel Gonzalez    R  14   3   3   0   0   2   0   2   0   0   0  .214  .313  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sonny Gray         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Kevin Gregg        R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Jeremy Guthrie     R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Roy Halladay       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jason Hammel       R  15   3   0   0   0   1   0   5   0   0   0  .200  .250  .200 
Rich Harden        R   4   1   0   0   0   2   0   2   0   0   0  .250  .500  .250 
