Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  20   4   0   0   0   2   0   4   0   0   0  .200  .273  .200 
Glenn Abbott       R  26   8   1   1   2   2   0   6   1   0   1  .308  .367  .654 
Jim Acker          R  12   1   1   0   0   0   0   2   0   0   0  .083  .083  .167 
Juan Agosto        L   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Doyle Alexander    R  26   6   1   0   2   1   0   5   0   0   2  .231  .241  .500 
Neil Allen         R  14   6   0   0   1   0   0   4   0   1   1  .429  .400  .643 
Larry Andersen     R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Allan Anderson     L  17   6   0   0   0   0   0   3   0   0   0  .353  .353  .353 
Bud Anderson       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Luis Aponte        R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Luis Aquino        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Mike Armstrong     R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Fernando Arroyo    R   7   3   0   0   1   0   0   0   0   0   0  .429  .429  .857 
Keith Atherton     R  16   5   0   0   1   0   0   6   0   0   0  .313  .313  .500 
Jerry Augustine    L   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Mike Bacsik        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Scott Bailes       L  13   5   0   0   2   0   0   0   0   0   0  .385  .385  .846 
Doug Bair          R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Jeff Ballard       L  10   4   0   0   1   0   0   0   0   0   0  .400  .400  .700 
Scott Bankhead     R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Floyd Bannister    L  57  13   2   0   2   3   0  19   0   0   0  .228  .267  .368 
Len Barker         R  34   5   0   0   1   2   0  14   0   0   1  .147  .189  .235 
Mike Barlow        R   8   3   0   0   1   0   0   1   0   0   0  .375  .375  .750 
Salome Barojas     R  12   2   1   0   0   0   0   1   0   0   0  .167  .167  .250 
Jim Barr           R  11   2   0   0   1   0   0   2   1   0   0  .182  .250  .455 
F. Barrios         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Ross Baumgarten    L  12   5   0   0   0   0   0   1   0   0   0  .417  .417  .417 
Jose Bautista      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Beard         R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Jim Beattie        R  39  12   1   0   2   1   0   9   0   0   0  .308  .325  .487 
Joe Beckwith       R   7   1   0   0   1   0   0   2   0   0   1  .143  .125  .571 
Eric Bell          L   8   3   1   0   1   0   0   1   0   0   0  .375  .375  .875 
Juan Berenguer     R  27   4   1   0   1   1   0  13   0   0   0  .148  .179  .296 
Doug Bird          R   9   2   1   1   0   0   0   4   0   0   1  .222  .200  .556 
Buddy Black        L  34   9   3   0   0   0   0   6   0   0   1  .265  .257  .353 
Vida Blue          L   5   1   0   0   0   1   1   0   0   0   0  .200  .333  .200 
Bert Blyleven      R  23  10   2   0   0   1   0   3   0   0   0  .435  .458  .522 
Mike Boddicker     R  38   9   2   0   2   3   0  12   0   0   0  .237  .293  .447 
Mark Bomback       R   6   1   0   0   0   2   0   1   0   0   1  .167  .333  .167 
Rich Bordi         R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Brett          L  11   2   0   0   1   0   0   1   0   0   0  .182  .182  .455 
Kevin Brown        R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Tom Burgmeier      L  15   2   1   0   0   0   0   1   0   0   0  .133  .133  .200 
Britt Burns        L  37   8   2   1   2   2   1   9   0   0   0  .216  .256  .486 
Todd Burns         R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Ray Burris         R   8   3   1   0   1   1   0   2   0   0   0  .375  .444  .875 
Tom Buskey         R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
John Butcher       R  32  11   3   0   0   1   1   5   0   0   0  .344  .364  .438 
Greg Cadaret       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Mike Caldwell      L  26   8   2   0   0   1   0   3   0   0   0  .308  .333  .385 
Ernie Camacho      R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Campbell      R   7   2   0   0   1   0   0   3   0   0   0  .286  .286  .714 
Tom Candiotti      R  13   3   0   0   1   2   0   1   1   0   0  .231  .375  .462 
Bobby Castillo     R  11   6   1   0   1   1   0   1   0   0   0  .545  .583  .909 
Bill Castro        R   6   1   0   0   0   0   0   1   0   0   2  .167  .125  .167 
Bill Caudill       R   9   3   1   0   2   0   0   1   0   0   0  .333  .333 1.111 
John Cerutti       L  14   5   1   0   0   0   0   1   0   0   0  .357  .357  .429 
C. Chamberlain     R   3   3   1   0   2   1   0   0   0   0   0 1.000 1.000 3.333 
Jim Clancy         R  58  13   0   1   3   0   0  14   0   0   0  .224  .224  .414 
Bryan Clark        L  22   5   2   0   1   2   1   2   0   0   0  .227  .292  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Clay           R   8   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Mark Clear         R  17   1   0   0   0   3   0  11   0   0   0  .059  .200  .059 
Roger Clemens      R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Pat Clements       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Reggie Cleveland   R  15   1   0   0   0   1   0   5   0   0   0  .067  .125  .067 
Jaime Cocanower    R  13   4   0   0   0   1   0   2   0   0   0  .308  .357  .308 
Chris Codiroli     R  16   3   0   1   1   1   0   4   0   0   0  .188  .235  .500 
Jim Colborn        R  12   3   0   0   1   0   0   4   0   0   0  .250  .250  .500 
Steve Comer        R  12   3   0   0   1   0   0   3   0   0   0  .250  .250  .500 
Tim Conroy         L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Doug Corbett       R  20   6   0   0   1   0   0   4   0   0   0  .300  .300  .450 
Ed Correa          R  11   1   1   0   0   2   0   4   0   0   0  .091  .231  .182 
Joe Cowley         R  19   1   0   0   0   0   0   7   0   0   0  .053  .053  .053 
Jim Crawford       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Steve Crawford     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Keith Creel        R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Victor Cruz        R  10   2   0   0   2   0   0   6   0   0   0  .200  .200  .800 
Danny Darwin       R  32   9   0   0   1   0   0   7   0   0   0  .281  .281  .375 
Storm Davis        R  19   6   2   1   1   0   0   5   0   0   0  .316  .316  .684 
Ron Davis          R  22   4   0   0   1   0   0   9   0   0   0  .182  .182  .318 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Dawley        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose DeLeon        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Brian Denman       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Denny         R  16   2   0   0   0   1   0   6   0   0   0  .125  .176  .125 
Adrian Devine      R   5   2   0   0   0   0   0   2   0   1   0  .400  .400  .400 
Ken Dixon          R  19   4   1   0   1   1   0   8   0   0   0  .211  .250  .421 
Pat Dobson         R   7   4   0   0   1   0   0   2   0   0   0  .571  .571 1.000 
Richard Dotson     R  41  15   4   0   4   6   0   8   0   0   1  .366  .438  .756 
Doug Drabek        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dick Drago         R   4   2   0   0   1   0   0   1   0   0   1  .500  .400 1.250 
Rob Dressler       R   8   3   0   0   1   0   0   1   0   0   0  .375  .375  .750 
Jamie Easterly     L  10   4   1   0   1   1   0   1   0   0   0  .400  .455  .800 
Dennis Eckersley   R  27   5   1   0   2   1   0  12   0   0   0  .185  .214  .444 
Mark Eichhorn      R   8   3   1   0   0   2   0   2   0   0   0  .375  .500  .500 
Dock Ellis         R  12   0   0   0   0   1   0   3   0   0   2  .000  .067  .000 
Roger Erickson     R  33   5   1   0   1   2   0   8   0   0   0  .152  .200  .273 
Pete Falcone       L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Ed Farmer          R   2   0   0   0   0   2   1   2   0   0   0  .000  .500  .000 
Steve Farr         R  15   2   0   0   1   1   0   6   1   0   0  .133  .235  .333 
John Farrell       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
