Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Floyd Bannister    L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Mike Caldwell      L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
John Candelaria    L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Crawford       L   2   1   0   0   0   1   0   0   0   0   1  .500  .500  .500 
John Curtis        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Al Downing         L   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Pete Falcone       L   4   2   0   0   0   0   0   2   0   0   1  .500  .400  .500 
Woodie Fryman      L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Charlie Hough      R   2   1   0   0   0   0   0   1   1   1   0  .500  .667  .500 
Grant Jackson      L   3   1   0   1   0   1   0   1   0   0   0  .333  .500 1.000 
Tommy John         L  16   3   0   0   0   1   0   3   0   0   0  .188  .235  .188 
Randy Jones        L  19   2   0   0   0   0   0   2   0   0   0  .105  .105  .105 
Jim Kaat           L   8   5   1   1   0   1   0   1   0   0   0  .625  .667 1.000 
Bob Knepper        L  10   1   1   0   0   0   0   4   0   0   0  .100  .100  .200 
Jerry Koosman      L   9   1   1   0   0   2   0   5   0   0   0  .111  .273  .222 
Jon Matlack        L   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Joe Niekro         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Phil Niekro        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Owchinko       L   4   1   1   0   0   2   0   0   0   0   0  .250  .500  .500 
Juan Pizarro       L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Rau           L   5   4   1   0   0   1   0   1   0   0   0  .800  .833 1.000 
Jerry Reuss        L   8   2   0   1   1   2   0   1   0   0   0  .250  .400  .875 
Dave Roberts       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Joe Sambito        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Bob Shirley        L  11   3   0   0   0   2   0   2   0   0   0  .273  .385  .273 
Brent Strom        L   5   3   0   0   2   1   0   1   0   0   0  .600  .667 1.800 
Dave Tomlin        L   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Tom Underwood      L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400
