Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Anderson     L   8   0   0   0   0   0   0   3   0   3   0  .000  .000  .000 
Pedro Astacio      R  13   1   1   0   0   0   0   6   0   2   0  .077  .077  .154 
Brian Bohanon      L   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Shawn Boskie       R   1   0   0   0   0   0   0   0   0   3   0  .000  .000  .000 
John Burke         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Burkett       R   2   0   0   0   0   0   0   1   0   1   1  .000  .000  .000 
Tom Candiotti      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mark Clark         R  11   1   1   0   0   0   0   2   0   0   0  .091  .091  .182 
Steve Cooke        L   4   1   0   0   0   0   0   2   0   1   0  .250  .250  .250 
Danny Darwin       R   4   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Elmer Dessens      R   3   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Doug Drabek        R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Darren Dreifort    R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Jeff Fassero       L   2   0   0   0   0   0   0   1   0   3   0  .000  .000  .000 
Sid Fernandez      L   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Mark Gardner       R   2   0   0   0   0   0   0   0   0   2   0  .000  .000  .000 
Tom Glavine        L  11   1   0   0   0   0   0   4   0   2   0  .091  .091  .091 
Mike Hampton       L   5   1   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Danny Jackson      L   4   0   0   0   0   1   0   4   0   2   0  .000  .200  .000 
Jason Jennings     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Randy Johnson      L   3   1   0   0   0   0   0   2   0   2   0  .333  .333  .333 
Bobby Jones        R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Darryl Kile        R  10   0   0   0   0   0   0   7   0   0   0  .000  .000  .000 
Jon Lieber         R   5   1   0   0   0   1   0   3   0   0   0  .200  .333  .200 
Greg Maddux        R   9   1   0   0   0   0   0   4   0   1   0  .111  .111  .111 
Pedro Martinez     R   4   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Wade Miller        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave Mlicki        R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Morgan        R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Terry Mulholland   L   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Denny Neagle       L   5   1   1   0   0   1   0   2   0   1   0  .200  .333  .400 
David Nied         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Hideo Nomo         R   3   0   0   0   0   1   0   2   0   1   0  .000  .250  .000 
Kirt Ojala         L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Donovan Osborne    L   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Mark Portugal      R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Pat Rapp           R   3   2   0   0   0   0   0   1   0   1   0  .667  .667  .667 
Shane Reynolds     R   9   2   0   0   0   0   0   1   0   1   0  .222  .222  .222 
Armando Reynoso    R   7   5   2   0   0   0   0   0   0   1   0  .714  .714 1.000 
Jose Rijo          R   3   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kirk Rueter        L   4   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Curt Schilling     R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jason Schmidt      R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
John Smoltz        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Snyder        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Thurman       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Brett Tomko        R   8   1   0   0   0   0   0   2   0   2   0  .125  .125  .125 
Steve Trachsel     R   8   1   1   0   0   0   0   2   0   3   0  .125  .125  .250 
Ismael Valdez      R   8   1   0   0   0   0   0   3   0   1   0  .125  .125  .125 
Javier Vazquez     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Paul Wagner        R   6   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Allen Watson       L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Gabe White         L   4   1   0   0   0   0   0   2   0   1   0  .250  .250  .250 
Paul Wilson        R   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Masato Yoshii      R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000
