Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Jeremy Accardo     R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Jeremy Affeldt     L   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Greg Aquino        R   3   0   0   0   0   2   0   1   1   0   0  .000  .500  .000 
Tony Armas         R   9   2   0   0   1   1   0   0   0   0   0  .222  .300  .556 
Bronson Arroyo     R   9   4   1   0   0   0   0   1   0   0   0  .444  .444  .556 
Pedro Astacio      R   6   3   1   0   0   1   0   0   0   0   0  .500  .571  .667 
Luis Ayala         R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Brian Bannister    R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Miguel Batista     R  17   5   1   0   0   1   0   2   0   0   0  .294  .333  .353 
Josh Beckett       R  10   6   1   0   1   1   0   1   1   0   0  .600  .667 1.000 
Joe Beimel         L   5   2   1   0   0   0   0   2   0   0   1  .400  .333  .600 
Ronald Belisario   R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Matt Belisle       R   7   4   1   0   1   0   0   0   0   0   0  .571  .571 1.143 
Heath Bell         R   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Armando Benitez    R   6   2   0   0   0   0   0   3   0   0   1  .333  .286  .333 
Jason Bergmann     R   4   1   0   0   0   1   0   0   0   0   1  .250  .333  .250 
Chad Billingsley   R  17   1   0   0   0   4   0   5   0   0   0  .059  .238  .059 
Nick Blackburn     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Dave Borkowski     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dallas Braden      L   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Bill Bray          L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Craig Breslow      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Doug Brocail       R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Jonathan Broxton   R  20   3   0   0   0   1   0   5   0   0   0  .150  .190  .150 
Brian Bruney       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
David Bush         R   7   3   0   0   0   1   0   2   0   0   0  .429  .500  .429 
Daniel Cabrera     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Trevor Cahill      R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Matt Cain          R  40  13   4   1   2   4   0   3   0   0   0  .325  .386  .625 
Kiko Calero        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Kevin Cameron      R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Chris Capuano      L  17   4   1   0   1   1   0   2   0   0   0  .235  .278  .471 
Chris Carpenter    R  12   0   0   0   0   2   0   2   0   0   0  .000  .143  .000 
Giovanni Carrara   R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Scott Cassidy      R   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
Shawn Chacon       R   6   2   1   0   1   0   0   2   0   0   0  .333  .333 1.000 
Vinnie Chulk       R  10   3   1   0   0   2   1   1   0   0   0  .300  .417  .400 
Brandon Claussen   L   5   1   1   0   0   1   1   0   0   0   0  .200  .333  .400 
Roger Clemens      R   7   3   0   0   1   1   0   0   0   0   0  .429  .500  .857 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Clay Condrey       R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Jose Contreras     R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Lance Cormier      R   4   3   2   0   0   0   0   0   0   0   0  .750  .750 1.250 
Kevin Correia      R  18   6   3   0   1   0   0   2   0   0   1  .333  .316  .667 
Juan Cruz          R   8   2   1   0   0   1   0   2   0   0   0  .250  .333  .375 
Jeff D'Amico       R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Kyle Davies        R  11   2   0   0   0   0   0   2   0   0   0  .182  .182  .182 
Doug Davis         L  13   5   1   0   0   0   0   4   0   0   1  .385  .357  .462 
Elmer Dessens      R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
B. Duckworth       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Zach Duke          L  14   4   0   0   0   2   0   1   0   0   0  .286  .375  .286 
Chad Durbin        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Adam Eaton         R  22   6   1   0   0   2   0   3   1   0   0  .273  .360  .318 
Shawn Estes        L   7   2   0   0   1   1   0   0   0   0   0  .286  .375  .714 
Dana Eveland       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Scott Eyre         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Randy Flores       L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Gavin Floyd        R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Josh Fogg          R   6   2   1   0   1   1   0   1   1   0   1  .333  .444 1.000 
Casey Fossum       L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ryan Franklin      R   4   2   0   0   1   2   0   1   0   0   0  .500  .667 1.250 
Sean Gallagher     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Yovani Gallardo    R   4   3   1   0   0   0   0   1   0   0   0  .750  .750 1.000 
Jon Garland        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Matt Garza         R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chad Gaudin        R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Geoff Geary        R   6   2   1   0   0   3   0   0   0   0   0  .333  .556  .500 
Josh Geer          R   8   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Justin Germano     R   8   6   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Tom Glavine        L  14   3   1   0   0   0   0   0   0   0   0  .214  .214  .286 
Edgar Gonzalez     R  10   5   2   0   0   0   0   3   0   0   0  .500  .500  .700 
Mike Gonzalez      L   5   3   1   0   1   0   0   1   0   0   0  .600  .600 1.400 
Tom Gorzelanny     L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
John Grabow        L   4   1   1   0   0   4   0   0   0   0   0  .250  .625  .500 
Luke Gregerson     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Gregg        R   8   4   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Zack Greinke       R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Angel Guzman       R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Justin Hampson     L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Joel Hanrahan      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Aaron Harang       R  18   5   2   0   0   1   0   2   0   0   0  .278  .316  .389 
Rich Harden        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Dan Haren          R  22   5   0   0   1   0   0   5   0   0   0  .227  .227  .364 
Aaron Heilman      R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Mark Hendrickson   L  11   3   0   0   0   1   0   1   0   0   1  .273  .308  .273 
Brad Hennessey     R  13   2   0   0   0   2   0   1   0   0   0  .154  .267  .154 
Clay Hensley       R  23  10   4   0   0   2   0   3   0   0   0  .435  .480  .609 
Matt Herges        R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Livan Hernandez    R  21   4   1   0   0   4   0   3   0   0   1  .190  .308  .238 
Felix Hernandez    R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
O. Hernandez       R  14   4   1   0   0   3   0   3   0   0   0  .286  .412  .357 
Yoslan Herrera     R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Rich Hill          L   7   2   0   0   1   1   0   0   0   0   0  .286  .375  .714 
Trevor Hoffman     R  12   2   0   0   0   1   0   5   0   0   0  .167  .231  .167 
D.J. Houlton       R  10   5   1   0   2   0   0   2   0   0   0  .500  .500 1.200 
Bob Howry          R   7   3   0   0   1   0   0   1   0   0   0  .429  .429  .857 
Tim Hudson         R  12   1   1   0   0   3   0   2   0   0   0  .083  .267  .167 
Kazuhisa Ishii     L   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Chuck James        L   7   2   0   0   0   0   0   0   1   0   0  .286  .375  .286 
Josh Johnson       R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Randy Johnson      L  20   4   0   0   1   2   0   5   0   0   0  .200  .273  .350 
Jair Jurrjens      R  10   4   1   0   0   1   0   3   0   0   0  .400  .455  .500 
Kyle Kendrick      R  11   4   1   0   1   0   0   1   0   0   0  .364  .364  .727 
Logan Kensing      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Clayton Kershaw    L  15   4   0   0   0   5   1   3   0   0   0  .267  .450  .267 
Steve Kline        L   6   3   0   0   0   1   1   1   0   0   0  .500  .571  .500 
Hong-Chih Kuo      L   5   2   1   0   0   2   0   1   0   0   0  .400  .571  .600 
Hiroki Kuroda      R   8   4   0   0   0   1   0   0   0   0   0  .500  .556  .500 
John Lackey        R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Lannan        L   4   3   0   0   0   2   0   1   0   0   0  .750  .833  .750 
Brian Lawrence     R  14   2   1   0   0   0   0   2   0   0   0  .143  .143  .214 
Cliff Lee          L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jon Lester         L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Brad Lidge         R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Cory Lidle         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Jon Lieber         R  11   1   1   0   0   0   0   0   0   0   0  .091  .091  .182 
Ted Lilly          L  10   4   1   0   0   3   0   2   0   0   0  .400  .538  .500 
Tim Lincecum       R  16   3   1   0   0   0   0   4   0   0   0  .188  .188  .250 
Matt Lindstrom     R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Scott Linebrink    R  11   6   0   0   0   2   0   1   0   0   0  .545  .615  .545 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Esteban Loaiza     R   9   3   2   0   1   3   0   0   0   0   0  .333  .500  .889 
Kyle Lohse         R   6   1   0   1   0   1   0   1   0   0   1  .167  .250  .500 
Braden Looper      R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Derek Lowe         R  38  10   4   0   0   1   0   8   0   0   0  .263  .282  .368 
Noah Lowry         L  23   6   1   0   2   3   0   4   0   0   0  .261  .346  .565 
Brandon Lyon       R  22   4   1   0   0   1   0   1   0   0   0  .182  .217  .227 
