Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Armstrong     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Andy Ashby         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pedro Astacio      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Tim Belcher        R   7   1   0   0   0   0   0   2   0   1   0  .143  .143  .143 
Andy Benes         R  11   2   1   0   0   0   0   3   0   1   0  .182  .182  .273 
Willie Blair       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Browning       L  12   3   0   0   0   0   0   1   0   1   0  .250  .250  .250 
John Burkett       R  10   5   0   1   0   0   0   0   0   0   0  .500  .500  .700 
Tom Candiotti      R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Frank Castillo     R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
David Cone         R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Rheal Cormier      L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Jose DeLeon        R   5   1   1   0   0   0   0   0   0   1   0  .200  .200  .400 
Jeff Fassero       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Sid Fernandez      L   4   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Mark Gardner       R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Tommy Greene       R   6   2   0   0   0   0   0   3   0   1   0  .333  .333  .333 
Mike Hampton       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Pete Harnisch      R   5   1   0   0   0   0   0   3   0   1   0  .200  .200  .200 
Greg Harris        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Orel Hershiser     R   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Ken Hill           R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Eric Hillman       L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bruce Hurst        L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Danny Jackson      L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bobby Jones        R   6   3   2   0   0   0   0   1   0   1   1  .500  .429  .833 
Greg Maddux        R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Dennis Martinez    R   7   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Pedro Martinez     R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Mike Morgan        R   9   3   0   0   1   0   0   1   0   2   0  .333  .333  .667 
Terry Mulholland   L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jaime Navarro      R   2   0   0   0   0   1   0   1   0   1   0  .000  .333  .000 
Denny Neagle       L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Bob Ojeda          L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Vicente Palacios   R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Mark Portugal      R   4   1   0   0   1   0   0   0   0   1   0  .250  .250 1.000 
Tim Pugh           R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pat Rapp           R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Armando Reynoso    R   3   1   1   0   0   0   0   1   0   0   1  .333  .250  .667 
John Roper         R   5   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bret Saberhagen    R   4   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Curt Schilling     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bryn Smith         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Zane Smith         L   4   1   0   0   0   0   0   2   0   2   0  .250  .250  .250 
Greg Swindell      L   8   1   0   0   0   0   0   5   0   0   0  .125  .125  .125 
Randy Tomlin       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Tom Urbani         L   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Paul Wagner        R   1   0   0   0   0   2   0   1   0   1   0  .000  .667  .000 
Allen Watson       L   2   2   0   0   1   0   0   0   0   1   1 1.000  .667 2.500 
Trevor Wilson      L   5   2   1   0   0   0   0   0   0   1   0  .400  .400  .600
