Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andrew Albers      L   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al Alburquerque    R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
H. Alvarez         R   9   2   1   0   0   1   0   2   0   0   1  .222  .273  .333 
Hector Ambriz      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Brett Anderson     L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Chris Archer       R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Jake Arrieta       R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Dylan Axelrod      R   9   1   0   0   0   0   0   0   0   1   0  .111  .111  .111 
Luis Ayala         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Burke Badenhop     R   7   2   1   0   1   0   0   1   0   0   1  .286  .250  .857 
Scott Baker        R  11   2   0   0   0   0   0   2   0   0   0  .182  .182  .182 
Grant Balfour      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Blake Beavan       R   4   2   1   0   0   0   0   0   0   0   1  .500  .400  .750 
Erik Bedard        L  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
Joaquin Benoit     R   7   4   0   0   1   0   0   1   0   0   0  .571  .571 1.000 
Brad Bergesen      R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
R. Betancourt      R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Nick Blackburn     R  13   7   3   1   0   1   0   0   0   1   0  .538  .571  .923 
Jerry Blevins      L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Mitchell Boggs     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Bonderman   R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Boof Bonser        R   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Craig Breslow      L  10   2   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Zach Britton       L  11   3   1   0   0   0   0   2   0   0   0  .273  .273  .364 
Clay Buchholz      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Mark Buehrle       L  42  13   4   0   0   4   0   5   0   0   0  .310  .370  .405 
Bryan Bullington   R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Alex Burnett       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
A.J. Burnett       R   7   0   0   0   0   0   0   2   1   0   0  .000  .125  .000 
Brian Burres       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jared Burton       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Daniel Cabrera     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Trevor Cahill      R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Matt Cain          R   2   0   0   0   0   0   0   1   1   0   1  .000  .250  .000 
Matt Capps         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Fausto Carmona     R  23   6   0   0   1   0   0   1   0   0   0  .261  .261  .391 
Carlos Carrasco    R   9   3   1   0   1   0   0   1   0   0   0  .333  .333  .778 
D.J. Carrasco      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Scott Carroll      R   4   3   0   0   0   0   0   0   0   1   0  .750  .750  .750 
Brett Cecil        L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joba Chamberlain   R  13   2   1   0   0   0   0   6   0   0   0  .154  .154  .231 
Jesse Chavez       R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Bruce Chen         L  10   2   0   0   0   3   0   0   0   3   1  .200  .357  .200 
Wei-Yin Chen       L  17   1   0   0   0   1   0   6   0   0   1  .059  .105  .059 
Alex Cobb          R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Phil Coke          L   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Alex Colome        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Bartolo Colon      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose Contreras     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Kevin Correia      R   5   4   2   0   0   0   0   0   0   0   0  .800  .800 1.200 
Jesse Crain        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Aaron Crow         R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Johnny Cueto       R   9   2   2   0   0   0   0   1   0   0   0  .222  .222  .444 
John Danks         L  36  12   2   0   1   2   0   4   0   0   1  .333  .359  .472 
Yu Darvish         R   8   1   0   0   0   1   0   3   0   0   0  .125  .222  .125 
Wade Davis         R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Samuel Deduno      R   4   1   0   0   1   0   0   0   0   0   1  .250  .200 1.000 
Ryan Dempster      R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Cole De Vries      R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Scott Diamond      L   4   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
R.A. Dickey        R   3   1   0   0   0   1   0   1   1   0   0  .333  .600  .333 
Octavio Dotel      R   9   1   0   0   0   0   0   6   0   0   0  .111  .111  .111 
Felix Doubront     L   2   0   0   0   0   1   0   1   0   0   1  .000  .250  .000 
Kyle Drabek        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
