Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Acker          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ed Acosta          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jack Aker          R   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Doyle Alexander    R  23   9   1   0   3   5   0   6   0   0   0  .391  .500  .826 
Neil Allen         R  30   7   0   1   0   3   1   4   0   0   1  .233  .294  .300 
Larry Andersen     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Joaquin Andujar    R  56  15   2   1   3   4   0   6   1   1   0  .268  .328  .500 
Bob Apodaca        R   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Steve Arlin        R  26   8   0   0   2   2   0   3   0   0   0  .308  .357  .538 
Stan Bahnsen       R  13   1   0   0   0   2   0   1   0   0   0  .077  .200  .077 
Doug Bair          R  18   6   2   0   0   1   0   2   0   0   1  .333  .350  .444 
Rick Baldwin       R   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Dick Baney         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Floyd Bannister    L  19   7   2   0   0   3   0   1   0   0   0  .368  .455  .474 
Len Barker         R   3   0   0   0   0   1   0   1   0   0   1  .000  .200  .000 
Jim Barr           R  73  18   3   1   1   2   0   4   2   0   0  .247  .286  .356 
Steve Bedrosian    R  16   4   0   0   1   3   0   3   0   0   0  .250  .368  .438 
Bruce Berenyi      R  15   4   1   0   1   3   0   2   0   0   0  .267  .389  .533 
Dwight Bernard     R   3   0   0   0   0   1   0   0   0   0   1  .000  .200  .000 
Jim Bibby          R   8   3   0   0   0   1   0   2   0   0   0  .375  .444  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Billingham    R  57  13   1   0   5   4   1   9   0   0   0  .228  .279  .509 
Doug Bird          R  10   4   1   0   0   0   0   0   0   0   0  .400  .400  .500 
Buddy Black        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dennis Blair       R   6   1   0   0   1   0   0   3   0   0   1  .167  .143  .667 
Steve Blass        R  10   6   1   0   0   1   0   0   0   0   0  .600  .636  .700 
Vida Blue          L  38  10   1   1   1   2   0   2   0   0   0  .263  .300  .421 
Bert Blyleven      R  24   4   0   0   1   4   0   4   0   0   0  .167  .286  .292 
Mike Boddicker     R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Tommy Boggs        R  32   3   0   0   3   2   0   5   0   0   0  .094  .147  .375 
Bill Bonham        R  24   3   2   0   0   8   1   5   1   0   0  .125  .364  .208 
Pedro Borbon       R  35   9   1   0   1   1   0   5   0   1   0  .257  .278  .371 
Rich Bordi         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Tom Bradley        R  10   5   0   0   0   3   0   1   0   0   0  .500  .615  .500 
Bucky Brandon      R   5   2   0   0   1   3   0   1   0   0   0  .400  .625 1.000 
Fred Breining      R  26   6   0   0   1   3   0   2   1   0   0  .231  .333  .346 
Ken Brett          L  17   4   1   0   0   3   0   2   0   0   0  .235  .350  .294 
Jim Brewer         L   9   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Nelson Briles      R  12   6   1   0   0   0   0   0   0   0   0  .500  .500  .583 
Tony Brizzolara    R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Mike Bruhert       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Warren Brusstar    R  17   7   2   0   2   1   0   3   0   1   0  .412  .444  .882 
Ron Bryant         L  43  10   1   0   0   6   0   4   0   0   1  .233  .320  .256 
Britt Burns        L   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Ray Burris         R  57  21   4   0   1   5   1   5   0   1   1  .368  .413  .491 
Marty Bystrom      R  14   2   1   0   0   3   0   0   1   0   0  .143  .333  .214 
Mike Caldwell      L  31  10   2   1   2   4   1   2   0   0   1  .323  .389  .645 
Rick Camp          R  31   4   1   0   1   1   0   5   0   1   1  .129  .152  .258 
Dave Campbell      R   8   4   1   0   1   1   0   1   0   0   0  .500  .556 1.000 
Bill Campbell      R  13   2   0   0   0   1   0   4   0   0   0  .154  .214  .154 
John Candelaria    L  73  24   4   0   1   5   1   2   0   0   0  .329  .372  .425 
Tom Candiotti      R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Doug Capilla       L   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Buzz Capra         R   7   3   1   0   1   0   0   0   1   0   0  .429  .500 1.000 
Steve Carlton      L  69  22   6   0   2  12   2   9   0   0   2  .319  .410  .493 
Don Carrithers     R  14   5   0   0   1   1   0   1   0   0   0  .357  .400  .571 
Clay Carroll       R  20   6   2   0   1   1   0   1   0   0   0  .300  .333  .550 
Tom Carroll        R   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Bill Caudill       R   9   2   0   0   1   0   0   2   0   0   1  .222  .200  .556 
John Cerutti       L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Floyd Chiffer      R  11   2   0   0   1   1   0   1   0   0   0  .182  .250  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
L. Christenson     R  51  22   4   0   1   6   0   5   0   0   1  .431  .483  .569 
Jim Clancy         R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Mark Clear         R   5   3   1   0   1   0   0   0   0   0   0  .600  .600 1.400 
Reggie Cleveland   R  13   1   0   0   0   2   0   3   0   0   0  .077  .200  .077 
Stew Cliburn       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Collins        L   3   1   1   0   0   0   0   0   0   0   1  .333  .250  .667 
Geoff Combe        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Mike Corkins       R  13   3   0   0   0   5   0   3   0   0   1  .231  .421  .231 
Ed Correa          R   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Mike Cosgrove      L   5   2   0   0   0   0   0   0   0   0   1  .400  .333  .400 
Joe Cowley         R  17   3   0   0   0   2   0   1   0   0   0  .176  .263  .176 
Jim Crawford       L   3   2   0   0   0   2   1   0   0   0   0  .667  .800  .667 
George Culver      R   9   4   1   0   1   1   0   1   0   0   0  .444  .500  .889 
John Cumberland    L   5   1   0   0   0   1   0   0   0   0   1  .200  .286  .200 
John Curtis        L  38   5   0   1   1   7   0   4   0   0   1  .132  .261  .263 
John D'Acquisto    R  39  10   1   0   1   5   0   5   1   0   1  .256  .348  .359 
Pat Darcy          R   9   3   1   0   1   4   0   1   0   0   0  .333  .538  .778 
Danny Darwin       R   8   3   0   0   1   1   0   3   0   0   0  .375  .444  .750 
Storm Davis        R   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Mark Davis         L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Dawley        R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Ken Dayley         L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Luis DeLeon        R  15   3   0   0   0   1   0   4   0   0   0  .200  .250  .200 
Larry Demery       R  15   4   0   0   1   2   0   1   0   0   0  .267  .353  .467 
Don DeMola         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
John Denny         R  38  10   3   0   1   2   0   3   1   0   0  .263  .317  .421 
Tom Dettore        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Adrian Devine      R   8   4   2   0   1   2   0   1   0   0   0  .500  .600 1.125 
Larry Dierker      R  32  10   0   0   3   3   0  11   0   0   0  .313  .371  .594 
Frank DiPino       L   3   2   0   0   0   3   1   0   0   0   0  .667  .833  .667 
Ken Dixon          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Dixon          R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
