Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Stan Bahnsen       R   8   4   1   0   0   3   0   0   1   0   0  .500  .667  .625 
Bert Blyleven      R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Dick Bosman        R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Dave Boswell       R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Bradley        R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Pete Broberg       R   8   3   0   0   0   1   0   1   0   0   0  .375  .444  .375 
George Brunet      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Wally Bunker       R   6   2   0   1   0   0   0   1   0   0   0  .333  .333  .667 
Bill Butler        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dean Chance        R   4   1   0   0   0   1   1   2   0   0   0  .250  .400  .250 
Joe Coleman        R  14   2   0   0   0   1   0   2   0   0   1  .143  .188  .143 
Mike Cuellar       L  10   5   1   0   0   1   0   4   0   0   0  .500  .545  .600 
Ray Culp           R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chuck Dobson       R   9   1   0   0   0   1   0   0   0   0   0  .111  .200  .111 
Al Downing         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dick Drago         R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Gogolewski    R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Jim Hardin         R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joe Horlen         R  10   2   0   1   0   0   0   1   0   0   0  .200  .200  .400 
Mike Kekich        L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Kilkenny      L   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Lew Krausse        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Dave Leonhard      R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Paul Lindblad      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mickey Lolich      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jim Lonborg        R   8   2   2   0   0   0   0   1   0   0   0  .250  .250  .500 
Denny McLain       R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Dave McNally       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Blue Moon Odom     R   6   3   2   0   1   0   0   0   0   0   0  .500  .500 1.333 
Jim Palmer         R   8   1   1   0   0   0   0   6   0   0   0  .125  .125  .250 
Bill Parsons       R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Marty Pattin       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jim Perry          R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Tom Phoebus        R   7   2   0   0   1   1   0   2   0   0   0  .286  .375  .714 
Vicente Romo       R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Diego Segui        R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Sonny Siebert      R   6   1   1   0   0   2   0   3   0   0   0  .167  .375  .333 
Jim Slaton         R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Lee Stange         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mel Stottlemyre    R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Timmermann     R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Jim York           R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chris Zachary      R   3   3   1   0   0   1   0   0   0   0   0 1.000 1.000 1.333
