Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Mike Adams         R   3   0   0   0   0   2   1   2   0   0   0  .000  .400  .000 
Jeremy Affeldt     L  11   4   2   0   0   1   0   2   0   0   0  .364  .417  .545 
Greg Aquino        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jose Arredondo     R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jake Arrieta       R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bronson Arroyo     R  21   5   0   0   0   1   0   3   0   1   0  .238  .273  .238 
John Axford        R   8   4   1   0   2   1   1   1   0   0   0  .500  .556 1.375 
Burke Badenhop     R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Danys Baez         R   2   0   0   0   0   0   0   0   1   1   0  .000  .333  .000 
Homer Bailey       R  33  10   1   0   0   2   0   5   0   0   0  .303  .343  .333 
Brian Bannister    R   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Antonio Bastardo   L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Miguel Batista     R  13   4   1   1   0   1   0   3   1   1   0  .308  .400  .538 
Josh Beckett       R  11   3   0   0   0   1   0   1   0   0   0  .273  .333  .273 
Joe Beimel         L   5   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Ronald Belisario   R   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Heath Bell         R   7   3   1   0   0   0   0   3   0   1   0  .429  .429  .571 
Armando Benitez    R   5   2   1   0   0   0   0   1   0   0   1  .400  .333  .600 
R. Betancourt      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chad Bettis        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Chad Billingsley   R  16   5   1   0   1   1   0   3   0   0   0  .313  .353  .563 
Joe Blanton        R   7   2   0   1   0   0   0   0   0   1   0  .286  .286  .571 
Mitchell Boggs     R   8   2   1   0   0   1   0   2   0   1   0  .250  .333  .375 
Brad Brach         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Doug Brocail       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Brower         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jonathan Broxton   R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Taylor Buchholz    R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
M. Bumgarner       L  25   5   0   0   1   1   0   9   0   0   2  .200  .214  .320 
Sean Burnett       L   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
David Bush         R  10   4   2   0   0   0   0   0   0   0   0  .400  .400  .600 
Trevor Cahill      R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Matt Cain          R  21   1   1   0   0   0   0   5   0   0   1  .048  .045  .095 
Chris Capuano      L  12   2   2   0   0   3   0   1   0   0   0  .167  .333  .333 
Chris Carpenter    R  20   3   1   0   1   1   0   4   0   1   0  .150  .190  .350 
Giovanni Carrara   R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Andrew Cashner     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Santiago Casilla   R  12   2   1   0   0   0   0   3   0   0   0  .167  .167  .250 
Scott Cassidy      R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jhoulys Chacin     R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Aroldis Chapman    L   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Tyler Clippard     R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Todd Coffey        R   5   1   0   0   0   0   0   2   0   1   1  .200  .167  .200 
Casey Coleman      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Josh Collmenter    R   7   2   1   0   0   0   0   4   0   0   0  .286  .286  .429 
Jesus Colome       R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
F. Cordero         R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Lance Cormier      R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Kevin Correia      R  19   6   1   0   0   3   0   2   0   0   0  .316  .409  .368 
Juan Cruz          R  11   5   0   1   1   1   0   4   0   1   0  .455  .500  .909 
Rhiner Cruz        R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Johnny Cueto       R  17   3   1   0   0   0   0   4   0   0   0  .176  .176  .235 
Kyle Davies        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Doug Davis         L  14   5   0   0   1   1   0   1   0   0   0  .357  .400  .571 
Jorge de la Rosa   L   6   0   0   0   0   1   1   2   0   0   0  .000  .143  .000 
Randall Delgado    R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ryan Dempster      R  14   4   0   0   1   1   0   0   0   0   0  .286  .333  .500 
Elmer Dessens      R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Ross Detwiler      L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
R.A. Dickey        R   9   2   1   0   0   0   0   0   0   0   0  .222  .222  .333 
Octavio Dotel      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
