Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
A.J. Burnett       R   4   1   0   0   0   1   0   1   1   0   0  .250  .500  .250 
Gerrit Cole        R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Jaime Garcia       L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Matt Garza         R   6   1   0   0   1   1   0   0   0   0   0  .167  .286  .667 
Zack Greinke       R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Jeremy Guthrie     R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Cole Hamels        L   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Dan Haren          R   8   4   3   0   0   0   0   0   0   0   0  .500  .500  .875 
Matt Harvey        R   4   1   0   0   0   1   1   0   0   0   0  .250  .400  .250 
Kyle Hendricks     R  11   3   0   0   0   2   1   3   0   0   0  .273  .385  .273 
Taylor Jungmann    R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kyle Kendrick      R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Jeff Locke         L   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Kyle Lohse         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Lance Lynn         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Shelby Miller      R   5   2   0   0   1   0   0   1   0   0   1  .400  .333 1.000 
Tyson Ross         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Michael Wacha      R   5   0   0   0   0   0   0   0   0   0   1  .000  .000  .000
