Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Anderson       R  26  11   0   0   1   5   1   2   0   0   2  .423  .485  .538 
Johnny Antonelli   L 101  11   1   0   1   9   0  19   1   3   1  .109  .188  .149 
Luis Arroyo        L  33  10   1   0   1   3   0   6   0   1   1  .303  .351  .424 
Jack Baldschun     R   6   2   1   0   0   2   0   0   0   1   1  .333  .444  .500 
Dan Bankhead       R   6   4   0   1   0   1   1   0   0   0   0  .667  .714 1.000 
Curt Barclay       R   9   2   0   0   1   1   0   0   0   0   0  .222  .300  .556 
Rex Barney         R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Ed Bauta           R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ralph Beard        R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Don Bessent        R  13   7   2   1   0   0   0   0   0   0   0  .538  .538  .846 
Vern Bickford      R  37  11   2   1   0   5   1   3   1   0   0  .297  .395  .405 
Joe Black          R  16   6   1   0   2   0   0   1   0   0   0  .375  .375  .813 
Ron Blackburn      R   5   2   1   0   0   0   0   0   0   0   1  .400  .333  .600 
Ewell Blackwell    R  37  12   5   0   1   2   1   7   0   1   0  .324  .359  .541 
Gary Blaylock      R  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Dick Bokelmann     R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Bobby Bolin        R   5   0   0   0   0   1   1   0   0   0   1  .000  .143  .000 
Roger Bowman       L  13   3   1   0   1   2   0   2   0   1   0  .231  .333  .538 
Cloyd Boyer        R  24   9   1   1   0   0   0   1   0   0   0  .375  .375  .500 
Ralph Branca       R  32   8   2   1   0   1   0   5   0   0   0  .250  .273  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Brazle          L  38  11   0   0   1   0   0   5   2   0   0  .289  .325  .368 
Harry Brecheen     L   7   2   1   0   0   0   0   3   0   0   0  .286  .286  .429 
Marshall Bridges   L  13   2   0   0   0   1   0   4   0   0   0  .154  .214  .154 
John Briggs        R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Ernie Broglio      R  39  11   1   0   2   5   1   4   0   0   0  .282  .364  .462 
Jim Brosnan        R  24   4   1   0   0   3   1   3   0   1   0  .167  .259  .208 
Bob Buhl           R  42  13   0   0   1   5   0   3   0   1   0  .310  .383  .381 
Lew Burdette       R 144  40   6   0   5   7   0  12   0   1   1  .278  .309  .424 
Cecil Butler       R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
John Buzhardt      R  35   5   1   0   0   1   0   2   0   0   0  .143  .167  .171 
Bud Byerly         R  14   2   0   1   0   0   0   1   0   0   0  .143  .143  .286 
Milo Candini       R   5   3   1   0   1   0   0   0   0   0   0  .600  .600 1.400 
Don Cardwell       R  45  14   2   0   1   1   0   2   0   0   1  .311  .319  .422 
Art Ceccarelli     L  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Cliff Chambers     L  26   5   0   1   1   1   0   4   0   1   0  .192  .222  .385 
Tom Cheney         R  11   4   1   0   2   0   0   0   0   0   0  .364  .364 1.000 
Bob Chipman        L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bubba Church       R  54   9   3   0   3   2   0   2   0   0   0  .167  .196  .389 
Mike Clark         R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Tony Cloninger     R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Cole          R   9   5   0   0   1   5   1   0   0   0   0  .556  .714  .889 
Jackie Collum      L  10   3   1   0   1   1   0   1   0   0   1  .300  .333  .700 
Gene Conley        R  40  12   1   0   1   1   0   4   0   1   3  .300  .295  .400 
Bill Connelly      R   7   1   1   0   0   1   0   1   0   0   0  .143  .250  .286 
Al Corwin          R   9   4   0   1   0   2   1   0   0   0   0  .444  .545  .667 
Roger Craig        R  40   9   0   1   3   4   0   9   0   0   0  .225  .295  .500 
Ray Crone          R  32   6   1   0   0   1   0   2   0   0   0  .188  .212  .219 
Jack Curtis        L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bennie Daniels     R  13   5   0   0   0   0   0   0   0   0   0  .385  .385  .385 
Jim Davis          L  23   8   2   0   0   5   0   1   0   1   0  .348  .464  .435 
Cot Deal           R   9   3   0   0   2   1   0   2   0   0   0  .333  .400 1.000 
Murry Dickson      R  59  24   7   0   3   5   0   8   0   0   0  .407  .453  .678 
Lino Donoso        L   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Moe Drabowsky      R  21   7   3   0   0   4   0   4   0   1   1  .333  .423  .476 
Karl Drews         R  31   6   0   0   1   0   0   1   0   1   0  .194  .194  .290 
Dick Drott         R  24   8   0   0   2   2   1   3   0   0   0  .333  .385  .583 
Don Drysdale       R  48   9   1   0   0   1   0   5   0   0   3  .188  .192  .208 
Monk Dubiel        R  14   5   0   1   0   1   0   0   0   0   0  .357  .400  .500 
Bob Duliba         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dick Ellsworth     L   4   3   0   0   0   1   0   0   0   1   0  .750  .800  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Elston         R  31  11   1   0   0   2   0   3   0   0   0  .355  .394  .387 
Eddie Erautt       R   9   4   0   0   1   0   0   0   0   0   0  .444  .444  .778 
Carl Erskine       R  69  14   4   0   1   4   0   9   0   0   0  .203  .247  .304 
George Estock      R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Roy Face           R  45  14   2   0   1   2   0   2   1   1   0  .311  .354  .422 
Turk Farrell       R  32  11   3   1   0   2   2   3   0   1   0  .344  .382  .500 
Eddie Fisher       R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Howie Fox          R  44   9   2   1   1   1   0   2   0   0   0  .205  .222  .364 
Earl Francis       R   7   1   0   0   0   3   0   0   0   0   1  .143  .364  .143 
Bob Friend         R 137  46   4   2   4   8   0   6   0   0   0  .336  .372  .482 
Al Gettel          R   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
Joe Gibbon         L   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Gibson         R  31  10   0   0   0   1   0   3   0   0   0  .323  .344  .323 
Paul Giel          R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 
Jim Golden         R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Ruben Gomez        R  97  26   6   1   1   9   1  13   0   2   1  .268  .327  .381 
Fred Green         L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dallas Green       R  17   4   2   0   0   1   0   1   0   0   0  .235  .278  .353 
Hal Gregg          R   3   3   0   0   1   2   0   0   0   0   0 1.000 1.000 2.000 
Marv Grissom       R  28   2   0   0   0   1   0   2   0   0   0  .071  .103  .071 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Gross          L   7   2   1   0   0   0   0   1   0   1   0  .286  .286  .429 
Warren Hacker      R  47  21   5   1   4   2   0   1   0   0   0  .447  .469  .851 
Harvey Haddix      L  91  21   1   1   2   8   0  21   1   2   1  .231  .297  .330 
Dick Hall          R  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 
Bob Hall           R  19   4   1   0   3   0   0   1   0   0   0  .211  .211  .737 
Jack Hamilton      R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Andy Hansen        R  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 
Clint Hartung      R   4   2   0   0   2   0   0   0   0   0   0  .500  .500 2.000 
Joe Hatten         L   9   2   0   0   0   1   0   1   0   0   0  .222  .300  .222 
Jim Hearn          R 105  29   5   1   2   6   0  10   0   0   0  .276  .315  .400 
Ken Heintzelman    L   6   1   0   0   0   0   0   0   1   1   0  .167  .286  .167 
Bill Henry         L  16   6   3   0   1   0   0   4   0   0   1  .375  .353  .750 
Johnny Hetki       R  18   5   2   1   1   0   0   0   0   1   0  .278  .278  .667 
Frank Hiller       R  29   6   1   0   0   3   0   1   0   0   0  .207  .281  .241 
Dave Hillman       R  28   9   0   0   0   1   0   1   0   0   0  .321  .345  .321 
Glen Hobbie        R  59  12   1   2   1   2   0   7   1   1   1  .203  .238  .339 
Bobby Hogue        R   3   0   0   0   0   1   0   0   1   0   0  .000  .400  .000 
