Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jim Abbott         L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Paul Abbott        R  12   3   1   0   0   1   0   2   0   0   0  .250  .308  .333 
Jose Acevedo       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Juan Acevedo       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Manny Acosta       R   8   5   1   0   1   0   0   1   0   0   0  .625  .625 1.125 
Mike Adams         R   6   2   0   0   1   0   0   3   0   0   0  .333  .333  .833 
Terry Adams        R   4   3   0   0   2   1   0   0   0   0   0  .750  .800 2.250 
Jeremy Affeldt     L  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
Matt Albers        R   4   2   1   0   0   1   1   0   0   0   0  .500  .600  .750 
A. Alfonseca       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Carlos Almanzar    R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Wilson Alvarez     L  14   2   0   0   0   0   0   5   0   0   0  .143  .143  .143 
Brian Anderson     L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Matt Anderson      R   8   5   2   0   0   1   0   1   0   0   0  .625  .667  .875 
Kevin Appier       R  14   4   1   0   1   3   0   0   0   0   0  .286  .412  .571 
Chris Archer       R  16   2   0   0   0   2   0   4   0   0   0  .125  .222  .125 
Tony Armas         R  17   9   0   0   2   3   0   1   0   0   0  .529  .600  .882 
Jose Arredondo     R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Rolando Arrojo     R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bronson Arroyo     R  38  16   4   1   2   3   0   5   0   0   0  .421  .463  .737 
John Axford        R   8   2   0   0   1   1   0   4   0   0   0  .250  .333  .625 
Luis Ayala         R   9   4   2   0   0   0   0   2   0   0   0  .444  .444  .667 
Brandon Backe      R  15   5   0   0   0   1   0   2   0   0   0  .333  .375  .333 
Michael Bacsik     L   4   2   0   0   2   0   0   1   0   0   0  .500  .500 2.000 
Burke Badenhop     R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Cha-Seung Baek     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Danys Baez         R  11   1   0   0   0   2   0   2   0   0   0  .091  .231  .091 
Homer Bailey       R  19   4   0   0   2   2   0   3   0   0   0  .211  .286  .526 
James Baldwin      R  22   4   0   0   0   0   0   5   0   0   0  .182  .182  .182 
Collin Balester    R   2   0   0   0   0   1   0   0   0   0   1  .000  .250  .000 
Grant Balfour      R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Josh Banks         R   6   3   2   0   0   0   0   0   0   0   0  .500  .500  .833 
Anthony Bass       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Miguel Batista     R   8   3   2   0   1   2   0   1   0   0   0  .375  .500 1.000 
Trevor Bauer       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
T.J. Beam          R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Josh Beckett       R  16   4   1   0   0   4   1   4   0   0   0  .250  .400  .313 
Erik Bedard        L  11   1   0   0   0   1   0   2   0   0   0  .091  .167  .091 
Joe Beimel         L   3   1   0   0   1   1   1   0   0   0   0  .333  .500 1.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Belcher        R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Ronald Belisario   R   3   2   1   0   1   2   1   1   0   0   0  .667  .800 2.000 
Matt Belisle       R  14   3   0   0   1   2   0   3   0   0   1  .214  .294  .429 
Heath Bell         R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Rob Bell           R  11   4   2   0   1   2   0   0   0   0   0  .364  .462  .818 
Jeff Bennett       R   7   3   1   0   0   2   0   1   0   0   0  .429  .556  .571 
Joaquin Benoit     R   7   2   1   0   1   4   1   1   0   0   0  .286  .545  .857 
Kris Benson        R  13   2   0   0   0   1   0   0   0   0   0  .154  .214  .154 
Jason Bere         R   7   3   3   0   0   0   0   1   0   0   0  .429  .429  .857 
Sean Bergman       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jason Bergmann     R  22   7   2   1   1   2   1   1   0   1   0  .318  .375  .636 
Adam Bernero       R  14   1   0   0   1   0   0   1   0   0   0  .071  .071  .286 
Rocky Biddle       R  11   3   0   0   1   1   0   2   0   0   0  .273  .333  .545 
Chad Billingsley   R  14   2   0   1   0   2   0   5   0   0   0  .143  .250  .286 
Willie Blair       R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Joe Blanton        R  24   9   1   0   0   1   0   3   1   0   0  .375  .423  .417 
Mitchell Boggs     R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jeremy Bonderman   R  14   5   1   0   0   0   0   3   0   0   0  .357  .357  .429 
Dave Borkowski     R  12   3   0   0   1   2   0   2   0   0   0  .250  .357  .500 
Joe Borowski       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Bottalico    R   4   3   0   0   0   1   1   0   0   0   0  .750  .800  .750 
Kent Bottenfield   R   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
Michael Bowden     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Blaine Boyer       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brad Brach         R   3   0   0   0   0   1   1   2   0   0   0  .000  .250  .000 
Bill Bray          L   6   1   1   0   0   0   0   4   0   0   1  .167  .143  .333 
Craig Breslow      L   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
Jamie Brewington   R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Zach Britton       L   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
Doug Brocail       R  10   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Brower         R   6   2   2   0   0   1   0   0   0   0   0  .333  .429  .667 
Kevin Brown        R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Jonathan Broxton   R   8   1   0   0   1   1   0   4   0   0   0  .125  .222  .500 
Clay Buchholz      R   9   4   1   0   0   0   0   2   0   0   0  .444  .444  .556 
Taylor Buchholz    R  10   1   1   0   0   0   0   1   0   0   0  .100  .100  .200 
Mark Buehrle       L  59  12   2   0   4   2   0   8   0   0   0  .203  .230  .441 
M. Bumgarner       L   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
