Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rene Arocha        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Paul Assenmacher   L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Steve Avery        L  10   4   0   0   1   0   0   0   0   1   0  .400  .400  .700 
Brian Barnes       L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Rod Beck           R   4   2   0   0   0   0   0   0   0   1   0  .500  .500  .500 
Andy Benes         R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Shawn Boskie       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kent Bottenfield   R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Burba         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
John Burkett       R  10   2   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jim Deshaies       L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Drabek        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Sid Fernandez      L  10   2   0   0   1   0   0   2   0   0   0  .200  .200  .500 
Tom Glavine        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dwight Gooden      R  13   2   1   0   0   0   0   2   0   0   0  .154  .154  .231 
Tommy Greene       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Kevin Gross        R   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Chris Hammond      L   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Danny Jackson      L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Bobby Jones        R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
C. Leibrandt       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Greg Maddux        R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 
Dennis Martinez    R   8   1   0   1   0   1   0   1   0   1   0  .125  .222  .375 
Ramon Martinez     R   8   3   0   0   0   0   0   3   0   0   0  .375  .375  .375 
Roger Mason        R   7   2   0   0   1   0   0   1   0   0   0  .286  .286  .714 
Jose Melendez      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Mike Morgan        R   6   4   2   0   0   0   0   1   0   0   0  .667  .667 1.000 
Bob Ojeda          L  16   6   1   0   0   0   0   2   0   0   0  .375  .375  .438 
Donovan Osborne    L   6   1   0   1   0   1   0   1   0   0   0  .167  .286  .500 
Tim Pugh           R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jose Rijo          R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bret Saberhagen    R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Scott Sanders      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Pete Schourek      L   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Pete Smith         R   3   1   1   0   0   2   1   0   0   0   0  .333  .600  .667 
Zane Smith         L   4   1   0   0   0   0   0   0   1   0   0  .250  .400  .250 
John Smoltz        R  11   2   0   0   0   0   0   3   0   0   0  .182  .182  .182 
Bill Swift         R   4   1   1   0   0   0   0   3   0   0   0  .250  .250  .500 
Bob Tewksbury      R   7   4   0   0   0   0   0   1   0   0   0  .571  .571  .571 
Trevor Wilson      L  10   4   1   0   0   0   0   1   0   0   0  .400  .400  .500
