Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Ed Acosta          R   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
Jack Aker          R   7   2   0   0   1   1   1   1   0   0   0  .286  .375  .714 
Santo Alcala       R   3   2   1   0   0   1   0   0   1   0   0  .667  .800 1.000 
Doyle Alexander    R  17   8   1   0   1   0   0   0   0   0   0  .471  .471  .706 
Neil Allen         R   8   2   0   1   0   0   0   1   0   0   0  .250  .250  .500 
Porfi Altamirano   R   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Joaquin Andujar    R  46  10   2   0   1   6   0   6   0   1   0  .217  .308  .326 
Bob Apodaca        R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Steve Arlin        R  32   9   1   1   2   3   0   5   0   0   1  .281  .333  .563 
Stan Bahnsen       R  12   6   1   0   2   0   0   2   0   1   0  .500  .500 1.083 
Rick Baldwin       R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Floyd Bannister    L   5   0   0   0   0   3   0   3   0   0   0  .000  .375  .000 
Steve Barber       L   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jim Barr           R  45  12   3   0   3   5   0   7   0   0   2  .267  .327  .533 
Mike Beard         L   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Joe Beckwith       R  13   1   0   0   0   0   0   2   0   0   0  .077  .077  .077 
Steve Bedrosian    R   9   2   0   0   1   1   0   1   0   1   0  .222  .300  .556 
Jim Bibby          R   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Jack Billingham    R  22  10   3   0   1   3   2   2   0   0   0  .455  .520  .727 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Bird          R   6   2   0   0   1   1   0   0   0   0   0  .333  .429  .833 
Dennis Blair       R  18   3   1   0   0   1   0   4   0   0   0  .167  .211  .222 
Wade Blasingame    L  13   3   1   0   0   1   0   1   0   0   0  .231  .286  .308 
Steve Blass        R  44  12   2   0   3   1   0   6   0   0   0  .273  .289  .523 
Vida Blue          L  19   7   1   0   2   5   0   2   0   0   1  .368  .480  .737 
Bert Blyleven      R  13   3   1   0   1   1   0   2   0   0   1  .231  .267  .538 
Tommy Boggs        R  15   2   0   0   1   2   0   0   0   0   0  .133  .235  .333 
Bobby Bolin        R  24   3   1   0   1   1   0   4   0   0   0  .125  .160  .292 
Bill Bonham        R  40  12   2   0   2   0   0   9   0   0   1  .300  .293  .500 
John Boozer        R   7   4   1   0   0   1   0   1   0   0   0  .571  .625  .714 
Bill Bordley       L   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Jim Bouton         R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Tom Bradley        R  18   4   2   0   1   7   0   6   0   0   1  .222  .423  .500 
Bucky Brandon      R   2   1   0   0   0   2   0   1   0   0   0  .500  .750  .500 
Fred Breining      R  12   5   0   0   1   2   0   0   0   0   0  .417  .500  .667 
Ken Brett          L  13   3   0   0   1   1   1   0   0   0   1  .231  .267  .462 
Jim Brewer         L  23   5   0   0   0   3   2   3   0   1   0  .217  .308  .217 
Nelson Briles      R  47  11   0   0   4   1   0   5   0   0   0  .234  .250  .489 
Jim Britton        R  10   3   1   0   1   0   0   1   0   0   0  .300  .300  .700 
Tony Brizzolara    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jackie Brown       R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Warren Brusstar    R  12   4   0   0   0   1   0   3   0   0   0  .333  .385  .333 
Ron Bryant         L  28   8   1   1   2   5   0   1   0   0   0  .286  .394  .607 
Jim Bunning        R  32  11   1   0   2   5   0   6   0   0   0  .344  .432  .563 
Ray Burris         R  24   9   3   0   3   6   1   4   0   0   0  .375  .500  .875 
