Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   6   2   1   1   0   2   0   1   0   0   0  .333  .500  .833 
Jim Abbott         L   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Jim Acker          R   5   3   1   0   1   0   0   1   0   0   0  .600  .600 1.400 
Juan Agosto        L   8   2   0   0   0   1   0   0   0   0   1  .250  .300  .250 
Doyle Alexander    R   8   2   0   0   1   0   0   1   0   0   0  .250  .250  .625 
Neil Allen         R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Larry Andersen     R  14   3   0   0   1   0   0   4   0   0   0  .214  .214  .429 
Rick Anderson      R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Joaquin Andujar    R   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Tony Arnold        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Andy Ashby         R   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Paul Assenmacher   L   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Don August         R  11   4   2   0   0   1   0   1   0   0   0  .364  .417  .545 
Steve Avery        L  24   9   1   0   0   1   0   4   0   0   0  .375  .400  .417 
Bobby Ayala        R   4   3   0   0   0   1   0   1   0   0   0  .750  .800  .750 
Scott Bailes       L   4   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Jeff Ballard       L   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
Scott Bankhead     R  10   3   1   0   1   0   0   3   0   0   0  .300  .300  .700 
Willie Banks       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Floyd Bannister    L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Bautista      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Steve Bedrosian    R   7   0   0   0   0   1   1   2   0   0   0  .000  .125  .000 
Tim Belcher        R  26   9   0   0   0   4   0   6   0   0   0  .346  .433  .346 
Stan Belinda       R   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Andy Benes         R  12   1   0   0   0   2   1   1   0   0   0  .083  .214  .083 
Juan Berenguer     R   8   2   1   0   0   1   0   1   0   0   0  .250  .333  .375 
Mike Bielecki      R  16   2   1   0   0   1   0   2   0   0   0  .125  .176  .188 
Buddy Black        L   8   3   0   1   0   0   0   0   0   0   0  .375  .375  .625 
Bert Blyleven      R  10   2   0   0   0   0   0   5   0   1   0  .200  .200  .200 
Joe Boever         R   8   2   0   0   0   2   1   1   0   0   0  .250  .400  .250 
Brian Bohanon      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Chris Bosio        R   9   3   0   0   0   1   0   1   1   0   0  .333  .455  .333 
Shawn Boskie       R  14   5   1   0   0   1   0   2   0   0   0  .357  .400  .429 
Ryan Bowen         R   7   1   1   0   0   0   0   3   0   1   0  .143  .143  .286 
Oil Can Boyd       R   4   1   0   0   0   2   0   1   0   0   1  .250  .429  .250 
Jeff Brantley      R  12   6   0   0   0   0   0   1   0   1   0  .500  .500  .500 
Jim Bullinger      R   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Tim Burke          R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
John Burkett       R   7   2   0   0   1   0   0   3   0   0   0  .286  .286  .714 
Greg Cadaret       L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ernie Camacho      R   1   0   0   0   0   2   0   0   0   1   0  .000  .667  .000 
Tom Candiotti      R  18   4   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Jose Cano          R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Don Carman         L   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Cris Carpenter     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Tony Castillo      L   6   0   0   0   0   1   1   1   0   0   1  .000  .125  .000 
Frank Castillo     R  10   1   0   0   0   1   0   3   0   0   1  .100  .167  .100 
Jim Clancy         R  12   4   0   0   0   3   2   3   0   0   0  .333  .467  .333 
Terry Clark        R   7   3   2   0   0   0   0   0   0   0   0  .429  .429  .714 
Marty Clary        R  16   2   0   0   1   1   0   3   0   0   0  .125  .176  .313 
Roger Clemens      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Pat Clements       L   5   3   1   0   0   0   0   0   0   0   1  .600  .500  .800 
Stew Cliburn       R   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
Pat Combs          L   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
David Cone         R   9   4   0   1   0   2   0   2   0   0   0  .444  .545  .667 
Dennis Cook        L  11   4   1   0   1   1   0   0   0   0   0  .364  .417  .727 
Steve Cooke        L  10   4   0   1   0   0   0   1   0   0   1  .400  .364  .600 
Rheal Cormier      L   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
John Costello      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Danny Cox          R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chuck Crim         R   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
Ron Darling        R  13   3   1   0   0   0   0   5   0   0   0  .231  .231  .308 
Danny Darwin       R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Storm Davis        R   9   3   1   0   0   0   0   4   0   0   0  .333  .333  .444 
John Davis         R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Mark Davis         L   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Ken Dayley         L   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Jose De Jesus      R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Jose DeLeon        R  19   3   2   0   1   0   0   5   0   0   0  .158  .158  .421 
Rich DeLucia       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jim Deshaies       L  36   7   1   0   0   2   0   3   0   0   0  .194  .237  .222 
Frank DiPino       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Kelly Downs        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Doug Drabek        R  20   5   2   0   1   0   0   4   0   0   0  .250  .250  .500 
Dennis Eckersley   R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Tom Edens          R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Mark Eichhorn      R   4   1   0   0   0   2   1   0   0   0   0  .250  .500  .250 
Steve Farr         R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
John Farrell       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jeff Fassero       L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sid Fernandez      L  20   2   0   0   2   3   0   2   0   0   0  .100  .217  .400 
Tom Filer          R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Pete Filson        L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Chuck Finley       L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
