Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   4   1   0   0   0   1   0   1   0   1   0  .250  .400  .250 
A. Alfonseca       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Appier       R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Andy Ashby         R  11   3   0   0   0   1   0   0   0   1   0  .273  .333  .273 
Pedro Astacio      R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Josh Beckett       R   5   1   0   0   0   1   0   2   1   0   0  .200  .429  .200 
Joe Beimel         L   5   3   1   0   0   1   0   1   0   1   0  .600  .667  .800 
Rob Bell           R   5   1   0   0   0   2   0   1   0   0   1  .200  .375  .200 
Andy Benes         R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Armando Benitez    R   2   0   0   0   0   2   0   2   0   0   0  .000  .500  .000 
Kris Benson        R   8   3   0   1   0   0   0   1   0   0   0  .375  .375  .625 
Jason Bere         R   9   2   0   0   0   0   0   3   0   1   0  .222  .222  .222 
Brian Boehringer   R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ricky Bones        R   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
Chris Brock        R   8   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Kevin Brown        R  10   3   0   0   0   0   0   3   0   0   0  .300  .300  .300 
Mike Buddie        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John Burkett       R   9   3   1   1   0   0   0   3   0   0   0  .333  .333  .667 
A.J. Burnett       R  20   5   2   0   0   3   0   6   0   0   0  .250  .348  .350 
Paul Byrd          R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Carpenter    R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Frank Castillo     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Shawn Chacon       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Matt Clement       R  14   3   0   0   0   2   0   3   0   0   0  .214  .313  .214 
Dave Coggin        R   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
David Cone         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dennis Cook        L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
F. Cordova         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Rheal Cormier      L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Reid Cornelius     R  10   2   0   0   0   1   0   0   0   2   0  .200  .273  .200 
Omar Daal          L  10   3   0   2   0   0   0   1   0   0   0  .300  .300  .700 
Jeff D'Amico       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
