Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Agosto        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Rick Aguilera      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Larry Andersen     R   6   1   0   0   1   1   1   1   0   1   0  .167  .286  .667 
Joaquin Andujar    R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Luis Aquino        R   7   4   1   0   1   0   0   0   0   0   0  .571  .571 1.143 
Jack Armstrong     R   7   3   2   0   0   1   0   2   0   0   0  .429  .500  .714 
Andy Ashby         R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Paul Assenmacher   L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Pedro Astacio      R   9   3   1   0   0   2   0   3   0   0   0  .333  .455  .444 
Bobby Ayala        R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Roger Bailey       R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Steve Bedrosian    R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Tim Belcher        R  25   7   2   1   1   2   0   5   0   0   0  .280  .333  .560 
Stan Belinda       R   4   0   0   0   0   0   0   1   1   0   0  .000  .200  .000 
Andy Benes         R  12   1   0   0   0   0   0   8   0   0   0  .083  .083  .083 
Mike Birkbeck      R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Tim Birtsas        L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Buddy Black        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Willie Blair       R   7   5   2   1   0   0   0   1   0   0   0  .714  .714 1.286 
Joe Boever         R   7   0   0   0   0   1   1   3   0   0   0  .000  .125  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Bones        R   5   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Chris Bosio        R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Shawn Boskie       R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Ryan Bowen         R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Cliff Brantley     R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Jeff Brantley      R  10   2   2   0   0   2   0   6   0   0   0  .200  .333  .400 
Kevin Brown        R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Tom Browning       L   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
Jim Bullinger      R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Tim Burke          R   8   1   0   0   0   0   0   4   0   0   0  .125  .125  .125 
John Burkett       R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Tom Candiotti      R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Don Carman         L   8   3   0   0   0   3   1   1   0   0   0  .375  .545  .375 
Cris Carpenter     R  11   2   1   0   0   0   0   1   0   0   0  .182  .182  .273 
Frank Castillo     R   5   2   0   0   0   1   1   0   0   0   0  .400  .500  .400 
Norm Charlton      L   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Jim Clancy         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Mark Clark         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Pat Combs          L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
David Cone         R  18   5   2   0   1   3   0   8   1   0   0  .278  .409  .556 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Cooke        L   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Rheal Cormier      L   3   2   0   0   1   0   0   0   0   1   0  .667  .667 1.667 
John Costello      R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Tim Crews          R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Ron Darling        R  22   4   1   0   0   0   0   3   0   0   1  .182  .174  .227 
Danny Darwin       R   7   1   1   0   0   1   0   0   0   0   0  .143  .250  .286 
Mark Davis         L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
