Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hank Aguirre       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Luis Arroyo        L   6   1   0   0   0   0   0   0   0   1   0  .167  .167  .167 
Steve Barber       L  10   1   0   0   0   2   0   2   0   0   0  .100  .250  .100 
Norm Bass          R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Frank Baumann      L  31   9   1   0   0   2   0   2   0   0   0  .290  .333  .323 
Gary Bell          R  14   5   0   0   0   2   0   3   1   0   2  .357  .421  .357 
Ted Bowsfield      L  12   1   0   0   0   1   1   0   0   0   0  .083  .154  .083 
Tom Brewer         R  24   7   2   0   0   0   0   1   0   1   0  .292  .292  .375 
John Briggs        R   6   3   0   0   1   2   0   0   0   0   0  .500  .625 1.000 
Dick Brodowski     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Hal Brown          R  19   6   1   1   1   0   0   4   0   0   0  .316  .316  .632 
Bob Bruce          R   8   2   1   0   0   0   0   1   1   0   0  .250  .333  .375 
Jim Bunning        R  24   8   0   0   0   0   0   4   1   0   0  .333  .360  .333 
Wally Burnette     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pete Burnside      L   5   2   0   1   0   1   0   0   0   0   0  .400  .500  .800 
Tommy Byrne        L   7   2   0   0   0   1   1   2   0   0   0  .286  .375  .286 
Jerry Casale       R  14   3   0   0   0   2   0   2   0   0   0  .214  .313  .214 
Bob Chakales       R   4   2   0   0   1   1   0   0   1   0   0  .500  .667 1.250 
Tex Clevenger      R  12   2   0   1   0   0   0   5   0   0   0  .167  .167  .333 
Jim Coates         R  10   4   0   0   0   2   0   0   0   0   0  .400  .500  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rip Coleman        L   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Bud Daley          L  13   7   0   0   0   1   0   2   0   0   0  .538  .571  .538 
Jerry Davie        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ike Delock         R  26   7   1   1   2   1   0   3   0   0   0  .269  .296  .615 
Jim Derrington     L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Murry Dickson      R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Art Ditmar         R  30   4   0   0   0   2   0   6   0   1   0  .133  .188  .133 
Dick Donovan       R  24   5   1   0   2   2   0   2   0   0   1  .208  .259  .500 
Ryne Duren         R   8   1   0   0   0   4   0   5   0   0   0  .125  .417  .125 
Chuck Estrada      R  16   3   1   0   0   0   0   4   0   1   0  .188  .188  .250 
Bob Feller         R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Don Ferrarese      L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bill Fischer       R  15   5   1   0   0   0   0   3   0   0   0  .333  .333  .400 
Jack Fisher        R  15   4   0   1   0   1   1   1   0   2   0  .267  .313  .400 
Whitey Ford        L  45   5   1   0   0   6   1  11   0   2   0  .111  .216  .133 
Mike Fornieles     R  31  10   1   0   0   3   1   6   0   1   0  .323  .382  .355 
Paul Foytack       R  13   4   0   0   0   0   0   1   0   0   0  .308  .308  .308 
John Gabler        R   6   0   0   0   0   0   0   0   0   2   0  .000  .000  .000 
Mike Garcia        R  20   4   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Ned Garver         R  14   3   0   0   0   1   0   2   0   0   0  .214  .267  .214 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Gorman         R  14   2   1   0   0   2   0   1   0   0   0  .143  .250  .214 
Mudcat Grant       R  52  10   0   0   0   3   0   3   1   1   1  .192  .246  .192 
Eli Grba           R  11   2   0   0   0   1   0   1   0   0   0  .182  .250  .182 
Hal Griggs         R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Bob Grim           R  10   0   0   0   0   1   0   4   1   0   0  .000  .167  .000 
Dick Hall          R  14   2   0   0   1   1   0   2   0   0   0  .143  .200  .357 
Jack Harshman      L  17   9   3   0   1   2   0   3   0   0   0  .529  .579  .882 
Ray Herbert        R  24   7   0   0   0   1   0   3   1   0   0  .292  .346  .292 
Dave Hillman       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ed Hobaugh         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dixie Howell       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Dick Hyde          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Connie Johnson     R  16   2   1   0   0   0   0   2   0   0   0  .125  .125  .188 
Ken Johnson        R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Jim Kaat           L   7   2   1   0   0   1   0   1   0   0   0  .286  .375  .429 
Bob Keegan         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Russ Kemmerer      R  19   6   1   0   0   0   0   3   0   0   0  .316  .316  .368 
Leo Kiely          L   5   3   1   0   0   1   1   1   0   0   0  .600  .667  .800 
Ron Kline          R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
J. Klippstein      R   2   0   0   0   0   0   0   2   0   1   1  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Kralick       L   6   2   0   0   0   0   0   2   0   1   0  .333  .333  .333 
Johnny Kucks       R  22   6   1   0   0   2   0   1   1   0   0  .273  .360  .318 
Marty Kutyna       R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Don Larsen         R  26   8   2   0   0   3   1   2   0   0   0  .308  .379  .385 
Frank Lary         R  25   7   1   1   0   1   0   3   3   0   0  .280  .379  .400 
Barry Latman       R  16   4   0   0   0   0   0   4   0   0   1  .250  .235  .250 
Ken Lehman         L   6   2   1   0   0   0   0   0   0   0   1  .333  .286  .500 
Bob Lemon          R  15   4   1   0   0   0   0   3   1   0   0  .267  .313  .333 
Bobby Locke        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Billy Loes         R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Turk Lown          R  11   1   0   0   0   1   0   3   0   0   1  .091  .154  .091 
Ralph Lumenti      L   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Duke Maas          R  12   2   1   0   0   0   0   0   0   0   0  .167  .167  .250 
Sal Maglie         R   8   3   1   0   0   1   0   1   0   0   0  .375  .444  .500 
Ken McBride        R   7   1   0   0   0   1   0   1   0   0   1  .143  .222  .143 
