Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
H. Alvarez         R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Brett Anderson     L  10   4   0   1   0   1   0   3   1   0   0  .400  .500  .600 
Chase Anderson     R  24   6   2   0   2   3   0   3   0   0   0  .250  .333  .583 
Jake Arrieta       R   5   0   0   0   0   0   0   3   1   0   0  .000  .167  .000 
Bronson Arroyo     R   4   3   0   0   1   1   1   0   0   0   0  .750  .800 1.500 
Luis Avilan        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Josh Beckett       R   8   0   0   0   0   2   0   1   0   0   0  .000  .200  .000 
Joaquin Benoit     R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Joe Blanton        R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Mike Bolsinger     R  11   4   1   0   1   1   0   4   0   0   0  .364  .417  .727 
Jonathan Broxton   R   4   2   1   1   0   1   0   1   0   0   0  .500  .600 1.250 
M. Bumgarner       L   9   3   0   0   0   0   0   4   0   0   0  .333  .333  .333 
A.J. Burnett       R   7   1   1   0   0   0   0   1   1   0   0  .143  .250  .286 
Trevor Cahill      R  12   6   1   1   0   0   0   1   1   0   0  .500  .538  .750 
Matt Cain          R  17   6   1   0   1   2   0   3   0   0   0  .353  .421  .588 
Chris Capuano      L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Fausto Carmona     R  11   2   0   0   0   2   0   1   1   0   0  .182  .357  .182 
Andrew Cashner     R  13   4   1   0   0   0   0   2   0   0   0  .308  .308  .385 
Santiago Casilla   R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andrew Chafin      L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Randy Choate       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tyler Clippard     R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Tyler Cloyd        R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Phil Coke          L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Josh Collmenter    R  19   8   2   0   0   1   0   3   0   0   0  .421  .450  .526 
Bartolo Colon      R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Patrick Corbin     L  15   5   1   0   0   0   0   1   0   0   0  .333  .333  .400 
Kevin Correia      R   5   5   0   0   1   0   0   0   0   0   0 1.000 1.000 1.600 
Johnny Cueto       R  12   3   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Jacob deGrom       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rubby de la Rosa   R  12   4   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Randall Delgado    R  15   7   3   0   1   0   0   1   0   0   0  .467  .467  .867 
A. DeSclafani      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
O. Despaigne       R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Jake Diekman       L   3   0   0   0   0   1   0   0   1   0   0  .000  .400  .000 
Michael Dunn       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Robbie Erlin       L   6   4   1   1   0   0   0   0   0   0   0  .667  .667 1.167 
Marco Estrada      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Doug Fister        R   6   2   2   0   0   0   0   0   0   0   0  .333  .333  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gavin Floyd        R   8   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Mike Foltynewicz   R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jaime Garcia       L   5   2   0   0   1   1   0   2   0   0   0  .400  .500 1.000 
Yimi Garcia        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Matt Garza         R  13   3   0   0   0   0   0   4   0   0   0  .231  .231  .231 
Dillon Gee         R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Tom Gorzelanny     L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Luke Gregerson     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Zack Greinke       R  23   7   2   0   0   2   0   3   1   0   1  .304  .370  .391 
Jesse Hahn         R   5   1   0   0   0   2   1   1   0   0   0  .200  .429  .200 
Cole Hamels        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Brad Hand          L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
J.A. Happ          L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Aaron Harang       R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
