Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   4   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Paul Abbott        R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Jeremy Accardo     R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Mike Adams         R   5   1   0   0   1   1   0   2   0   0   0  .200  .333  .800 
Jeremy Affeldt     L  22   6   0   0   1   0   0   5   0   0   0  .273  .273  .409 
Brian Anderson     L  11   4   0   0   0   0   0   1   0   0   0  .364  .364  .364 
Matt Anderson      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jose Arredondo     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bronson Arroyo     R  19   7   2   0   0   2   0   5   0   0   0  .368  .429  .474 
Cha-Seung Baek     R  21   5   2   0   1   1   0   2   0   0   0  .238  .273  .476 
Danys Baez         R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Homer Bailey       R  15   3   2   1   0   0   0   4   0   0   0  .200  .200  .467 
Scott Baker        R  23   8   1   0   0   1   0   4   1   0   0  .348  .400  .391 
James Baldwin      R   4   2   0   0   2   0   0   0   0   0   0  .500  .500 2.000 
John Bale          L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Grant Balfour      R   7   4   1   0   1   0   0   3   0   0   0  .571  .571 1.143 
Josh Banks         R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Brian Bannister    R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Antonio Bastardo   L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Miguel Batista     R  14   3   1   0   1   1   0   5   1   0   0  .214  .313  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Bauer         R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Denny Bautista     R  11   1   0   0   0   2   0   0   0   0   0  .091  .231  .091 
Josh Beckett       R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Erik Bedard        L  12   2   1   0   1   2   0   5   0   0   0  .167  .286  .500 
Matt Belisle       R  15   5   4   0   1   1   0   5   0   0   0  .333  .375  .800 
Heath Bell         R   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
Rob Bell           R   5   2   1   0   0   0   0   0   1   0   0  .400  .500  .600 
Joaquin Benoit     R  11   1   0   0   1   1   0   4   0   0   0  .091  .167  .364 
Adam Bernero       R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 
Nick Blackburn     R   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
Joe Blanton        R  21   1   0   0   0   3   0   7   0   1   0  .048  .167  .048 
Mitchell Boggs     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeremy Bonderman   R  42  12   2   0   0   2   0  16   1   0   0  .286  .333  .333 
Boof Bonser        R  10   5   1   0   0   0   0   1   0   0   0  .500  .500  .600 
Dallas Braden      L   7   4   2   0   1   1   0   1   0   0   0  .571  .625 1.286 
Chad Bradford      R   8   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Jim Brower         R   6   3   1   0   1   1   0   1   0   0   0  .500  .571 1.167 
Billy Buckner      R  11   7   1   0   0   0   0   1   1   0   0  .636  .667  .727 
Mark Buehrle       L  57  13   2   0   2   6   0   9   1   0   0  .228  .313  .368 
Dave Burba         R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ambiorix Burgos    R   7   0   0   0   0   0   0   3   1   0   0  .000  .125  .000 
John Burkett       R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
A.J. Burnett       R   9   2   0   0   1   2   0   4   0   0   0  .222  .364  .556 
Brian Burres       L   3   0   0   0   0   4   0   1   0   0   0  .000  .571  .000 
Jared Burton       R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
David Bush         R   9   1   0   0   0   1   0   4   0   0   0  .111  .200  .111 
Paul Byrd          R   9   1   1   0   0   0   0   4   0   0   0  .111  .111  .222 
Tim Byrdak         L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Daniel Cabrera     R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Matt Cain          R  29   8   2   0   2   4   2  10   0   0   0  .276  .364  .552 
Kiko Calero        R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Shawn Camp         R  11   2   1   0   0   0   0   2   0   0   1  .182  .167  .273 
Matt Capps         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Chris Carpenter    R  13   1   0   0   0   0   0   5   0   0   1  .077  .071  .077 
D.J. Carrasco      R  16   3   0   0   0   0   0   2   0   0   0  .188  .188  .188 
Lance Carter       R   6   3   0   0   1   0   0   0   0   0   1  .500  .429 1.000 
Santiago Casilla   R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Gustavo Chacin     L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Jhoulys Chacin     R  13   3   2   0   0   1   1   3   1   0   0  .231  .333  .385 
Tyler Chatwood     R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bruce Chen         L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Roger Clemens      R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Todd Coffey        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jesus Colome       R   4   2   0   0   0   0   0   0   0   1   0  .500  .500  .500 
Bartolo Colon      R  23   6   1   0   0   2   0   4   0   0   1  .261  .308  .304 
Roman Colon        R   6   4   0   0   1   0   0   0   0   0   0  .667  .667 1.167 
Jose Contreras     R  28   9   3   1   0   4   0   9   0   0   0  .321  .406  .500 
Aaron Cook         R  11   4   3   0   0   0   0   1   0   0   0  .364  .364  .636 
F. Cordero         R  12   1   0   0   0   2   0   4   0   0   0  .083  .214  .083 
Nate Cornejo       R  18   5   2   0   1   1   0   1   0   0   0  .278  .316  .556 
Kevin Correia      R  17   3   1   0   0   1   0   7   0   0   0  .176  .222  .235 
Neal Cotts         L   9   2   0   0   0   1   0   2   0   0   0  .222  .300  .222 
Jesse Crain        R  12   2   0   0   0   2   0   2   1   0   0  .167  .333  .167 
Johnny Cueto       R   8   3   0   0   1   1   0   2   1   0   0  .375  .500  .750 
