Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Doyle Alexander    R  13   2   0   0   0   1   0   0   0   0   0  .154  .214  .154 
Jerry Augustine    L  11   3   1   1   0   0   0   0   0   0   0  .273  .273  .545 
Stan Bahnsen       R   3   2   0   0   0   0   0   0   0   1   0  .667  .667  .667 
Rick Baldwin       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Eddie Bane         L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Ray Bare           R   8   4   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jim Barr           R  16   6   1   0   0   2   0   0   0   0   0  .375  .444  .438 
F. Barrios         R  10   2   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Gary Beare         R   8   1   0   0   0   3   0   1   0   0   0  .125  .364  .125 
Jim Bibby          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jack Billingham    R  15   5   1   1   1   0   0   1   1   0   0  .333  .375  .733 
Doug Bird          R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Dennis Blair       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Vida Blue          L  15   2   0   0   0   0   0   2   0   0   0  .133  .133  .133 
Bert Blyleven      R  11   3   0   0   0   1   0   1   0   0   1  .273  .308  .273 
Bill Bonham        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ken Brett          L  16   6   0   1   0   2   0   1   0   0   0  .375  .444  .500 
Nelson Briles      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Pete Broberg       R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ron Bryant         L   9   1   0   0   0   0   0   0   0   0   0  .111  .111  .111 
Tom Burgmeier      L   5   2   0   1   0   0   0   0   0   0   0  .400  .400  .800 
Ray Burris         R  19   6   1   0   0   0   0   4   0   0   0  .316  .316  .368 
Steve Busby        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Jeff Byrd          R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Mike Caldwell      L  13   3   0   1   0   1   0   0   0   0   0  .231  .286  .385 
Bill Campbell      R  10   2   1   0   0   2   0   1   0   0   0  .200  .333  .300 
John Candelaria    L   7   1   0   0   0   1   1   1   0   0   0  .143  .250  .143 
Steve Carlton      L  15   1   0   0   0   2   0   3   0   0   1  .067  .167  .067 
Clay Carroll       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Bill Castro        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
L. Christenson     R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Reggie Cleveland   R  12   5   2   0   0   0   0   2   0   0   0  .417  .417  .583 
Jim Colborn        R   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 
Mike Cosgrove      L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Jim Crawford       L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Mike Cuellar       L   4   1   0   0   1   0   0   0   0   1   1  .250  .200 1.000 
John Curtis        L  11   3   1   0   0   0   0   0   0   0   0  .273  .273  .364 
Pat Darcy          R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Larry Demery       R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don DeMola         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Tom Dettore        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Larry Dierker      R   7   4   0   0   0   0   0   1   0   0   0  .571  .571  .571 
Al Downing         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dick Drago         R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Dennis Eckersley   R  12   2   1   0   0   0   0   1   0   0   0  .167  .167  .250 
Pete Falcone       L  11   3   1   0   1   1   0   3   0   0   0  .273  .333  .636 
Mark Fidrych       R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ed Figueroa        R  14   5   1   1   0   1   0   0   0   1   0  .357  .400  .571 
Mike Flanagan      L  11   5   2   0   0   2   0   2   0   0   0  .455  .538  .636 
Ken Forsch         R   9   3   1   0   0   0   0   0   0   0   0  .333  .333  .444 
Terry Forster      L   5   3   0   1   0   0   0   0   0   0   0  .600  .600 1.000 
Steve Foucault     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Freisleben    R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Danny Frisella     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
