Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Hank Aguirre       L  10   1   0   0   0   2   0   5   1   0   0  .100  .308  .100 
Jack Aker          R  16   7   0   0   1   1   1   3   0   0   0  .438  .471  .625 
Bob Allen          L   3   1   0   0   0   0   0   2   1   0   0  .333  .500  .333 
Gerry Arrigo       L   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Stan Bahnsen       R  12   5   0   0   0   1   0   1   0   0   0  .417  .462  .417 
Steve Bailey       R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Jack Baldschun     R   4   0   0   0   0   2   1   1   0   0   0  .000  .333  .000 
Dave Baldwin       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Steve Barber       L   8   4   2   0   1   1   0   0   0   0   1  .500  .500 1.125 
Gary Bell          R  27   3   1   0   1   4   0   5   0   0   0  .111  .226  .259 
Dennis Bennett     L   4   0   0   0   0   1   0   1   0   1   0  .000  .200  .000 
Frank Bertaina     L   1   0   0   0   0   1   0   1   0   2   0  .000  .500  .000 
Jack Billingham    R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Steve Blass        R   7   0   0   0   0   2   0   1   1   0   0  .000  .300  .000 
Bert Blyleven      R  11   3   0   0   1   1   0   3   0   0   1  .273  .308  .545 
Bobby Bolin        R  18   3   0   0   0   2   0   3   0   0   0  .167  .250  .167 
Dick Bosman        R  27   7   0   0   1   3   1   1   0   0   0  .259  .333  .370 
Dave Boswell       R  24   5   0   0   2   7   0   6   0   1   0  .208  .387  .458 
Jim Bouton         R  15   5   1   0   3   5   0   0   1   0   1  .333  .500 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gene Brabender     R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Tom Bradley        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bucky Brandon      R  17   3   0   0   0   3   0   3   0   0   0  .176  .300  .176 
Nelson Briles      R   6   2   1   0   0   2   0   0   0   0   0  .333  .500  .500 
George Brunet      L  23   5   1   2   0   0   0   4   0   2   0  .217  .217  .435 
Ron Bryant         L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Bunning        R   8   1   1   0   0   1   0   0   0   0   0  .125  .222  .250 
Lew Burdette       R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Tom Burgmeier      L   5   4   1   0   0   2   0   1   0   0   0  .800  .857 1.000 
John Buzhardt      R   8   2   1   0   0   2   1   0   0   0   1  .250  .364  .375 
Don Cardwell       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Clay Carroll       R  10   4   2   1   0   2   0   0   0   0   0  .400  .500  .800 
Dean Chance        R  49  12   1   0   2   6   1  10   0   0   1  .245  .321  .388 
Pete Cimino        R   9   3   0   0   2   1   0   1   0   0   0  .333  .400 1.000 
Rickey Clark       R  19   4   0   0   0   2   0   2   0   0   0  .211  .286  .211 
Tony Cloninger     R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Jim Coates         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Joe Coleman        R  21   5   0   0   1   2   0   0   0   0   0  .238  .304  .381 
Casey Cox          R  16   4   1   0   0   2   1   0   0   0   0  .250  .333  .313 
Jack Cullen        R   5   3   1   0   0   1   1   0   0   0   0  .600  .667  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Culp           R  23   4   0   0   1   5   1   6   0   0   0  .174  .321  .304 
George Culver      R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Bruce Dal Canton   R   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Bennie Daniels     R   6   2   0   0   0   2   0   1   0   0   0  .333  .500  .333 
Jim Dickson        R   6   3   1   0   0   1   0   1   0   0   0  .500  .571  .667 
Larry Dierker      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jack DiLauro       L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Chuck Dobson       R  34   9   0   0   2   4   1   4   0   0   0  .265  .342  .441 
Pat Dobson         R  13   2   0   0   0   2   1   0   0   0   0  .154  .267  .154 
Al Downing         L  17   5   3   0   1   9   0   4   0   1   0  .294  .538  .647 
Moe Drabowsky      R   5   4   0   0   3   0   0   0   0   0   0  .800  .800 2.600 
Dick Drago         R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Don Drysdale       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Duckworth      R   3   1   0   0   1   2   0   1   0   0   0  .333  .600 1.333 
Bob Duliba         R   5   2   0   0   2   0   0   0   0   0   0  .400  .400 1.600 
Steve Dunning      R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dock Ellis         R   6   3   2   0   0   1   0   1   0   1   0  .500  .571  .833 
Sammy Ellis        R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Roy Face           R   2   1   0   0   1   2   0   0   0   0   0  .500  .750 2.000 
Turk Farrell       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Eddie Fisher       R   9   2   0   0   0   1   0   3   0   0   0  .222  .300  .222 
Jack Fisher        R  12   4   0   0   1   2   0   3   0   0   0  .333  .429  .583 
Whitey Ford        L   9   4   1   1   1   3   0   0   0   1   0  .444  .583 1.111 
Alan Foster        R   8   3   0   0   1   1   0   0   0   0   0  .375  .444  .750 
Woodie Fryman      L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Aubrey Gatewood    R   2   0   0   0   0   3   0   0   0   0   0  .000  .600  .000 
Gary Gentry        R   6   1   0   1   0   0   0   2   0   0   0  .167  .167  .500 
Joe Gibbon         L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Gibson         R   7   2   0   0   0   2   0   1   0   0   0  .286  .444  .286 
Fred Gladding      R   6   3   1   0   0   1   0   0   0   0   0  .500  .571  .667 
Bill Gogolewski    R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Mudcat Grant       R  38   9   1   0   2   4   0   7   1   0   0  .237  .326  .421 
Tom Griffin        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Guido Grilli       L   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Joe Grzenda        L   5   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Dick Hall          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jack Hamilton      R   8   4   0   0   1   1   0   0   0   0   0  .500  .556  .875 
Steve Hamilton     L  11   0   0   0   0   1   0   5   0   2   0  .000  .083  .000 
Bill Hands         R  10   3   0   0   0   1   0   2   0   0   0  .300  .364  .300 
Jim Hannan         R  19   6   0   0   1   3   0   1   0   0   0  .316  .409  .474 
