Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doyle Alexander    R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Larry Andersen     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Jim Bibby          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Vida Blue          L  15   5   0   0   0   2   0   3   0   0   0  .333  .412  .333 
Tom Browning       L  15   5   1   0   2   3   1   3   0   0   0  .333  .444  .800 
Rick Camp          R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
John Candelaria    L  12   2   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Steve Carlton      L  22   6   1   0   1   1   0   6   0   0   0  .273  .304  .455 
Don Carman         L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
John Curtis        L   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Mark Davis         L   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Ken Dayley         L   9   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jeff Dedmon        R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Frank DiPino       L   7   2   1   0   0   0   0   3   0   0   0  .286  .286  .429 
Pete Falcone       L   7   2   1   0   0   1   1   2   0   0   0  .286  .375  .429 
Sid Fernandez      L  13   2   0   0   1   0   0   3   0   0   0  .154  .154  .385 
Bob Forsch         R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
John Franco        L   8   2   0   0   0   1   1   3   0   0   0  .250  .333  .250 
Woodie Fryman      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Gene Garber        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Griffin        R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Atlee Hammaker     L   6   3   0   0   1   0   0   0   0   0   1  .500  .429 1.000 
Preston Hanna      R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Andy Hassler       L   1   0   0   0   0   3   2   0   0   0   0  .000  .750  .000 
G. Hernandez       L   4   3   1   0   1   1   0   0   0   0   0  .750  .800 1.750 
Joe Hesketh        L   7   1   0   0   0   0   0   3   0   1   0  .143  .143  .143 
Ken Holtzman       L   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Rick Honeycutt     L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Burt Hooton        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Charlie Hough      R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Tom Hume           R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Randy Jones        L   9   2   0   0   0   1   0   1   0   0   0  .222  .300  .222 
Bob Kipper         L   3   3   1   0   2   2   0   0   0   0   0 1.000 1.000 3.333 
Bruce Kison        R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Bob Knepper        L  23   7   2   0   0   2   0   4   0   0   0  .304  .360  .391 
Jerry Koosman      L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Krukow        R   3   1   0   0   0   1   1   0   0   0   1  .333  .400  .333 
Mike LaCoss        R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Dave LaPoint       L   7   3   0   1   0   0   0   1   0   0   0  .429  .429  .714 
Gary Lavelle       L   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Randy Lerch        L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mark Littell       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Aurelio Lopez      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Rick Mahler        R  10   1   0   0   0   1   0   3   0   0   0  .100  .182  .100 
Andy McGaffigan    R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Craig McMurtry     R   5   1   0   0   0   1   0   2   0   1   0  .200  .333  .200 
Larry McWilliams   L  19   6   1   0   0   2   1   3   0   0   0  .316  .381  .368 
Greg Minton        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Montefusco    R   5   0   0   0   0   2   0   4   0   0   0  .000  .286  .000 
Jamie Moyer        L   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Terry Mulholland   L   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Steve Mura         R   2   1   0   0   1   3   0   0   0   0   0  .500  .800 2.000 
Phil Niekro        R  22   7   2   0   0   0   0   5   0   0   0  .318  .318  .409 
Bob Ojeda          L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jesse Orosco       L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Owchinko       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
David Palmer       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pascual Perez      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Ted Power          R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Joe Price          L   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Eric Rasmussen     R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Jerry Reuss        L   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
