Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   5   1   0   0   0   1   0   0   0   1   0  .200  .333  .200 
Jim Abbott         L  56  16   4   0   0   8   0   4   0   0   0  .286  .375  .357 
Paul Abbott        R   3   0   0   0   0   1   1   2   0   0   0  .000  .250  .000 
Glenn Abbott       R   9   5   1   0   0   0   0   1   0   0   0  .556  .556  .667 
Jim Acker          R  12   7   1   0   0   2   0   0   0   1   0  .583  .643  .667 
Joel Adamson       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Juan Agosto        L   6   3   1   0   0   3   0   1   0   1   0  .500  .667  .667 
Rick Aguilera      R  21   7   1   0   0   1   0   4   0   0   0  .333  .364  .381 
Jose Alberro       R   5   1   1   0   0   3   1   0   0   0   0  .200  .500  .400 
Scott Aldred       L   5   0   0   0   0   2   0   0   0   0   0  .000  .286  .000 
Doyle Alexander    R  51  19   8   1   0   7   0   2   0   0   1  .373  .441  .569 
Neil Allen         R  11   8   1   0   0   0   0   1   0   0   0  .727  .727  .818 
Wilson Alvarez     L  22   7   1   0   0   4   0   5   0   1   1  .318  .407  .364 
Allan Anderson     L  18   6   0   0   0   4   1   1   0   0   1  .333  .435  .333 
Brian Anderson     L   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Bud Anderson       R   6   4   1   0   1   3   0   0   0   0   0  .667  .778 1.333 
Rick Anderson      R   4   2   0   0   1   2   1   1   0   0   0  .500  .667 1.250 
Joaquin Andujar    R  12   1   1   0   0   4   0   3   0   0   0  .083  .313  .167 
Luis Aponte        R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Kevin Appier       R  51  11   1   0   1  12   1   3   0   0   1  .216  .359  .294 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Luis Aquino        R  17   7   1   0   0   2   1   1   0   0   0  .412  .474  .471 
Jack Armstrong     R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Mike Armstrong     R   9   7   0   0   0   1   0   1   0   1   0  .778  .800  .778 
Tony Arnold        R   6   4   1   1   0   2   2   0   0   0   0  .667  .750 1.167 
Brad Arnsberg      R   3   2   0   1   1   1   0   0   0   0   0  .667  .750 2.333 
Paul Assenmacher   L   9   3   0   0   0   1   1   0   0   0   0  .333  .400  .333 
Keith Atherton     R  22   9   2   0   1   3   0   2   0   0   1  .409  .462  .636 
Don August         R  13   5   0   0   0   3   0   0   0   0   0  .385  .500  .385 
