Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Acker          R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Johnny Antonelli   L  26   3   0   1   1   3   0   9   0   1   0  .115  .207  .308 
Luis Arroyo        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Gary Blaylock      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Marshall Bridges   L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Briggs        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Brosnan        R   7   4   0   0   0   0   0   0   0   0   0  .571  .571  .571 
Bob Buhl           R   5   1   1   0   0   2   0   1   0   0   0  .200  .429  .400 
Lew Burdette       R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Gene Conley        R   3   0   0   0   0   0   0   0   0   1   2  .000  .000  .000 
Bennie Daniels     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Moe Drabowsky      R   5   3   0   0   0   0   0   1   1   0   0  .600  .667  .600 
Dick Drott         R   6   1   0   0   0   1   0   0   0   0   1  .167  .250  .167 
Don Drysdale       R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Don Elston         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Roy Face           R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Art Fowler         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Friend         R  15   8   0   0   2   0   0   2   0   0   0  .533  .533  .933 
Ruben Gomez        R  16   5   1   0   0   1   0   1   0   0   0  .313  .353  .375 
Marv Grissom       R   6   0   0   0   0   1   1   2   0   0   0  .000  .143  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Gross          L   3   2   0   0   1   1   0   0   1   0   0  .667  .800 1.667 
Harvey Haddix      L  11   2   0   0   0   2   0   1   0   0   0  .182  .308  .182 
Bill Henry         L   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Dave Hillman       R   5   2   0   0   0   2   0   1   0   0   0  .400  .571  .400 
Larry Jackson      R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Hal Jeffcoat       R   5   2   0   2   0   0   0   0   0   0   0  .400  .400 1.200 
Sam Jones          R  11   2   0   0   1   0   0   5   0   0   0  .182  .182  .455 
Nellie King        R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Ron Kline          R  10   2   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Sandy Koufax       L   8   1   0   0   1   2   0   5   0   0   0  .125  .300  .500 
Clem Labine        R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Vern Law           R   9   4   1   0   1   1   0   2   0   0   0  .444  .500  .889 
Brooks Lawrence    R  12   3   0   0   1   0   0   3   0   0   0  .250  .250  .500 
Joe Margoneri      L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Mike McCormick     L  19   3   0   0   1   3   1   4   0   0   1  .158  .261  .316 
Danny McDevitt     L  11   2   1   0   1   1   0   2   0   0   0  .182  .250  .545 
Don McMahon        R   4   2   1   0   0   0   0   2   0   0   0  .500  .500  .750 
V. Mizell          L  22   4   1   0   1   3   0   8   0   0   0  .182  .280  .364 
Don Newcombe       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Joe Nuxhall        L  13   3   1   0   0   0   0   4   0   0   0  .231  .231  .308 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Taylor Phillips    L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Juan Pizarro       L  16   2   0   0   2   1   0   8   0   0   0  .125  .176  .500 
Johnny Podres      L  14   6   1   0   0   3   0   3   0   0   0  .429  .529  .500 
Bob Porterfield    R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Rush           R   5   0   0   0   0   1   1   2   0   0   0  .000  .167  .000 
Willard Schmidt    R  10   3   1   0   0   0   0   2   0   0   0  .300  .300  .400 
Bob Smith          L   7   4   0   1   1   0   0   1   0   0   0  .571  .571 1.286 
Warren Spahn       L  28   5   0   0   0   2   0   3   0   0   0  .179  .233  .179 
Carl Willey        R   4   3   2   0   0   0   0   0   0   0   0  .750  .750 1.250 
Al Worthington     R   9   0   0   0   0   1   0   2   1   0   0  .000  .182  .000
