Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  13   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Tom Acker          R  21   4   1   0   0   2   1   1   0   1   0  .190  .261  .238 
Craig Anderson     R   9   3   0   0   1   3   0   1   0   0   0  .333  .500  .667 
Bob Anderson       R  34  12   3   0   1   6   2   8   0   0   0  .353  .450  .529 
Johnny Antonelli   L  91  30   4   2   5   5   1  11   0   0   1  .330  .361  .582 
Gerry Arrigo       L  17   7   0   0   0   3   0   1   0   0   1  .412  .476  .412 
Luis Arroyo        L  15   3   0   0   0   2   0   1   0   0   0  .200  .294  .200 
Jack Baldschun     R  30   6   1   0   0   2   0   1   0   0   0  .200  .250  .233 
Curt Barclay       R  10   3   0   0   1   0   0   0   1   0   0  .300  .364  .600 
Larry Bearnarth    R  13   6   0   0   0   1   0   1   0   0   0  .462  .500  .462 
Bo Belinsky        L  11   1   0   0   0   1   0   1   0   0   0  .091  .167  .091 
Gary Bell          R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dennis Bennett     L  19   6   2   1   1   6   1   4   0   0   0  .316  .480  .684 
Don Bessent        R  13   1   0   0   0   3   0   3   0   0   0  .077  .250  .077 
Joe Black          R   5   1   0   0   0   1   1   2   0   0   0  .200  .333  .200 
Ron Blackburn      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Wade Blasingame    L  26   6   1   0   0   2   0   4   0   0   1  .231  .276  .269 
Steve Blass        R  17   4   1   0   1   1   0   4   0   0   0  .235  .278  .471 
Bobby Bolin        R  27   9   0   0   2   4   1   0   0   0   0  .333  .419  .556 
John Boozer        R   9   4   0   2   1   0   0   0   0   0   0  .444  .444 1.222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Bork         L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Dick Bosman        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dave Boswell       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Brewer         L  10   3   0   0   1   3   1   2   0   0   1  .300  .429  .600 
Nelson Briles      R  10   2   1   0   0   1   0   1   0   1   0  .200  .273  .300 
Ernie Broglio      R  16   4   0   1   2   1   0   1   0   0   0  .250  .294  .750 
Jim Brosnan        R  37   8   2   0   1   0   0   4   0   1   1  .216  .211  .351 
Hal Brown          R  14   4   1   0   1   2   0   2   0   0   0  .286  .375  .571 
Paul Brown         R  10   3   0   1   0   3   0   2   0   0   0  .300  .462  .500 
Bob Bruce          R  43  15   5   1   0   2   0  11   0   0   0  .349  .378  .512 
George Brunet      L  13   5   0   0   0   2   0   0   0   0   1  .385  .438  .385 
Bob Buhl           R  75  22   4   1   2  12   0   9   0   0   2  .293  .382  .453 
Jim Bunning        R  46  12   1   0   1   3   0  12   0   0   0  .261  .306  .348 
Freddie Burdette   R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Lew Burdette       R  88  27   3   0   3   3   1   6   0   0   2  .307  .323  .443 
Pete Burnside      L   7   4   0   0   2   0   0   0   0   0   0  .571  .571 1.429 
Tom Butters        R   8   2   0   0   0   2   0   2   0   0   0  .250  .400  .250 
John Buzhardt      R  39  11   2   0   2   6   1   1   0   0   0  .282  .378  .487 
Don Cardwell       R  70  24   4   3   2   4   0  11   0   0   1  .343  .373  .571 
Steve Carlton      L  12   3   1   0   0   1   0   2   0   0   1  .250  .286  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
