Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   3   0   0   0   0   2   0   0   0   1   0  .000  .400  .000 
Gerry Arrigo       L   8   2   0   0   0   2   0   1   0   0   0  .250  .400  .250 
Jack Baldschun     R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Jack Billingham    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Wade Blasingame    L  16   3   0   0   0   0   0   0   0   0   0  .188  .188  .188 
Steve Blass        R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
Bobby Bolin        R  25   4   1   0   0   1   0   4   0   0   0  .160  .192  .200 
Jim Brewer         L  11   3   0   0   0   2   2   1   0   1   0  .273  .385  .273 
Nelson Briles      R  20   3   0   0   0   1   0   5   1   1   0  .150  .227  .150 
Ernie Broglio      R   3   0   0   0   0   1   1   0   0   1   0  .000  .250  .000 
Bob Buhl           R   4   1   0   0   0   4   0   0   0   0   0  .250  .625  .250 
Jim Bunning        R  25   3   0   2   0   2   0   9   0   1   0  .120  .185  .280 
Don Cardwell       R  12   1   0   0   0   0   0   0   0   0   0  .083  .083  .083 
Steve Carlton      L  23   2   2   0   0   2   0   2   0   0   0  .087  .160  .174 
Clay Carroll       R  11   4   2   0   0   1   0   0   0   0   0  .364  .417  .545 
Bill Champion      R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Galen Cisco        R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Tony Cloninger     R  20   3   0   0   0   2   0   3   0   0   0  .150  .227  .150 
Danny Coombs       L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mike Corkins       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roger Craig        R   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 
Ray Culp           R  15   5   1   0   0   0   0   2   0   0   0  .333  .333  .400 
George Culver      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ted Davidson       L   7   3   0   0   0   1   0   0   0   0   0  .429  .500  .429 
Joe Decker         R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Larry Dierker      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Don Drysdale       R  20   3   0   0   0   0   0   2   2   0   0  .150  .227  .150 
Dock Ellis         R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Sammy Ellis        R  11   1   0   0   0   3   0   2   0   0   0  .091  .286  .091 
Dick Ellsworth     L  12   4   0   1   0   0   0   0   0   1   0  .333  .333  .500 
Turk Farrell       R   4   3   1   0   0   0   0   1   0   0   0  .750  .750 1.000 
Jack Fisher        R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
Alan Foster        R   2   1   0   0   0   1   1   0   0   1   0  .500  .667  .500 
Bob Friend         R  10   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Woodie Fryman      L   9   2   1   0   0   2   0   0   0   0   0  .222  .364  .333 
Gary Gentry        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Joe Gibbon         L  14   3   0   0   0   0   0   2   0   0   0  .214  .214  .214 
Bob Gibson         R  22   7   1   0   1   2   0   1   0   0   0  .318  .375  .500 
Dave Giusti        R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Fred Gladding      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wayne Granger      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mudcat Grant       R  11   4   0   0   0   0   0   1   0   0   0  .364  .364  .364 
Don Gullett        L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Bill Hands         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Bob Hendley        L   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Bill Hepler        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ron Herbel         R   8   4   0   0   0   2   1   0   0   1   0  .500  .600  .500 
Ray Herbert        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Billy Hoeft        L   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Joe Hoerner        L   6   2   0   0   0   1   1   1   0   0   1  .333  .375  .333 
Ken Holtzman       L  15   2   0   0   0   2   0   0   0   0   0  .133  .235  .133 
Dick Hughes        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Bob Humphreys      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al Jackson         L  22   9   1   0   0   0   0   1   0   0   0  .409  .409  .455 
Grant Jackson      L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Larry Jackson      R   6   0   0   0   0   0   0   0   1   0   0  .000  .143  .000 
Pat Jarvis         R  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 
Larry Jaster       L  13   4   1   0   0   0   0   1   0   0   0  .308  .308  .385 
Joey Jay           R   3   2   0   0   0   1   0   0   0   0   1  .667  .600  .667 
Fergie Jenkins     R   8   1   0   0   0   2   2   2   1   0   0  .125  .364  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Johnson        R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Johnson        R   2   0   0   0   0   1   0   1   0   1   0  .000  .333  .000 
