Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hal Brown          R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Bunning        R  12   0   0   0   0   0   0   6   0   1   0  .000  .000  .000 
Tex Clevenger      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Art Ditmar         R   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Dick Donovan       R  15   3   0   0   0   0   0   4   0   1   0  .200  .200  .200 
Bob Feller         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bill Fischer       R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Whitey Ford        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Paul Foytack       R  13   2   0   0   0   1   0   6   0   1   0  .154  .214  .154 
Mike Garcia        R  14   6   0   0   0   0   0   4   0   0   0  .429  .429  .429 
Ned Garver         R   9   1   0   0   0   1   0   1   0   1   0  .111  .200  .111 
Tom Gorman         R  13   2   0   0   0   0   0   3   0   1   0  .154  .154  .154 
Mudcat Grant       R   8   2   0   0   0   1   0   1   0   3   1  .250  .300  .250 
Connie Grob        R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Steve Gromek       R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Dick Hall          R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Jack Harshman      L  11   2   1   0   0   1   0   2   0   0   0  .182  .250  .273 
Ray Herbert        R  14   5   0   0   0   0   0   3   0   0   0  .357  .357  .357 
Troy Herriage      R   5   1   0   0   0   0   0   2   0   1   0  .200  .200  .200 
Art Houtteman      R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Connie Johnson     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Don Johnson        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bob Keegan         R   9   1   0   1   0   0   0   1   0   0   0  .111  .111  .333 
Russ Kemmerer      R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Johnny Kucks       R   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Don Larsen         R  14   2   1   0   0   1   0   3   0   0   0  .143  .200  .214 
Frank Lary         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Barry Latman       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bob Lemon          R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Billy Loes         R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Duke Maas          R  11   2   1   0   0   0   0   4   0   0   0  .182  .182  .273 
Don Mossi          L  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Bill Oster         L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Erv Palica         R   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Camilo Pascual     R  15   3   1   0   0   0   0   8   0   0   0  .200  .200  .267 
Jim Perry          R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Billy Pierce       L  12   3   1   0   0   1   0   3   0   3   1  .250  .286  .333 
Bob Porterfield    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
A. Portocarrero    R   7   2   0   0   0   0   0   0   0   1   0  .286  .286  .286 
Pedro Ramos        R  11   5   0   0   1   0   0   2   0   0   0  .455  .455  .727 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Herb Score         L   5   0   0   0   0   2   0   3   0   0   0  .000  .286  .000 
Bobby Shantz       L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Bob Shaw           R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Al Sima            L   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Chuck Stobbs       L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Ralph Terry        R   7   1   0   0   0   0   0   2   0   1   0  .143  .143  .143 
Bob Trice          R   5   2   0   1   0   0   0   0   0   0   0  .400  .400  .800 
Virgil Trucks      R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
John Tsitouris     R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Bob Turley         R  17   2   0   0   0   0   0   5   0   0   0  .118  .118  .118 
Jack Urban         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Hoyt Wilhelm       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Wilson         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Early Wynn         R  12   1   0   0   0   1   0   3   0   0   0  .083  .154  .083
