Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Vic Albury         L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Joaquin Andujar    R  11   2   0   0   0   1   0   1   0   0   0  .182  .250  .182 
Doug Bair          R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
F. Barrios         R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Jim Beattie        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Doug Bird          R  11   3   0   0   0   0   0   2   1   0   0  .273  .333  .273 
Bert Blyleven      R  11   3   0   0   0   1   0   2   0   0   0  .273  .333  .273 
Tommy Boggs        R   4   0   0   0   0   2   1   2   0   0   0  .000  .333  .000 
Ken Brett          L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Nelson Briles      R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tony Brizzolara    R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Steve Busby        R   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
Bill Campbell      R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Dennis Eckersley   R   8   1   0   1   0   0   0   1   0   0   0  .125  .125  .375 
Dock Ellis         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Nino Espinosa      R   9   1   1   0   0   1   0   0   0   0   0  .111  .200  .222 
Mark Fidrych       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ed Figueroa        R  12   2   1   0   0   0   0   4   0   0   0  .167  .167  .250 
Rollie Fingers     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Fitzmorris      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Forsch         R   6   1   0   0   1   1   1   0   0   0   1  .167  .250  .667 
John Fulgham       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Wayne Garland      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
