Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Jim Acker          R   4   0   0   0   0   3   2   2   0   0   0  .000  .429  .000 
Rick Aguilera      R   7   4   1   0   0   2   2   1   0   0   0  .571  .667  .714 
Darrel Akerfelds   R   8   2   1   0   1   0   0   1   0   0   0  .250  .250  .750 
Doyle Alexander    R  15   3   0   0   2   3   2   2   0   0   0  .200  .333  .600 
Neil Allen         R  17   4   0   0   0   1   0   4   0   0   0  .235  .278  .235 
Larry Andersen     R   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Allan Anderson     L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Joaquin Andujar    R  15   7   0   0   2   2   0   3   0   0   0  .467  .529  .867 
Kevin Appier       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Tony Arnold        R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Paul Assenmacher   L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Scott Bailes       L  16   6   0   0   0   0   0   2   1   0   1  .375  .389  .375 
Jeff Ballard       L  14   4   0   0   1   1   0   0   0   0   0  .286  .333  .500 
Floyd Bannister    L   5   2   0   0   0   2   0   1   0   0   0  .400  .571  .400 
Len Barker         R   8   1   0   0   0   4   0   2   0   0   0  .125  .417  .125 
Jose Bautista      R   9   3   0   0   0   3   3   1   0   0   0  .333  .500  .333 
Steve Bedrosian    R  19   3   0   0   2   0   0   3   0   0   0  .158  .158  .474 
Juan Berenguer     R   7   3   2   0   0   2   0   0   0   0   0  .429  .556  .714 
Bruce Berenyi      R   7   4   2   0   0   4   0   2   0   0   0  .571  .727  .857 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Buddy Black        L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Vida Blue          L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bert Blyleven      R  21   4   0   0   0   2   0   5   0   0   0  .190  .261  .190 
Mike Boddicker     R  25   9   2   0   1   6   1   1   2   1   0  .360  .515  .560 
Oil Can Boyd       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Fred Breining      R  10   1   0   0   0   0   0   0   0   0   0  .100  .100  .100 
Tony Brizzolara    R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Tom Browning       L   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Warren Brusstar    R   7   1   0   0   0   1   0   1   0   0   1  .143  .222  .143 
DeWayne Buice      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tim Burke          R   6   0   0   0   0   1   1   0   0   0   0  .000  .143  .000 
Ray Burris         R   3   0   0   0   0   2   1   3   0   0   1  .000  .333  .000 
Marty Bystrom      R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Greg Cadaret       L   6   4   0   0   0   2   0   0   0   0   0  .667  .750  .667 
Mark Calvert       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Rick Camp          R  14   5   2   0   1   3   0   1   0   0   0  .357  .471  .714 
Mike Campbell      R   3   1   0   0   1   0   0   0   0   0   1  .333  .250 1.333 
Bill Campbell      R   4   0   0   0   0   1   1   2   0   0   0  .000  .200  .000 
John Candelaria    L  12   2   0   0   0   1   0   1   0   0   0  .167  .231  .167 
Tom Candiotti      R  25   5   1   0   0   9   1   5   0   0   0  .200  .412  .240 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Carlton      L   8   2   2   0   0   1   0   3   0   0   0  .250  .333  .500 
Don Carman         L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chuck Cary         L   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
John Cerutti       L  14   6   1   0   1   2   0   4   0   1   0  .429  .500  .714 
Jim Clancy         R  14   2   0   0   0   3   0   1   0   0   0  .143  .294  .143 
Roger Clemens      R  31   6   2   0   0   3   2   7   1   0   0  .194  .286  .258 
Pat Clements       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Danny Cox          R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Steve Crawford     R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Ron Darling        R  13   3   1   0   0   4   0   3   0   0   0  .231  .412  .308 
Danny Darwin       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Storm Davis        R  10   4   1   0   1   1   0   0   0   0   0  .400  .455  .800 
Joel Davis         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Mark Davis         L  10   3   2   0   1   1   0   3   0   0   0  .300  .364  .800 
Bill Dawley        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff Dedmon        R  11   3   0   0   0   0   0   3   0   0   0  .273  .273  .273 
Jose DeLeon        R  15   6   3   0   1   1   0   1   0   0   0  .400  .438  .800 
Luis DeLeon        R  12   3   0   0   1   1   1   2   0   0   0  .250  .308  .500 
John Denny         R  20   3   1   0   0   4   0   6   0   0   0  .150  .292  .200 
Frank DiPino       L   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Dixon          R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
John Dopson        R  10   2   0   0   1   0   0   2   0   0   1  .200  .182  .500 
Richard Dotson     R  19   1   0   0   0   2   0   1   0   0   1  .053  .136  .053 
Kelly Downs        R   3   1   1   0   0   1   1   0   0   0   1  .333  .400  .667 
Dave Dravecky      L  13   0   0   0   0   1   0   1   0   0   0  .000  .071  .000 
Dennis Eckersley   R  11   3   0   0   1   2   0   2   0   0   1  .273  .357  .545 
Mark Eichhorn      R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Dave Eiland        R   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
Pete Falcone       L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Steve Farr         R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Farrell       R  19   6   3   0   0   1   0   3   0   0   0  .316  .350  .474 
Sid Fernandez      L   8   1   1   0   0   4   0   3   0   1   0  .125  .417  .250 
Chuck Finley       L  10   2   1   0   0   2   0   2   0   0   0  .200  .333  .300 
