Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  39   9   0   1   2   2   1   7   0   0   0  .231  .268  .436 
Paul Abbott        R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Juan Acevedo       R   8   2   0   0   1   2   1   1   1   0   0  .250  .455  .625 
Jim Acker          R   6   1   0   0   1   1   0   3   0   0   0  .167  .286  .667 
Terry Adams        R  14   3   0   0   0   0   0   4   0   0   0  .214  .214  .214 
Jeremy Affeldt     L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Rick Aguilera      R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Doyle Alexander    R  17   7   1   0   1   1   0   2   0   0   0  .412  .444  .647 
A. Alfonseca       R   6   2   0   0   2   1   0   0   0   0   0  .333  .429 1.333 
Neil Allen         R  15   5   3   1   0   1   0   3   0   0   0  .333  .375  .667 
Carlos Almanzar    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Allan Anderson     L  12   3   1   0   0   0   0   3   0   0   0  .250  .250  .333 
Brian Anderson     L  24   5   0   0   2   2   0   5   0   0   0  .208  .269  .458 
Jimmy Anderson     L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Rick Anderson      R   5   3   1   1   0   0   0   0   0   0   0  .600  .600 1.200 
Kevin Appier       R  30   8   1   1   0   4   0   9   0   0   1  .267  .343  .367 
Luis Aquino        R  15   7   2   0   0   0   0   0   1   0   0  .467  .500  .600 
Tony Armas         R   6   4   2   0   0   0   0   0   0   0   0  .667  .667 1.000 
Rene Arocha        R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Rolando Arrojo     R  10   3   1   1   0   1   0   2   1   0   0  .300  .417  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Ashby         R  23   6   1   0   1   1   0   8   0   0   0  .261  .292  .435 
Pedro Astacio      R  21   3   2   0   0   2   0   8   0   0   0  .143  .217  .238 
Keith Atherton     R   9   2   0   0   1   1   0   1   0   0   0  .222  .300  .556 
Don August         R   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Steve Avery        L  11   2   0   0   1   2   0   2   0   0   0  .182  .308  .455 
Bobby Ayala        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Manny Aybar        R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Scott Bailes       L  13   5   1   0   0   2   0   0   0   0   0  .385  .467  .462 
Cory Bailey        R   7   2   1   0   0   3   0   1   0   0   0  .286  .500  .429 
Jeff Ballard       L  28  10   2   0   0   1   0   0   0   0   0  .357  .379  .429 
Scott Bankhead     R  30   8   0   1   1   2   0   7   0   0   0  .267  .313  .433 
Willie Banks       R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Floyd Bannister    L  17   7   2   0   1   2   0   2   0   0   0  .412  .474  .706 
Miguel Batista     R   9   2   0   0   1   1   0   1   0   0   2  .222  .250  .556 
Jose Bautista      R  15   5   2   0   1   3   0   3   1   0   1  .333  .450  .667 
Rod Beck           R   4   2   0   0   1   2   0   1   0   0   0  .500  .667 1.250 
Stan Belinda       R  10   2   0   0   2   1   1   5   1   0   0  .200  .333  .800 
Eric Bell          L   8   2   1   0   1   1   0   2   0   0   0  .250  .333  .750 
Rob Bell           R  14   2   0   0   2   1   0   4   0   0   1  .143  .188  .571 
Alan Benes         R  18   4   1   0   1   1   0   5   0   0   0  .222  .263  .444 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Benes         R  22   6   3   1   0   2   0   1   0   0   0  .273  .333  .500 
Juan Berenguer     R  16   4   0   0   0   1   0   5   0   0   0  .250  .294  .250 
Sean Bergman       R  18   5   1   0   1   2   0   4   0   0   0  .278  .350  .500 
Adam Bernero       R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Rocky Biddle       R   9   2   0   0   0   2   0   2   0   0   0  .222  .364  .222 
Mike Bielecki      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Buddy Black        L  14   6   0   0   1   5   0   2   0   0   0  .429  .579  .643 
Willie Blair       R  16   5   1   0   0   3   0   2   1   0   1  .313  .429  .375 
Bert Blyleven      R  17   3   1   0   0   0   0   4   0   0   0  .176  .176  .235 
Doug Bochtler      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mike Boddicker     R  12   2   0   0   0   3   0   3   0   0   0  .167  .333  .167 
Brian Boehringer   R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Brian Bohanon      L  13   7   1   0   3   2   0   3   0   0   0  .538  .600 1.308 
Jeremy Bonderman   R   4   1   1   0   0   2   0   2   0   0   0  .250  .500  .500 
Ricky Bones        R  14   2   1   0   0   1   0   3   0   0   0  .143  .200  .214 
Rich Bordi         R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Toby Borland       R   7   1   0   0   0   1   0   4   0   0   0  .143  .250  .143 
Joe Borowski       R   4   3   1   0   2   0   0   0   0   0   0  .750  .750 2.500 
Chris Bosio        R  21   5   0   0   0   2   0   5   0   0   0  .238  .304  .238 
Ricky Bottalico    R   7   1   0   0   1   2   0   2   0   0   0  .143  .333  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kent Bottenfield   R  15   7   2   0   1   1   0   3   0   0   0  .467  .500  .800 
Steve Bourgeois    R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Oil Can Boyd       R   4   3   1   0   1   0   0   0   0   0   0  .750  .750 1.750 
Chad Bradford      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeff Brantley      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jim Brower         R   4   3   0   0   2   0   0   1   0   0   0  .750  .750 2.250 
Kevin Brown        R  48  11   2   1   0   3   0  14   1   0   0  .229  .288  .313 
Mark Buehrle       L  17   7   2   0   1   6   2   1   0   0   0  .412  .565  .706 
DeWayne Buice      R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jim Bullinger      R   7   3   1   0   1   1   0   0   0   0   0  .429  .500 1.000 
Dave Burba         R  12   4   1   0   0   1   0   6   0   0   0  .333  .385  .417 
John Burkett       R  22  10   2   0   0   3   1   3   1   0   0  .455  .538  .545 
A.J. Burnett       R   5   2   2   0   0   1   0   0   0   0   0  .400  .500  .800 
Todd Burns         R  15   5   2   0   0   0   0   2   0   0   0  .333  .333  .467 
Mike Busby         R   5   3   2   0   1   0   0   0   0   0   0  .600  .600 1.600 
Paul Byrd          R  18   7   1   0   2   0   0   3   0   1   0  .389  .389  .778 
Greg Cadaret       L  10   4   0   0   0   1   0   1   0   0   0  .400  .455  .400 
Kevin Campbell     R   3   1   1   0   0   0   0   0   1   0   0  .333  .500  .667 
Mike Campbell      R   8   1   1   0   0   0   0   3   0   0   0  .125  .125  .250 
John Candelaria    L   8   1   1   0   0   0   0   2   0   1   0  .125  .125  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Candiotti      R  43   9   2   1   2   2   0   9   0   0   0  .209  .244  .442 
Steve Carlton      L   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Giovanni Carrara   R  11   4   0   0   0   1   0   0   0   0   0  .364  .417  .364 
Hector Carrasco    R   9   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Chuck Cary         L  13   5   2   0   1   1   0   1   0   0   0  .385  .429  .769 
Frank Castillo     R  18   7   0   0   2   2   0   4   0   0   0  .389  .450  .722 
Mike Cather        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
John Cerutti       L   9   5   0   0   0   0   0   0   0   0   0  .556  .556  .556 
Norm Charlton      L   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Bobby Chouinard    R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
J. Christiansen    L   5   1   1   0   0   0   0   3   0   0   0  .200  .200  .400 
Jim Clancy         R  13   5   0   0   2   1   0   2   0   1   0  .385  .429  .846 
Mark Clark         R  20   4   0   0   0   0   0   4   0   1   0  .200  .200  .200 
Terry Clark        R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Stan Clarke        L   3   2   1   0   1   1   0   0   0   0   0  .667  .750 2.000 
Mark Clear         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Roger Clemens      R  10   2   0   0   1   0   0   5   0   0   0  .200  .200  .500 
Matt Clement       R   7   0   0   0   0   0   0   4   1   0   0  .000  .125  .000 
Brad Clontz        R  11   3   0   0   0   0   0   2   1   0   0  .273  .333  .273 
Ken Cloude         R   5   2   0   0   0   0   0   1   0   0   1  .400  .333  .400 
