Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Kurt Ainsworth     R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
Wilson Alvarez     L  18   7   1   0   0   0   0   0   1   0   0  .389  .421  .444 
Brian Anderson     L   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Andy Ashby         R  10   4   0   0   0   0   0   1   1   0   0  .400  .455  .400 
Pedro Astacio      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Miguel Batista     R  12   2   1   0   0   1   0   3   0   0   0  .167  .231  .250 
Josh Beckett       R  10   1   0   0   0   0   0   3   0   0   0  .100  .100  .100 
Kris Benson        R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Joe Borowski       R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Jim Brower         R   9   3   2   0   0   1   0   0   0   0   0  .333  .400  .556 
Kevin Brown        R  10   3   0   0   0   0   0   3   0   0   0  .300  .300  .300 
Chris Capuano      L   8   2   0   0   0   0   0   2   2   0   0  .250  .400  .250 
Chris Carpenter    R  11   3   0   0   0   0   0   1   1   1   0  .273  .333  .273 
Giovanni Carrara   R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Shawn Chacon       R  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
Randy Choate       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
J. Christiansen    L   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Roger Clemens      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Matt Clement       R   7   1   1   0   0   2   0   0   0   0   0  .143  .333  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Aaron Cook         R  20   8   2   0   0   1   0   1   0   0   0  .400  .429  .500 
Rheal Cormier      L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Kevin Correia      R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Nelson Cruz        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeff D'Amico       R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Ryan Dempster      R   6   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Elmer Dessens      R  21  10   3   0   0   0   0   3   0   0   0  .476  .476  .619 
Darren Dreifort    R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Joey Eischen       L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Scott Elarton      R   8   1   0   1   0   0   0   0   0   0   1  .125  .111  .375 
Scott Erickson     R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Shawn Estes        L  10   5   0   0   1   0   0   1   0   0   0  .500  .500  .800 
Scott Eyre         L   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 
Jeff Fassero       L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Jared Fernandez    R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Josh Fogg          R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Jesse Foppert      R   5   2   0   1   0   1   0   0   0   0   0  .400  .500  .800 
Casey Fossum       L   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Jeff Francis       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Wayne Franklin     L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ryan Franklin      R   4   1   0   0   1   2   0   1   0   0   0  .250  .500 1.000 
Brian Fuentes      L   9   3   0   1   1   1   0   2   1   0   0  .333  .455  .889 
Aaron Fultz        L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Eric Gagne         R  11   4   0   0   0   0   0   1   0   0   0  .364  .364  .364 
Freddy Garcia      R   8   3   1   0   0   2   0   0   0   0   0  .375  .500  .500 
Jon Garland        R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Tom Glavine        L   6   2   0   1   0   0   0   0   0   0   0  .333  .333  .667 
Danny Graves       R   6   2   0   0   0   0   0   2   0   2   0  .333  .333  .333 
Roy Halladay       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Hampton       L   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Aaron Harang       R   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
Dan Haren          R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Aaron Heilman      R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Mark Hendrickson   L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Matt Herges        R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Dustin Hermanson   R  10   6   3   0   0   0   0   1   0   0   0  .600  .600  .900 
Livan Hernandez    R  10   1   1   0   0   0   0   1   0   0   0  .100  .100  .200 
D.J. Houlton       R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Kazuhisa Ishii     L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
J. Isringhausen    R   4   3   1   1   0   0   0   0   0   0   0  .750  .750 1.500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Jennings     R  35  13   2   0   0   3   1   4   0   0   0  .371  .421  .429 
Jose Jimenez       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Randy Johnson      L   9   2   0   1   0   0   0   1   1   0   0  .222  .300  .444 
Todd Jones         R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Joe Kennedy        L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Sun-Woo Kim        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Matt Kinney        R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Koplove       R   5   1   0   0   0   2   1   1   0   0   0  .200  .429  .200 
Al Leiter          L   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Brad Lidge         R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Cory Lidle         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jon Lieber         R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Ted Lilly          L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jose Lima          R   7   2   0   0   1   0   0   0   1   0   0  .286  .375  .714 
Javier Lopez       L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Derek Lowe         R   8   2   0   0   0   2   0   0   1   0   0  .250  .455  .250 
Sean Lowe          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Noah Lowry         L   6   2   0   0   0   0   0   0   1   0   0  .333  .429  .333 
Greg Maddux        R   9   4   1   0   0   1   0   0   0   0   0  .444  .500  .556 
Tom Martin         L  11   2   1   0   0   0   0   2   0   0   0  .182  .182  .273 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Meadows      R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Gil Meche          R   9   2   0   0   0   0   0   4   0   0   0  .222  .222  .222 
Kent Mercker       L   4   2   1   0   0   0   0   2   0   0   0  .500  .500  .750 
Jose Mesa          R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
