Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L  17   6   0   0   0   6   1   0   0   0   0  .353  .522  .353 
Ted Abernathy      R  10   1   0   0   1   2   0   3   0   0   0  .100  .250  .400 
Hank Aguirre       L  12   3   0   1   0   0   0   0   0   0   1  .250  .231  .417 
Jim Archer         L   1   0   0   0   0   2   0   1   0   0   1  .000  .500  .000 
Frank Baumann      L  18   7   0   0   0   0   0   0   1   1   0  .389  .421  .389 
Gene Bearden       L  17   3   0   0   0   2   0   0   0   0   0  .176  .263  .176 
Babe Birrer        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Charlie Bishop     R  31  11   1   0   0   4   0   2   0   0   1  .355  .417  .387 
Mike Blyzka        R  12   2   0   0   0   2   0   0   0   0   1  .167  .267  .167 
Ted Bowsfield      L   9   3   1   0   0   4   1   2   0   0   0  .333  .538  .444 
Ralph Branca       R  12   4   0   2   0   1   0   0   0   0   0  .333  .385  .667 
Harry Brecheen     L   9   4   1   0   0   0   0   0   0   0   0  .444  .444  .556 
Tom Brewer         R  55  10   5   0   0   3   0   6   0   0   0  .182  .224  .273 
Lou Brissie        L  14   6   1   0   0   0   0   0   0   1   0  .429  .429  .500 
Dick Brodowski     R  10   4   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Hal Brown          R  32  11   2   1   0   4   1   0   0   1   0  .344  .417  .469 
Jim Bunning        R  13   1   0   0   0   1   0   3   0   0   0  .077  .143  .077 
Wally Burnette     R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Pete Burnside      L  11   4   1   0   0   0   0   1   0   0   0  .364  .364  .455 
Moe Burtschy       R  14   3   0   0   0   1   0   2   0   0   0  .214  .267  .214 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bud Byerly         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Harry Byrd         R  31  10   2   1   0   1   0   5   0   1   0  .323  .344  .452 
Tommy Byrne        L  50  10   2   0   0   6   0   4   0   1   0  .200  .286  .240 
Bob Cain           L  23  11   1   0   0   2   0   0   0   0   0  .478  .520  .522 
Art Ceccarelli     L   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Bob Chakales       R  24   7   0   0   1   2   0   2   0   1   0  .292  .346  .417 
Al Cicotte         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Tex Clevenger      R  14   2   0   0   1   1   0   4   0   0   0  .143  .200  .357 
Joe Coleman        R  37  10   1   0   1   6   0   2   0   0   0  .270  .372  .378 
Rip Coleman        L   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Jim Constable      L   4   3   0   2   0   0   0   0   0   0   0  .750  .750 1.750 
Sandy Consuegra    R  26   8   3   1   0   0   0   0   0   0   0  .308  .308  .500 
Jack Crimian       R   6   2   0   0   2   0   0   0   0   0   0  .333  .333 1.333 
Bud Daley          L  26   9   0   0   0   3   0   4   1   0   0  .346  .433  .346 
Ike Delock         R  23   5   0   0   0   4   0   5   0   0   0  .217  .333  .217 
Murry Dickson      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Art Ditmar         R  35   6   1   0   1   2   0   4   0   0   0  .171  .216  .286 
Sonny Dixon        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Dobson         R  20   1   0   1   0   1   0   2   0   0   0  .050  .095  .150 
Dick Donovan       R  14   3   1   0   0   0   0   0   0   0   0  .214  .214  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fritz Dorish       R  41  13   2   0   0   1   0   3   0   1   0  .317  .333  .366 
Bill Evans         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Frank Fanovich     L   2   1   0   0   0   1   0   0   0   1   0  .500  .667  .500 
Bob Feller         R  39  14   2   1   0   2   0   2   0   1   0  .359  .390  .462 
Don Ferrarese      L  17   4   1   0   0   2   0   4   0   0   0  .235  .316  .294 
Bill Fischer       R  15   3   1   0   0   1   0   3   0   1   0  .200  .250  .267 
Ben Flowers        R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Whitey Ford        L  84  21   3   1   0   9   0  10   0   0   1  .250  .319  .310 
Mike Fornieles     R  31   8   1   0   0   1   0   4   0   1   0  .258  .281  .290 
Dick Fowler        R   5   1   0   0   0   2   0   0   0   2   0  .200  .429  .200 
Paul Foytack       R  23   6   1   0   1   1   0   6   1   1   1  .261  .308  .435 
Hersh Freeman      R   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Marion Fricano     R  28   9   1   1   0   0   0   0   0   0   1  .321  .310  .429 
Mike Garcia        R  66  17   1   0   0   2   0  10   1   2   0  .258  .290  .273 
Ned Garver         R  84  28   3   0   2   2   0  11   1   1   1  .333  .352  .440 
Tom Gorman         R  30   8   1   0   0   0   0   6   0   1   0  .267  .267  .300 
Johnny Gray        R   9   3   0   0   0   2   1   1   0   0   0  .333  .455  .333 
Ted Gray           L  53  18   3   2   2   6   0   9   0   0   0  .340  .407  .585 
Hal Griggs         R  13   2   1   0   0   1   0   2   0   0   0  .154  .214  .231 
Bob Grim           R  26   4   1   0   0   1   0   4   0   0   1  .154  .179  .192 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Connie Grob        R   5   3   0   0   0   0   0   0   1   0   0  .600  .667  .600 
Steve Gromek       R  57  14   2   1   0   1   1   5   1   1   1  .246  .267  .316 
Bill Harrington    R   2   1   1   0   0   0   0   0   0   1   1  .500  .333 1.000 
Mickey Harris      L   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Earl Harrist       R  11   2   1   0   0   1   1   1   0   0   0  .182  .250  .273 
Jack Harshman      L  49  11   2   0   1   8   0   7   0   0   0  .224  .333  .327 
