Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   6   3   2   0   0   0   0   1   0   0   0  .500  .500  .833 
Carlos Almanzar    R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Wilson Alvarez     L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Brian Anderson     L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jimmy Anderson     L   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Matt Anderson      R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Bronson Arroyo     R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Miguel Batista     R  12   3   1   0   0   1   0   0   0   0   0  .250  .308  .333 
Joaquin Benoit     R   7   2   2   0   0   0   0   2   0   0   1  .286  .250  .571 
Nick Bierbrodt     L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jeremy Bonderman   R   9   4   1   0   0   0   0   0   0   0   0  .444  .444  .556 
Chad Bradford      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Brower         R   4   2   2   0   0   0   0   2   0   0   0  .500  .500 1.000 
Mark Buehrle       L  13   4   2   0   0   0   0   0   0   0   0  .308  .308  .462 
Chris Capuano      L   4   3   2   0   1   1   0   0   0   0   0  .750  .800 2.000 
Chris Carpenter    R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
D.J. Carrasco      R   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 
Hector Carrasco    R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Shawn Chacon       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
F. Cordero         R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Davis         L  12   2   0   1   0   1   0   5   0   0   0  .167  .231  .333 
B. Duckworth       R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Scott Elarton      R   1   0   0   0   0   2   0   0   0   0   1  .000  .500  .000 
Alan Embree        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kelvim Escobar     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jeff Fassero       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Keith Foulke       R   3   1   0   0   0   0   0   2   1   0   0  .333  .500  .333 
Brian Fuentes      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Freddy Garcia      R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Jon Garland        R   9   2   0   0   1   0   0   1   0   0   0  .222  .222  .556 
Tom Glavine        L   5   2   1   0   0   1   1   0   0   1   0  .400  .500  .600 
