Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Juan Acevedo       R   6   5   0   1   1   1   0   1   0   0   0  .833  .857 1.667 
Terry Adams        R   6   3   2   0   0   0   0   2   0   0   0  .500  .500  .833 
Willie Adams       R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Jeremy Affeldt     L  14   5   1   0   1   3   0   2   0   0   0  .357  .471  .643 
Rick Aguilera      R   6   2   0   0   1   3   0   1   0   0   0  .333  .556  .833 
Matt Albers        R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
A. Alfonseca       R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Wilson Alvarez     L  10   4   1   0   1   0   0   3   0   0   0  .400  .400  .800 
Brett Anderson     L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Brian Anderson     L   8   1   1   0   0   2   1   1   0   0   1  .125  .273  .250 
Kevin Appier       R  20   3   1   1   0   4   0   7   0   0   0  .150  .292  .300 
Greg Aquino        R   5   0   0   0   0   1   1   2   0   0   0  .000  .167  .000 
Tony Armas         R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Jamie Arnold       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Rolando Arrojo     R   8   1   0   0   0   1   0   0   0   1   0  .125  .222  .125 
Bronson Arroyo     R  28   9   3   0   0   3   0   6   0   0   0  .321  .387  .429 
Miguel Asencio     R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Andy Ashby         R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Pedro Astacio      R  16   6   1   0   2   0   0   4   0   0   1  .375  .353  .813 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Avery        L   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Luis Ayala         R  12   3   1   0   0   0   0   5   0   0   0  .250  .250  .333 
Bobby Ayala        R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Manny Aybar        R   6   1   0   0   1   1   0   2   0   0   0  .167  .286  .667 
Brandon Backe      R  19   6   0   0   2   5   0   9   0   0   0  .316  .458  .632 
Michael Bacsik     L   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Burke Badenhop     R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Danys Baez         R  13   3   0   0   2   1   0   4   1   0   0  .231  .333  .692 
Homer Bailey       R  11   3   2   0   0   0   0   5   0   0   0  .273  .273  .455 
Scott Baker        R   7   2   0   0   2   2   0   3   0   0   0  .286  .444 1.143 
James Baldwin      R   4   2   0   0   0   3   0   1   0   0   0  .500  .714  .500 
Collin Balester    R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Miguel Batista     R  17   4   0   0   0   6   0   4   0   0   0  .235  .435  .235 
Rick Bauer         R   9   3   0   0   0   3   0   2   0   0   0  .333  .500  .333 
Brandon Beachy     R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
Rod Beck           R   7   1   0   0   1   1   0   2   0   0   0  .143  .250  .571 
Josh Beckett       R  13   3   3   0   0   0   0   4   0   0   0  .231  .231  .462 
Tim Belcher        R  11   3   0   0   1   1   0   5   0   0   0  .273  .333  .545 
Matt Belisle       R   8   3   0   1   0   1   0   1   0   0   0  .375  .444  .625 
Heath Bell         R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rob Bell           R   7   5   1   0   0   1   0   1   0   0   0  .714  .750  .857 
Andy Benes         R   8   1   1   0   0   3   0   4   1   0   0  .125  .417  .250 
Armando Benitez    R  14   1   0   0   0   1   0   3   0   0   0  .071  .133  .071 
Jeff Bennett       R   2   0   0   0   0   0   0   1   0   0   2  .000  .000  .000 
Joaquin Benoit     R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Kris Benson        R   6   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Sean Bergman       R  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Jason Bergmann     R   5   2   1   0   0   1   1   1   0   0   0  .400  .500  .600 
Rocky Biddle       R  14   7   2   0   3   6   0   1   0   0   0  .500  .650 1.286 
Chad Billingsley   R  22   3   0   1   0   2   0   8   0   0   0  .136  .208  .227 
Nick Blackburn     R   6   2   2   0   0   0   0   0   0   0   0  .333  .333  .667 
Willie Blair       R  11   3   0   0   1   0   0   2   0   0   0  .273  .273  .545 
Joe Blanton        R   9   4   1   0   3   1   0   3   2   0   0  .444  .583 1.556 
