Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Manny Acosta       R   3   1   1   0   0   1   0   2   0   0   0  .333  .500  .667 
Mike Adams         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeremy Affeldt     L   9   4   0   0   0   0   0   2   0   0   0  .444  .444  .444 
Bronson Arroyo     R  23   7   0   0   2   0   0   3   0   0   0  .304  .304  .565 
Brandon Backe      R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Cha-Seung Baek     R   4   1   0   0   0   0   0   2   1   0   0  .250  .400  .250 
Homer Bailey       R   6   2   0   0   1   0   0   3   0   0   0  .333  .333  .833 
Scott Baker        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Collin Balester    R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Miguel Batista     R  11   7   1   0   0   1   0   0   0   0   0  .636  .667  .727 
Denny Bautista     R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Yorman Bazardo     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Josh Beckett       R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Erik Bedard        L  29  10   1   1   0   2   0   5   0   0   0  .345  .387  .448 
Joe Beimel         L   8   4   1   0   0   0   0   1   0   0   0  .500  .500  .625 
Jeff Bennett       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Joaquin Benoit     R   7   3   0   0   1   0   0   1   0   0   0  .429  .429  .857 
Jason Bergmann     R  10   2   0   0   2   0   0   0   0   0   0  .200  .200  .800 
Jason Berken       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
R. Betancourt      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chad Billingsley   R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Joe Blanton        R  27   7   1   0   1   2   0   3   0   0   0  .259  .310  .407 
Jeremy Bonderman   R   9   1   0   0   0   1   0   4   0   0   0  .111  .200  .111 
Chris Bootcheck    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dave Borkowski     R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Blaine Boyer       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dallas Braden      L  10   1   1   0   0   0   0   1   0   0   0  .100  .100  .200 
Chad Bradford      R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Doug Brocail       R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Brian Bruney       R   2   1   0   0   0   1   0   1   0   0   1  .500  .500  .500 
Mark Buehrle       L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
M. Bumgarner       L   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Ambiorix Burgos    R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
A.J. Burnett       R  15   1   0   0   0   0   0   2   0   0   0  .067  .067  .067 
David Bush         R  21   6   3   0   1   1   0   3   0   0   0  .286  .318  .571 
Paul Byrd          R  11   3   2   0   1   0   0   1   0   0   1  .273  .250  .727 
Daniel Cabrera     R  12   1   0   0   0   2   0   3   1   0   0  .083  .267  .083 
Fernando Cabrera   R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Matt Cain          R  12   2   0   0   1   1   0   1   0   0   0  .167  .231  .417 
Shawn Camp         R   7   3   2   0   0   0   0   1   0   0   0  .429  .429  .714 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jorge Campillo     R   6   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Chris Capuano      L   6   4   3   0   0   0   0   0   0   0   0  .667  .667 1.167 
Buddy Carlyle      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
D.J. Carrasco      R   6   1   0   0   0   0   0   0   1   0   0  .167  .286  .167 
Gustavo Chacin     L  14   1   0   0   0   0   0   2   0   0   0  .071  .071  .071 
Bruce Chen         L  15   4   4   0   0   1   0   4   0   0   0  .267  .313  .533 
Matt Chico         L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Matt Clement       R  10   2   1   0   0   0   0   4   0   0   0  .200  .200  .300 
Tyler Clippard     R   3   2   1   0   0   0   0   0   0   0   1  .667  .500 1.000 
Bartolo Colon      R  10   2   0   0   1   0   0   4   0   0   0  .200  .200  .500 
Clay Condrey       R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Jose Contreras     R   9   3   0   0   1   1   0   1   0   0   0  .333  .400  .667 
Aaron Cook         R   8   1   0   0   0   1   1   0   0   0   0  .125  .222  .125 
F. Cordero         R  10   3   2   0   0   0   0   1   0   0   0  .300  .300  .500 
Lance Cormier      R   6   3   0   0   0   1   1   0   0   0   0  .500  .571  .500 
Manuel Corpas      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Kevin Correia      R   9   3   1   0   1   2   0   1   0   0   1  .333  .417  .778 
Juan Cruz          R   4   1   0   0   0   0   0   2   1   0   1  .250  .333  .250 
Johnny Cueto       R   6   3   1   0   2   0   0   0   0   0   0  .500  .500 1.667 
Doug Davis         L   9   4   0   0   0   0   0   0   0   0   0  .444  .444  .444 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jorge de la Rosa   L  15   5   1   0   1   0   0   6   1   0   0  .333  .375  .600 
Ryan Dempster      R   7   1   0   0   0   2   0   2   0   0   0  .143  .333  .143 
R.A. Dickey        R   8   3   1   0   0   1   0   1   0   0   0  .375  .444  .500 
Octavio Dotel      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Scott Downs        L   6   1   0   0   1   1   0   2   1   0   0  .167  .375  .667 
Ryan Drese         R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Eric DuBose        L   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
J. Duchscherer     R  15   3   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Chad Durbin        R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Scott Elarton      R  14   4   0   0   1   0   0   2   0   0   0  .286  .286  .500 
Marco Estrada      R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Pedro Feliciano    L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Nelson Figueroa    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Josh Fogg          R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Ryan Franklin      R   9   5   1   0   1   0   0   0   0   0   0  .556  .556 1.000 
Jason Frasor       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Brian Fuentes      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeff Fulchino      R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Yovani Gallardo    R   4   1   0   0   0   1   0   2   0   0   1  .250  .333  .250 
Freddy Garcia      R  11   2   1   0   0   1   0   4   0   0   0  .182  .250  .273 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jaime Garcia       L   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Jon Garland        R  16   6   0   1   0   0   0   5   0   0   0  .375  .375  .500 
Matt Garza         R  13   2   0   0   0   1   0   5   0   0   0  .154  .214  .154 
Chad Gaudin        R   6   4   2   0   0   0   0   0   0   0   0  .667  .667 1.000 
Jimmy Gobble       L   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Edgar Gonzalez     R   4   3   2   0   0   0   0   1   0   0   0  .750  .750 1.250 
Gio Gonzalez       L   8   3   0   0   0   1   0   3   0   0   0  .375  .444  .375 
Mike Gonzalez      L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Tom Gordon         R   7   3   1   0   0   0   0   1   0   0   1  .429  .375  .571 
Sean Green         R   8   4   1   0   1   1   1   2   0   0   0  .500  .556 1.000 
Kevin Gregg        R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Zack Greinke       R  12   4   1   0   0   0   0   4   0   0   0  .333  .333  .417 
Jason Grilli       R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Jason Grimsley     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jeremy Guthrie     R   5   2   1   0   1   0   0   0   1   0   0  .400  .500 1.200 
Roy Halladay       R  24   4   0   0   0   1   0   4   0   0   2  .167  .185  .167 
Cole Hamels        L  29   7   0   0   3   2   0   3   0   0   1  .241  .281  .552 
Jason Hammel       R  12   6   2   0   0   0   0   1   1   0   1  .500  .500  .667 
Mike Hampton       L   9   3   1   0   2   0   0   0   0   0   0  .333  .333 1.111 
Joel Hanrahan      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tommy Hanson       R  11   4   0   0   0   1   0   1   1   0   0  .364  .462  .364 
J.A. Happ          L  11   3   0   0   0   2   0   2   0   0   0  .273  .385  .273 
Aaron Harang       R  12   5   2   0   0   1   0   1   0   0   0  .417  .462  .583 
Rich Harden        R  12   3   0   0   1   3   0   3   1   0   0  .250  .438  .500 
Dan Haren          R  27   8   1   0   1   1   0   6   0   0   0  .296  .321  .444 
LaTroy Hawkins     R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Aaron Heilman      R  12   2   2   0   0   1   1   4   0   0   0  .167  .231  .333 
Livan Hernandez    R  16   6   2   0   1   1   0   1   0   0   1  .375  .389  .688 
Felix Hernandez    R  14   2   1   0   0   0   0   4   0   0   1  .143  .133  .214 
O. Hernandez       R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Rich Hill          L   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Shawn Hill         R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Bob Howry          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Luke Hudson        R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Tim Hudson         R  20   6   1   0   0   0   0   4   0   0   0  .300  .300  .350 
Ryota Igarashi     R   3   0   0   0   0   1   1   2   0   0   0  .000  .250  .000 
Edwin Jackson      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Chuck James        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ubaldo Jimenez     R   9   1   0   0   0   0   0   5   0   0   0  .111  .111  .111 
Jason Johnson      R  12   3   1   0   0   0   0   2   0   0   0  .250  .250  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Randy Johnson      L  19   4   0   0   0   0   0   4   0   0   1  .211  .200  .211 
Jorge Julio        R   4   0   0   0   0   1   0   1   1   0   0  .000  .333  .000 
Jair Jurrjens      R  21   4   0   0   0   1   1   4   0   0   0  .190  .227  .190 
Jeff Karstens      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Kenshin Kawakami   R  11   3   1   0   0   2   0   2   0   0   0  .273  .385  .364 
Kyle Kendrick      R  15   6   0   0   2   2   0   1   0   0   0  .400  .471  .800 
Joe Kennedy        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Logan Kensing      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Clayton Kershaw    L   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
John Koronka       L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Hong-Chih Kuo      L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Hiroki Kuroda      R  16   5   1   0   1   1   0   2   0   0   0  .313  .353  .563 
John Lackey        R  10   1   0   0   0   0   0   4   0   0   0  .100  .100  .100 
John Lannan        L  18   5   2   0   1   0   0   1   0   0   0  .278  .278  .556 
Mat Latos          R   6   2   1   0   0   1   0   3   0   0   0  .333  .429  .500 
Brandon League     R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Wil Ledezma        L   9   4   2   0   0   1   0   2   0   0   0  .444  .500  .667 
Cliff Lee          L  14   4   2   0   0   0   0   0   0   0   0  .286  .286  .429 
Al Leiter          L   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Jon Lester         L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brad Lidge         R   8   2   1   0   0   1   0   2   1   0   0  .250  .400  .375 
Jon Lieber         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Ted Lilly          L  22   6   2   0   0   2   0   2   0   0   0  .273  .333  .364 
Jose Lima          R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Mike Lincoln       R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
F. Liriano         L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Adam Loewen        L   8   4   0   0   2   0   0   1   0   0   0  .500  .500 1.250 
Kyle Lohse         R   8   2   0   0   0   0   0   2   0   0   1  .250  .222  .250 
Braden Looper      R  12   4   0   0   1   0   0   0   0   0   0  .333  .333  .583 
Rodrigo Lopez      R  17   7   1   0   1   2   0   1   0   0   1  .412  .450  .647 
Derek Lowe         R  14   7   4   0   1   1   0   1   0   0   0  .500  .533 1.000 
Greg Maddux        R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Ryan Madson        R  14   4   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Paul Maholm        L   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
John Maine         R  21   9   3   0   1   0   0   1   0   0   0  .429  .429  .714 
Carlos Marmol      R   6   0   0   0   0   3   1   3   1   0   0  .000  .400  .000 
Mike Maroth        L   9   4   0   0   1   0   0   2   0   0   0  .444  .444  .778 
Jason Marquis      R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Sean Marshall      L   7   1   0   0   1   1   1   5   0   0   0  .143  .250  .571 
J.D. Martin        R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pedro Martinez     R  10   0   0   0   0   0   0   5   0   0   1  .000  .000  .000 
Shairon Martis     R   4   1   0   0   1   2   0   0   0   0   0  .250  .500 1.000 
Nick Masset        R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Julio Mateo        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Brian Matusz       L   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Darrell May        L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Joe Mays           R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kyle McClellan     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Seth McClung       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
James McDonald     R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Gil Meche          R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kris Medlen        R   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Justin Miller      R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
