Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  21   7   1   0   0   1   0   3   0   1   0  .333  .364  .381 
Jack Aker          R   6   3   1   0   0   1   1   1   0   0   0  .500  .571  .667 
Vic Albury         L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Lloyd Allen        R   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Craig Anderson     R   6   2   0   0   0   1   0   1   0   0   1  .333  .375  .333 
Bob Anderson       R  13   3   0   0   0   1   0   2   0   0   0  .231  .286  .231 
Stan Bahnsen       R  39  12   0   0   2   2   1   4   0   0   1  .308  .333  .462 
Tom Baker          L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jack Baldschun     R  28   7   1   0   0   3   1   7   0   0   0  .250  .323  .286 
Dave Baldwin       R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Mark Ballinger     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dick Baney         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Steve Barber       L   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Ed Bauta           R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Larry Bearnarth    R  15   7   3   1   0   0   0   2   0   1   0  .467  .467  .800 
Fred Beene         R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Bo Belinsky        L  11   2   0   0   0   1   0   3   0   0   0  .182  .250  .182 
Jerry Bell         R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Gary Bell          R   4   4   1   0   0   0   0   0   0   0   0 1.000 1.000 1.250 
Dennis Bennett     L  21   7   4   0   0   3   1   2   0   0   1  .333  .400  .524 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Bertaina     L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Wade Blasingame    L  13   1   0   0   1   2   1   3   0   0   0  .077  .200  .308 
Steve Blass        R  25   5   0   0   0   2   0   2   0   0   0  .200  .259  .200 
Vida Blue          L  28   8   0   0   1   1   0   5   0   2   0  .286  .310  .393 
Bert Blyleven      R   9   3   0   0   0   1   0   2   0   0   0  .333  .400  .333 
Bobby Bolin        R  56  12   3   0   0   1   0  14   0   0   0  .214  .228  .268 
John Boozer        R  12   3   1   0   0   0   0   2   0   1   0  .250  .250  .333 
Pedro Borbon       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Dick Bosman        R  27   5   0   0   0   2   0   3   0   0   0  .185  .241  .185 
Jim Bouton         R   4   2   1   0   1   2   0   1   0   1   0  .500  .667 1.500 
Gene Brabender     R  13   3   2   0   0   0   0   3   0   0   0  .231  .231  .385 
Tom Bradley        R  27   7   0   0   3   1   0   5   0   1   0  .259  .286  .593 
Ken Brett          L   9   2   0   1   0   1   0   1   0   0   0  .222  .300  .444 
Jim Brewer         L  22   8   0   0   1   2   0   5   0   0   0  .364  .417  .500 
Nelson Briles      R  23   6   1   1   0   2   0   7   0   0   1  .261  .308  .391 
Jim Britton        R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Pete Broberg       R   9   1   0   0   0   3   0   2   0   0   0  .111  .333  .111 
Ernie Broglio      R  36  13   4   0   3   1   0   6   0   0   0  .361  .378  .722 
Hal Brown          R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Bob Bruce          R  39   9   1   1   1   4   2  10   0   0   1  .231  .295  .385 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
George Brunet      L  18   3   1   0   0   2   0   1   0   1   0  .167  .250  .222 
Bob Buhl           R  23   5   0   0   1   3   0   5   0   0   0  .217  .308  .348 
Wally Bunker       R  14   2   1   0   0   2   0   2   0   0   0  .143  .250  .214 
Jim Bunning        R  46   8   1   1   1   0   0  16   1   0   0  .174  .191  .304 
Bill Burbach       R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Lew Burdette       R  37  13   5   1   0   0   0   2   0   3   0  .351  .351  .541 
