Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joaquin Andujar    R  13   4   1   0   0   0   0   2   0   0   0  .308  .308  .385 
Steve Arlin        R   6   3   1   0   0   0   0   0   0   1   0  .500  .500  .667 
Jim Barr           R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Steve Bedrosian    R   4   2   1   0   0   0   0   2   0   0   0  .500  .500  .750 
Jim Bibby          R   6   2   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Wade Blasingame    L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Blass        R  11   3   0   0   1   0   0   1   0   0   0  .273  .273  .545 
Vida Blue          L   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Bert Blyleven      R  15   2   0   0   0   0   0   2   1   0   2  .133  .167  .133 
Bill Bonham        R  12   2   0   0   0   1   0   2   0   0   0  .167  .231  .167 
Jim Brewer         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Nelson Briles      R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Ron Bryant         L   3   1   1   0   0   1   0   2   0   1   0  .333  .500  .667 
Jim Bunning        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ray Burris         R  20   2   0   0   0   0   0   5   0   1   0  .100  .100  .100 
Mike Caldwell      L   4   1   0   0   0   0   0   0   1   1   0  .250  .400  .250 
John Candelaria    L  15   3   0   0   0   0   0   7   0   1   0  .200  .200  .200 
Buzz Capra         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Clay Carroll       R   6   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Bill Caudill       R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Reggie Cleveland   R   4   1   0   0   0   0   0   0   0   2   0  .250  .250  .250 
Ron Cook           L   5   2   0   0   0   1   0   3   0   0   0  .400  .500  .400 
Mike Corkins       R   4   0   0   0   0   0   0   2   1   0   0  .000  .200  .000 
Danny Cox          R   6   2   2   0   0   0   0   1   0   0   0  .333  .333  .667 
Mike Cuellar       L   6   3   0   1   0   0   0   0   0   2   0  .500  .500  .833 
Pat Darcy          R   6   1   0   0   0   0   0   1   0   1   0  .167  .167  .167 
Ron Darling        R   9   0   0   0   0   1   0   4   0   0   0  .000  .100  .000 
Mark Davis         L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Larry Demery       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
John Denny         R   8   1   1   0   0   0   0   3   0   0   0  .125  .125  .250 
Larry Dierker      R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
J. Eichelberger    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dock Ellis         R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Nino Espinosa      R   8   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Pete Falcone       L  14   1   1   0   0   2   0   2   0   0   0  .071  .188  .143 
