Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hank Aguirre       L  25   5   1   0   0   2   0   0   0   0   0  .200  .259  .240 
Bob Allen          L   4   2   0   1   0   1   1   0   0   0   0  .500  .600 1.000 
Luis Arroyo        L   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Bob Baird          L   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Steve Barber       L  14   3   1   0   0   1   0   3   0   0   0  .214  .267  .286 
Norm Bass          R   4   2   0   0   0   3   0   0   0   0   0  .500  .714  .500 
Bo Belinsky        L  14   1   0   0   0   0   0   3   0   0   0  .071  .071  .071 
Gary Bell          R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Carl Bouldin       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Jim Bouton         R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Ted Bowsfield      L  11   5   1   0   0   0   0   0   0   0   0  .455  .455  .545 
Tom Brewer         R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Jim Bunning        R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Pete Burnside      L   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Dean Chance        R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tom Cheney         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jim Coates         R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Gene Conley        R  12   4   1   0   1   0   0   2   0   0   0  .333  .333  .667 
Bill Dailey        R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bud Daley          L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bennie Daniels     R   8   0   0   0   0   1   0   0   0   0   0  .000  .111  .000 
Ike Delock         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Dick Donovan       R  19   4   2   0   0   0   0   1   0   0   0  .211  .211  .316 
Al Downing         L  14   2   1   0   0   1   0   3   0   0   0  .143  .200  .214 
Moe Drabowsky      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Ryne Duren         R   4   1   0   0   0   0   0   1   1   1   0  .250  .400  .250 
Arnold Earley      L   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Chuck Estrada      R  11   3   0   0   0   1   0   2   0   0   0  .273  .333  .273 
Bill Fischer       R   6   1   0   0   0   1   0   0   0   1   0  .167  .286  .167 
Whitey Ford        L  32  10   2   0   0   2   0   5   0   0   0  .313  .353  .375 
Mike Fornieles     R   5   3   0   0   1   2   0   1   0   1   0  .600  .714 1.200 
Art Fowler         R   4   1   0   0   0   1   0   0   0   0   1  .250  .333  .250 
Terry Fox          R   5   0   0   0   0   1   1   0   0   0   0  .000  .167  .000 
Paul Foytack       R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Frank Funk         R   3   0   0   0   0   1   0   0   0   0   1  .000  .200  .000 
John Gabler        R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Mudcat Grant       R  15   3   0   0   0   1   0   2   0   0   0  .200  .250  .200 
Eli Grba           R  13   3   1   0   0   3   0   1   0   0   0  .231  .375  .308 
Dick Hall          R   7   3   0   1   0   0   0   1   0   0   0  .429  .429  .714 
Steve Hamilton     L   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Hannan         R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Bob Heffner        R   6   2   2   0   0   0   0   0   0   0   0  .333  .333  .667 
Ed Hobaugh         R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Billy Hoeft        L   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Sam Jones          R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jim Kaat           L  30   7   1   0   0   3   1   4   0   0   0  .233  .303  .267 
Ron Kline          R  11   5   2   0   0   0   0   0   0   0   0  .455  .455  .636 
J. Klippstein      R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Jack Kralick       L  33   5   2   0   0   1   0   4   0   0   0  .152  .176  .212 
Jack Lamabe        R   2   0   0   0   0   1   0   0   1   1   0  .000  .500  .000 
Frank Lary         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Barry Latman       R   8   3   1   0   0   0   0   3   0   0   0  .375  .375  .500 
Don Lee            R   9   2   1   0   0   1   0   1   0   0   0  .222  .300  .333 
Bobby Locke        R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Mickey Lolich      L  15   3   0   0   0   3   2   4   1   0   0  .200  .368  .200 
Ken McBride        R  16   3   1   0   0   0   0   2   0   0   0  .188  .188  .250 
Joe McClain        R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Mike McCormick     L  15   3   0   0   2   2   0   2   0   0   0  .200  .294  .600 
Sam McDowell       L   7   1   0   0   0   3   0   0   0   0   0  .143  .400  .143 
Dave McNally       L   9   3   0   0   0   2   0   0   0   0   0  .333  .455  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Stu Miller         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
B. Monbouquette    R  12   2   1   0   0   0   0   1   0   0   0  .167  .167  .250 
Dave Morehead      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tom Morgan         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Don Mossi          L  15   2   0   0   0   0   0   1   0   0   0  .133  .133  .133 
Chet Nichols       L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
John O'Donoghue    L   7   3   0   1   0   0   0   0   0   0   0  .429  .429  .714 
Dan Osinski        R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Claude Osteen      L  21   6   1   0   0   2   1   0   0   0   0  .286  .348  .333 
Milt Pappas        R  11   3   0   0   1   2   1   1   0   0   0  .273  .385  .545 
Camilo Pascual     R  22   7   2   0   0   0   0   4   0   0   0  .318  .318  .409 
Orlando Pena       R   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Perry          R   5   2   0   0   0   2   1   0   0   0   0  .400  .571  .400 
Bill Pleis         L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Dick Radatz        R   9   1   1   0   0   0   0   2   0   0   0  .111  .111  .222 
Ed Rakow           R  11   3   0   0   0   1   0   1   0   0   0  .273  .333  .273 
Pedro Ramos        R   8   5   0   0   0   0   0   0   0   0   0  .625  .625  .625 
Phil Regan         R   9   1   0   0   0   2   0   2   0   0   0  .111  .273  .111 
Robin Roberts      R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Don Rudolph        L   9   4   1   0   0   3   0   0   0   0   0  .444  .583  .556 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Santiago      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Don Schwall        R  10   2   0   0   1   1   0   2   0   0   0  .200  .273  .500 
Jack Spring        L   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Bill Stafford      R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Tracy Stallard     R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Dave Stenhouse     R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Dick Stigman       L  17   1   0   0   0   2   0   4   0   0   0  .059  .158  .059 
Chuck Stobbs       L   3   2   0   0   1   1   1   1   0   0   0  .667  .750 1.667 
Wes Stock          R  10   2   1   0   0   1   0   1   0   0   0  .200  .273  .300 
Ralph Terry        R  16   4   0   0   0   1   0   0   0   0   0  .250  .294  .250 
Jerry Walker       R  13   5   2   0   0   0   0   0   0   0   0  .385  .385  .538 
Dave Wickersham    R  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
Hoyt Wilhelm       R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
John Wyatt         R   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Early Wynn         R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143
