Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Accardo     R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Mike Adams         R   7   2   1   0   0   3   0   1   0   0   0  .286  .500  .429 
Jeremy Affeldt     L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Al Alburquerque    R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
A. Alfonseca       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Brett Anderson     L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tony Armas         R   6   2   0   0   0   3   0   0   0   0   0  .333  .556  .333 
Jose Arredondo     R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Bronson Arroyo     R  13   1   0   0   0   3   0   3   0   0   0  .077  .250  .077 
Pedro Astacio      R   5   0   0   0   0   2   0   1   0   1   0  .000  .286  .000 
Dylan Axelrod      R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Michael Bacsik     L   5   1   0   0   0   0   0   0   0   1   0  .200  .200  .200 
Burke Badenhop     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Cha-Seung Baek     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Danys Baez         R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Homer Bailey       R   7   1   0   0   0   4   0   1   0   0   0  .143  .455  .143 
Scott Baker        R  14   4   0   0   0   0   0   5   0   0   0  .286  .286  .286 
Brian Bannister    R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Brian Bass         R   3   2   0   0   0   2   0   0   1   0   0  .667  .833  .667 
Miguel Batista     R  18   4   0   0   1   0   0   2   0   0   0  .222  .222  .389 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Josh Beckett       R  21   6   0   0   0   2   0   2   0   0   0  .286  .348  .286 
Erik Bedard        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Beimel         L  10   4   2   0   0   0   0   1   0   0   0  .400  .400  .600 
Matt Belisle       R  12   3   0   0   0   0   0   2   0   2   0  .250  .250  .250 
