Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cody Allen         R   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
Brett Anderson     L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Chris Archer       R   8   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Scott Baker        R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Chris Bassitt      R   4   1   0   0   0   0   0   1   1   0   0  .250  .400  .250 
Trevor Bauer       R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Blake Beavan       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Joe Blanton        R  10   3   0   0   3   2   0   2   0   0   0  .300  .417 1.200 
Zach Britton       L   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Clay Buchholz      R   9   3   1   0   0   0   0   3   0   0   0  .333  .333  .444 
Mark Buehrle       L  14   5   2   0   0   2   0   2   0   0   0  .357  .438  .500 
Alex Burnett       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Carter Capps       R   4   2   0   0   1   1   0   2   0   0   0  .500  .600 1.250 
Chris Capuano      L   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Carlos Carrasco    R   9   0   0   0   0   1   0   5   0   0   1  .000  .091  .000 
Brett Cecil        L   6   1   0   0   1   2   0   4   0   0   0  .167  .375  .667 
Jesse Chavez       R  16   3   0   0   1   3   0   4   0   0   0  .188  .316  .375 
Wei-Yin Chen       L  16   4   1   0   1   1   0   6   0   0   0  .250  .294  .500 
Alex Cobb          R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Josh Collmenter    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bartolo Colon      R  10   1   1   0   0   0   0   3   0   0   0  .100  .100  .200 
Ryan Cook          R   7   1   1   0   0   0   0   6   0   0   1  .143  .125  .286 
Neal Cotts         L   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
John Danks         L  11   4   2   0   2   1   0   3   0   0   1  .364  .385 1.091 
Yu Darvish         R  16   2   0   0   0   1   0   8   0   0   1  .125  .167  .125 
Wade Davis         R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Rubby de la Rosa   R   4   3   0   0   1   0   0   1   0   0   1  .750  .600 1.500 
Ross Detwiler      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Cole De Vries      R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
R.A. Dickey        R  14   4   2   0   1   1   0   5   0   0   1  .286  .313  .643 
Sean Doolittle     L   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Felix Doubront     L   6   1   0   0   1   3   0   2   0   0   0  .167  .444  .667 
Scott Downs        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Brian Duensing     L  10   2   0   0   2   1   0   5   0   0   0  .200  .273  .800 
Danny Duffy        L   6   1   0   0   1   3   0   2   0   0   0  .167  .444  .667 
Roenis Elias       L  13   2   0   0   0   3   0   8   1   0   0  .154  .353  .154 
Nathan Eovaldi     R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Danny Farquhar     R   5   2   0   0   1   4   0   2   0   0   0  .400  .667 1.000 
Neftali Feliz      R   4   2   0   0   1   1   0   2   0   0   0  .500  .600 1.250 
Casey Fien         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Fister        R  11   4   0   0   1   0   0   2   0   0   0  .364  .364  .636 
Lucas French       L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Charlie Furbush    L   9   3   0   0   1   0   0   4   0   0   0  .333  .333  .667 
Matt Garza         R   9   3   2   0   1   0   0   3   0   0   0  .333  .333  .889 
Kyle Gibson        R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Miguel Gonzalez    R  13   3   0   0   2   0   0   4   0   0   0  .231  .231  .692 
Kendall Graveman   R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Sonny Gray         R   9   2   0   0   1   1   0   2   0   0   1  .222  .273  .556 
Luke Gregerson     R   4   3   2   0   1   1   1   1   0   0   0  .750  .800 2.000 
A.J. Griffin       R  11   1   0   0   0   1   0   5   0   0   0  .091  .167  .091 
Jeremy Guthrie     R   4   1   0   0   0   2   0   3   0   0   0  .250  .500  .250 
Jason Hammel       R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Tommy Hanson       R   3   2   0   0   0   2   0   0   0   0   1  .667  .667  .667 
J.A. Happ          L  12   4   0   0   2   3   0   4   0   0   0  .333  .467  .833 
Aaron Harang       R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Dan Haren          R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Matt Harrison      L  11   1   0   0   0   2   0   3   0   0   0  .091  .231  .091 
J. Hellickson      R   5   3   2   0   1   1   0   1   0   0   0  .600  .667 1.600 
Liam Hendriks      R   7   3   0   0   1   2   0   0   0   0   0  .429  .556  .857 
Felix Hernandez    R  11   3   0   0   0   1   0   5   1   0   0  .273  .385  .273 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kelvin Herrera     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Luke Hochevar      R   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Derek Holland      L  22   5   1   0   1   4   0   6   0   0   1  .227  .333  .409 
Phil Hughes        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Tommy Hunter       R   9   3   1   0   1   0   0   3   0   0   0  .333  .333  .778 
Drew Hutchison     R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Hisashi Iwakuma    R  22   3   1   0   1   3   1  10   0   0   0  .136  .240  .318 
Casey Janssen      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kevin Jepsen       R   9   2   0   0   0   1   0   4   0   0   0  .222  .300  .222 
Ubaldo Jimenez     R  11   3   1   0   0   1   0   5   0   0   0  .273  .333  .364 
Jim Johnson        R   6   2   1   0   0   0   0   1   1   0   0  .333  .429  .500 
Scott Kazmir       L  17   5   2   0   0   5   1   2   1   0   0  .294  .478  .412 
Shawn Kelley       R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Kyle Kendrick      R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Corey Kluber       R  13   3   1   0   1   2   0   4   0   0   0  .231  .333  .538 
Hiroki Kuroda      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
John Lackey        R   6   1   0   0   1   0   0   4   0   0   0  .167  .167  .667 
Aaron Laffey       L   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dominic Leone      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Colby Lewis        R   7   1   1   0   0   1   0   4   0   0   0  .143  .250  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
F. Liriano         L   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Aaron Loup         L   4   1   0   0   0   2   0   2   0   0   0  .250  .500  .250 
Lucas Luetge       L   4   0   0   0   0   1   0   4   0   0   0  .000  .200  .000 
Lance Lynn         R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Nick Martinez      R   9   0   0   0   0   1   0   3   0   0   0  .000  .100  .000 
Justin Masterson   R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Brandon Maurer     R   9   3   2   0   0   0   0   2   0   0   0  .333  .333  .556 
Zach McAllister    R  11   4   0   1   1   0   0   3   0   0   1  .364  .333  .818 
Brandon McCarthy   R   7   3   0   0   2   0   0   2   0   0   0  .429  .429 1.286 
Jake McGee         L   6   1   0   0   1   1   1   2   0   0   0  .167  .286  .667 
Yoervis Medina     R   4   2   0   1   0   1   0   2   0   0   0  .500  .600 1.000 
Roman Mendez       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Miles Mikolas      R   5   2   0   0   1   0   0   3   0   0   0  .400  .400 1.000 
Wade Miley         L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Tom Milone         L  13   2   0   0   1   2   0   2   0   0   0  .154  .267  .385 
Matt Moore         L   7   1   0   0   0   1   0   4   0   0   0  .143  .250  .143 
Mike Morin         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Edward Mujica      R   5   1   0   0   0   1   0   3   0   0   0  .200  .333  .200 
Joe Nathan         R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Hector Noesi       R   5   0   0   0   0   2   0   2   0   0   0  .000  .286  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ivan Nova          R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Vidal Nuno         L   7   1   0   0   0   1   0   4   0   0   0  .143  .250  .143 
Darren O'Day       R   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Alexi Ogando       R   7   1   0   0   0   5   0   2   0   0   0  .143  .500  .143 
Roy Oswalt         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dan Otero          R   8   3   0   0   0   1   0   1   0   0   0  .375  .444  .375 
Jarrod Parker      R   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
