Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R  17   3   1   0   0   1   1   3   0   0   0  .176  .222  .235 
Glenn Abbott       R  13   7   0   1   3   3   0   0   0   0   0  .538  .625 1.385 
Ted Abernathy      R  11   3   1   0   0   1   0   1   0   0   0  .273  .333  .364 
Vic Albury         L   8   1   0   0   0   2   0   0   0   0   0  .125  .300  .125 
Doyle Alexander    R  37  13   4   1   3   5   0   2   0   0   1  .351  .419  .757 
Steve Arlin        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Fernando Arroyo    R   6   2   0   0   0   2   0   2   0   0   0  .333  .500  .333 
Jerry Augustine    L  19   5   1   0   0   1   0   1   0   0   1  .263  .286  .316 
Mike Bacsik        R   4   0   0   0   0   2   1   2   0   0   0  .000  .333  .000 
Stan Bahnsen       R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Steve Baker        R   6   2   1   0   0   1   1   0   0   0   0  .333  .429  .500 
Jack Baldschun     R  16   2   1   0   0   0   0   2   0   0   0  .125  .125  .188 
Eddie Bane         L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Ray Bare           R  12   4   1   0   0   1   0   0   0   0   1  .333  .357  .417 
F. Barrios         R  12   2   0   0   0   4   0   1   0   0   0  .167  .375  .167 
Ross Baumgarten    L   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Gary Beare         R   6   2   0   0   1   3   0   1   0   0   0  .333  .556  .833 
Larry Bearnarth    R   8   3   2   0   0   2   0   0   0   0   0  .375  .500  .625 
Bo Belinsky        L   8   4   0   1   1   1   0   2   0   0   0  .500  .556 1.125 
Jerry Bell         R   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Billingham    R  23  11   1   0   3   5   0   2   1   0   0  .478  .586  .913 
Doug Bird          R  14   6   1   0   0   2   0   2   0   0   0  .429  .500  .500 
Wade Blasingame    L   6   2   1   1   0   0   0   2   0   0   0  .333  .333  .833 
Steve Blass        R  19   6   0   0   1   2   0   2   0   0   0  .316  .381  .474 
Vida Blue          L  27  10   2   0   1   2   1   2   0   0   0  .370  .414  .556 
Bert Blyleven      R  31   8   1   0   0   0   0   8   0   0   0  .258  .258  .290 
Tommy Boggs        R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Bobby Bolin        R  32  12   0   0   4   2   0   4   0   0   0  .375  .412  .750 
John Boozer        R   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Pedro Borbon       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dick Bosman        R  10   3   1   0   0   2   0   1   0   0   0  .300  .417  .400 
Jim Bouton         R   7   3   0   1   1   1   0   3   0   0   0  .429  .500 1.143 
Bucky Brandon      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Ken Brett          L  14   4   1   0   0   6   0   2   0   0   1  .286  .476  .357 
Jim Brewer         L  17   3   0   0   0   2   0   3   0   0   0  .176  .263  .176 
Nelson Briles      R  30   9   0   0   3   2   0   0   0   0   1  .300  .333  .600 
Pete Broberg       R  13   2   1   0   0   3   0   2   0   0   0  .154  .313  .231 
Ernie Broglio      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Hal Brown          R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Bob Bruce          R  13   5   2   0   1   0   0   3   0   0   0  .385  .385  .769 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ron Bryant         L  15   6   1   0   0   3   0   1   0   0   0  .400  .500  .467 
Bob Buhl           R  24  11   2   0   1   2   0   1   0   0   2  .458  .464  .667 
Jim Bunning        R  36   7   1   0   1   2   0   5   0   0   0  .194  .237  .306 
Lew Burdette       R  10   3   2   0   0   1   0   0   0   0   0  .300  .364  .500 
Tom Burgmeier      L   6   2   0   0   1   6   1   2   0   0   0  .333  .667  .833 
Jim Burton         L   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Steve Busby        R  17   5   1   0   1   0   0   2   0   0   1  .294  .278  .529 
Tom Butters        R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jeff Byrd          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Caldwell      L  25   8   0   0   1   1   0   0   0   0   0  .320  .346  .440 
Bill Campbell      R  13   5   1   0   1   3   1   0   0   0   0  .385  .500  .692 
Don Cardwell       R  24   7   0   0   0   0   0   3   0   0   0  .292  .292  .292 
Steve Carlton      L  33   8   1   0   1   6   1   4   0   0   1  .242  .350  .364 
Clay Carroll       R   3   2   1   0   0   1   1   0   0   0   0  .667  .750 1.000 
Bill Castro        R  11   4   1   0   0   0   0   0   0   1   0  .364  .364  .455 
Bill Champion      R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Galen Cisco        R  10   6   1   0   0   2   0   1   0   0   0  .600  .667  .700 
Ken Clay           R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Reggie Cleveland   R  36   7   1   0   0   0   0   5   0   1   0  .194  .194  .222 
Tony Cloninger     R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Clyde        L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Colborn        R  34   9   3   0   1   2   0   2   0   0   0  .265  .306  .441 
Joe Coleman        R  20   5   1   0   0   3   0   5   0   0   0  .250  .348  .300 
Steve Comer        R  23   3   1   0   0   1   0   2   0   0   0  .130  .167  .174 
Ray Corbin         R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Mike Corkins       R  18   5   3   0   0   2   0   2   0   0   0  .278  .350  .444 
Roger Craig        R  12   5   1   0   2   3   0   2   0   0   0  .417  .533 1.000 
Jim Crawford       L  11   5   2   0   0   1   0   1   0   0   0  .455  .500  .636 
Mike Cuellar       L  51  14   3   0   1   5   1   2   0   0   0  .275  .339  .392 
Ray Culp           R  41  16   4   0   3   3   0   7   1   0   0  .390  .444  .707 
George Culver      R   9   2   0   0   0   1   0   2   0   0   0  .222  .300  .222 
John Curtis        L   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Bruce Dal Canton   R  14   2   1   0   0   1   1   3   0   0   0  .143  .200  .214 
Joe Decker         R  10   2   0   0   0   2   0   0   0   0   0  .200  .333  .200 
Larry Dierker      R  43  15   3   0   1   1   0   7   0   0   0  .349  .364  .488 
Pat Dobson         R  13   4   0   0   2   1   0   1   0   0   0  .308  .357  .769 
Al Downing         L   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Dick Drago         R  11   5   0   0   0   1   1   0   0   0   2  .455  .429  .455 
Don Drysdale       R  36  13   2   0   2   1   0   7   0   0   1  .361  .368  .583 
Jim Duffalo        R   4   4   1   0   1   0   0   0   0   0   0 1.000 1.000 2.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Dukes          R   8   5   2   0   0   0   0   0   0   0   0  .625  .625  .875 
Dennis Eckersley   R   9   3   0   0   0   1   0   2   0   0   0  .333  .400  .333 
Dave Eilers        R   5   2   0   0   1   2   1   0   0   0   0  .400  .571 1.000 
Dock Ellis         R  41  14   4   0   4   2   0   4   1   0   0  .341  .386  .732 
