Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jimmy Anderson     L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Rick Ankiel        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Kevin Appier       R   9   3   0   0   1   0   0   0   0   0   0  .333  .333  .667 
Rolando Arrojo     R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Pedro Astacio      R   5   2   0   0   0   2   1   1   0   0   0  .400  .571  .400 
James Baldwin      R   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tim Belcher        R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Armando Benitez    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kris Benson        R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Kevin Brown        R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Mark Buehrle       L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
A.J. Burnett       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dave Coggin        R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
David Cone         R  16   5   1   0   1   0   0   3   1   0   0  .313  .353  .563 
Rocky Coppinger    R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jeff D'Amico       R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Ryan Dempster      R   7   0   0   0   0   2   0   0   0   0   0  .000  .222  .000 
Scott Erickson     R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Kelvim Escobar     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Shawn Estes        L   5   2   0   1   0   1   0   2   0   0   0  .400  .500  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeff Fassero       L  10   3   0   0   0   1   0   1   0   0   0  .300  .364  .300 
Mark Gardner       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dwight Gooden      R   4   1   0   0   0   1   0   3   0   0   0  .250  .400  .250 
Tom Gordon         R  16   4   1   0   1   0   0   3   0   0   0  .250  .250  .500 
Mike Hampton       L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Jimmy Haynes       R   5   3   0   0   1   0   0   0   0   0   0  .600  .600 1.200 
Pat Hentgen        R  11   2   0   0   1   1   0   4   0   0   0  .182  .250  .455 
Felix Heredia      L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Dustin Hermanson   R   5   1   1   0   0   1   1   0   0   0   0  .200  .333  .400 
Livan Hernandez    R   9   4   1   0   0   0   0   1   0   0   0  .444  .444  .556 
Orel Hershiser     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Chris Holt         R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Hideki Irabu       R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Mike James         R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Randy Johnson      L   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Bobby Jones        R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Jeff Juden         R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
S. Kamieniecki     R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Scott Karl         L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jimmy Key          L   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
