Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Darrel Akerfelds   R   3   0   0   0   0   1   0   0   0   1   0  .000  .250  .000 
Allan Anderson     L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Joaquin Andujar    R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Scott Bailes       L   9   4   0   0   0   0   0   0   0   0   0  .444  .444  .444 
Jeff Ballard       L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Eric Bell          L   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Buddy Black        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bert Blyleven      R   6   1   0   0   0   0   0   2   0   0   1  .167  .143  .167 
Mike Boddicker     R   5   1   0   1   0   0   0   0   0   0   0  .200  .200  .600 
Steve Carlton      L   6   1   0   0   0   1   0   1   0   1   0  .167  .286  .167 
John Cerutti       L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jim Clancy         R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Jose DeLeon        R   5   0   0   0   0   2   0   2   0   0   0  .000  .286  .000 
Jamie Easterly     L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Mark Eichhorn      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Mike Flanagan      L  17   5   0   0   1   0   0   0   0   1   0  .294  .294  .471 
Jerry Gleaton      L   4   1   0   1   0   1   0   0   0   0   0  .250  .400  .750 
Don Gordon         R   5   0   0   0   0   0   0   2   1   0   0  .000  .167  .000 
Mark Gubicza       R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Ron Guidry         L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Gullickson    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Greg Harris        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Henneman      R   3   1   0   0   0   1   0   0   0   0   1  .333  .400  .333 
Danny Jackson      L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Tommy John         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Langston      L   8   4   1   0   0   0   0   1   0   0   0  .500  .500  .625 
Dave LaPoint       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
C. Leibrandt       L  13   2   0   0   0   0   0   3   0   0   0  .154  .154  .154 
Bill Long          R   7   3   1   0   0   0   0   1   1   0   0  .429  .500  .571 
Scott McGregor     L   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Moore         R   4   2   0   0   1   1   0   1   0   0   0  .500  .600 1.250 
Mike Morgan        R  10   3   1   0   0   3   0   2   0   1   0  .300  .462  .400 
Jack Morris        R   9   2   0   0   0   0   0   5   0   1   0  .222  .222  .222 
Gene Nelson        R   3   2   1   0   0   0   0   0   0   1   0  .667  .667 1.000 
Jose Nunez         R   5   3   0   0   0   2   0   0   0   2   0  .600  .714  .600 
Dennis Rasmussen   L   8   2   0   1   0   0   0   2   0   0   0  .250  .250  .500 
Bret Saberhagen    R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Dave J. Schmidt    R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Ken Schrom         R   5   3   1   0   1   1   0   0   0   0   0  .600  .667 1.400 
Mike Smithson      R   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Stewart       R   9   4   0   0   0   2   0   2   0   0   0  .444  .545  .444 
Dave Stieb         R   8   2   2   0   0   1   0   2   0   0   0  .250  .333  .500 
Les Straker        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Sutton         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Frank Tanana       L   8   1   0   0   0   0   0   3   0   1   1  .125  .111  .125 
Mark Thurmond      L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Frank Viola        L   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Duane Ward         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Mike Witt          R   9   1   0   0   0   0   0   2   0   1   0  .111  .111  .111 
Curt Young         L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000
