Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Austin Adams       R   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Cody Anderson      R   3   0   0   0   0   1   0   1   0   0   1  .000  .200  .000 
Chris Archer       R  10   2   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Scott Atchison     R   7   1   0   0   0   2   0   4   0   0   0  .143  .333  .143 
Scott Baker        R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Chris Bassitt      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Trevor Bauer       R  15   4   1   0   0   0   0   3   0   0   0  .267  .267  .333 
Blaine Boyer       R   4   1   0   1   0   1   0   1   0   0   0  .250  .400  .750 
Mark Buehrle       L   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
A.J. Burnett       R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Chris Capuano      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Carlos Carrasco    R  14   4   0   0   0   2   1   6   0   0   0  .286  .375  .286 
Scott Carroll      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Jesse Chavez       R   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Gerrit Cole        R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Johnny Cueto       R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
John Danks         L   9   4   1   0   0   3   1   2   0   0   0  .444  .583  .556 
Wade Davis         R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
R.A. Dickey        R  10   2   1   0   0   2   0   2   0   0   0  .200  .333  .300 
Brian Duensing     L   3   2   0   0   0   2   1   0   0   0   0  .667  .800  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tyler Duffey       R   6   3   2   0   0   0   0   1   0   0   0  .500  .500  .833 
Danny Duffy        L  15   5   0   1   0   0   0   3   1   0   1  .333  .353  .467 
Nathan Eovaldi     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Scott Feldman      R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Casey Fien         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Yovani Gallardo    R   5   3   0   1   0   0   0   1   0   0   0  .600  .600 1.000 
Kyle Gibson        R  19   2   1   0   0   1   0   5   0   0   0  .105  .150  .158 
Miguel Gonzalez    R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
J.R. Graham        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Shane Greene       R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Jeremy Guthrie     R  14   6   3   1   0   0   0   2   1   0   2  .429  .412  .786 
Jesse Hahn         R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Cole Hamels        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
J.A. Happ          L   6   3   1   0   0   1   0   1   0   0   0  .500  .571  .667 
Kelvin Herrera     R   6   4   1   0   0   0   0   1   0   0   0  .667  .667  .833 
Phil Hughes        R  13   5   2   0   0   1   0   5   0   0   1  .385  .400  .538 
Drew Hutchison     R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Hisashi Iwakuma    R   7   3   1   0   1   1   0   2   0   0   0  .429  .500 1.000 
Kevin Jepsen       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ubaldo Jimenez     R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Erik Johnson       R   9   3   1   0   0   0   0   3   0   0   0  .333  .333  .444 
Nathan Karns       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Scott Kazmir       L   3   0   0   0   0   3   0   2   0   0   0  .000  .500  .000 
Dallas Keuchel     L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Corey Kluber       R  15   5   1   0   0   0   0   6   0   0   0  .333  .333  .400 
Hiroki Kuroda      R   6   2   0   0   0   0   0   3   0   0   0  .333  .333  .333 
John Lackey        R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
C.C. Lee           R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jon Lester         L   9   5   0   0   3   0   0   1   0   0   0  .556  .556 1.556 
Colby Lewis        R  10   3   1   0   0   2   0   0   0   0   0  .300  .417  .400 
Matt Lindstrom     R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
F. Liriano         L   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
Mark Lowe          R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Nick Martinez      R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Trevor May         R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Zach McAllister    R  11   5   1   0   1   0   0   3   0   0   0  .455  .455  .818 
Collin McHugh      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Tom Milone         L   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Frankie Montas     R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Franklin Morales   L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hector Noesi       R   9   1   0   0   1   0   0   3   0   0   1  .111  .100  .444 
Ricky Nolasco      R   9   2   1   0   1   0   0   2   0   0   1  .222  .200  .667 
Bud Norris         R   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
B. Oberholtzer     L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Jake Odorizzi      R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Brad Peacock       R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Mike Pelfrey       R  10   4   1   0   1   1   0   0   0   0   0  .400  .455  .800 
Glen Perkins       L   6   2   2   0   0   0   0   1   0   0   0  .333  .333  .667 
Jake Petricka      R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ryan Pressly       R   3   0   0   0   0   1   0   1   0   0   1  .000  .200  .000 
David Price        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Zach Putnam        R   5   1   1   0   0   0   0   4   0   0   0  .200  .200  .400 
Chad Qualls        R   5   1   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Jose Quintana      L  23   8   0   0   0   1   0   5   0   0   0  .348  .375  .348 
David Robertson    R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Danny Salazar      R  21   5   2   0   1   0   0   7   0   0   0  .238  .238  .476 
Chris Sale         L  16   1   0   0   0   1   0  10   0   0   1  .063  .111  .063 
Jeff Samardzija    R  12   1   0   0   0   0   0   4   0   0   0  .083  .083  .083 
Ervin Santana      R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Hector Santiago    L   9   1   0   0   1   0   0   3   0   0   0  .111  .111  .444 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bryan Shaw         R   9   1   1   0   0   0   0   2   0   0   0  .111  .111  .222 
James Shields      R  10   1   0   0   0   0   0   4   0   0   0  .100  .100  .100 
Matt Shoemaker     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joe Smith          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Huston Street      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Anthony Swarzak    R  11   1   0   0   0   1   0   6   0   0   0  .091  .167  .091 
Chris Tillman      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Shawn Tolleson     R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Josh Tomlin        R  11   2   2   0   0   0   0   4   0   0   0  .182  .182  .364 
Michael Tonkin     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jason Vargas       L  14   1   0   0   1   0   0   4   0   0   0  .071  .071  .286 
Yordano Ventura    R  11   1   0   0   0   1   0   4   0   0   0  .091  .167  .091 
Edinson Volquez    R   9   3   1   0   0   2   0   3   0   0   0  .333  .455  .444 
Taijuan Walker     R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Adam Warren        R   7   1   0   1   0   0   0   2   1   0   0  .143  .250  .429 
Jered Weaver       R   5   1   1   0   0   0   0   2   0   0   1  .200  .167  .400 
Tom Wilhelmsen     R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
C.J. Wilson        L   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Chris Young        R  10   1   1   0   0   0   0   3   0   0   0  .100  .100  .200
