Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acevedo       R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Juan Acevedo       R   3   0   0   0   0   1   0   1   1   0   0  .000  .400  .000 
Terry Adams        R  22  11   2   1   1   1   0   2   0   0   0  .500  .522  .818 
A. Alfonseca       R  11   2   2   0   0   0   0   1   0   0   0  .182  .182  .364 
Armando Almanza    L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Carlos Almanzar    R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hector Almonte     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Wilson Alvarez     L   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Brian Anderson     L  20   7   1   0   3   0   0   1   0   0   0  .350  .350  .850 
Jimmy Anderson     L   7   0   0   0   0   2   1   1   0   0   0  .000  .222  .000 
Tony Armas         R  23   6   3   0   0   1   0   4   0   0   0  .261  .292  .391 
Rene Arocha        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bronson Arroyo     R   8   4   0   0   3   0   0   1   0   0   0  .500  .500 1.625 
Andy Ashby         R  44  13   1   0   5   1   0   8   0   0   0  .295  .311  .659 
Pedro Astacio      R  41  11   2   0   2   1   0  11   1   0   0  .268  .302  .463 
Steve Avery        L  18   7   1   1   0   0   0   1   0   0   0  .389  .389  .556 
Luis Ayala         R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Bobby Ayala        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Manny Aybar        R  11   4   0   0   1   1   0   1   0   0   0  .364  .417  .636 
Cory Bailey        R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Willie Banks       R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Brian Barber       R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Rich Batchelor     R   3   1   0   0   0   1   1   2   0   0   0  .333  .500  .333 
Miguel Batista     R  16   8   1   0   2   1   0   2   0   0   0  .500  .529  .938 
Jose Bautista      R   8   2   2   0   0   2   1   2   0   0   0  .250  .400  .500 
Rod Beck           R  16   2   1   0   0   0   0   2   0   0   0  .125  .125  .188 
Josh Beckett       R  29   4   2   0   0   0   0   9   0   0   0  .138  .138  .207 
Matt Beech         L   5   1   0   0   0   0   0   1   1   0   0  .200  .333  .200 
Joe Beimel         L   8   2   0   0   2   1   0   0   0   0   0  .250  .333 1.000 
Stan Belinda       R   9   2   0   0   1   1   1   3   0   0   0  .222  .300  .556 
Rob Bell           R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Alan Benes         R  13   6   1   0   0   2   0   0   0   0   0  .462  .533  .538 
Andy Benes         R  34  10   2   0   3   1   0   4   0   0   1  .294  .306  .618 
Armando Benitez    R   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
Shayne Bennett     R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Kris Benson        R  15   6   3   0   1   1   0   1   0   0   0  .400  .438  .800 
Jason Bere         R  16   4   2   0   1   2   0   5   0   0   0  .250  .333  .563 
Sean Bergman       R  18   3   1   1   0   0   0   2   0   0   0  .167  .167  .333 
Rocky Biddle       R   6   1   1   0   0   1   0   1   1   0   0  .167  .375  .333 
Buddy Black        L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Willie Blair       R  23   9   1   0   3   2   0   2   0   0   0  .391  .440  .826 
Joe Blanton        R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
