Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Rick Aguilera      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Kevin Appier       R  17   4   1   0   1   1   0   3   0   0   0  .235  .278  .471 
Rolando Arrojo     R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Andy Ashby         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bobby Ayala        R  10   5   3   0   0   0   0   3   0   0   0  .500  .500  .800 
Tim Belcher        R   9   1   0   0   0   1   0   3   2   0   0  .111  .333  .111 
Stan Belinda       R   5   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Armando Benitez    R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Jason Bere         R   3   1   0   0   0   1   0   1   1   0   0  .333  .600  .333 
Willie Blair       R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Ricky Bones        R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Shawn Boskie       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Marshall Boze      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Brandenburg   R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Kevin Brown        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Burkett       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Bobby Chouinard    R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Roger Clemens      R  14   2   0   0   0   1   0   7   0   0   0  .143  .200  .143 
David Cone         R   5   1   0   1   0   0   0   0   0   0   0  .200  .200  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Danny Darwin       R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Jason Dickson      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Jerry DiPoto       R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Doug Drabek        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cal Eldred         R   3   1   0   0   0   2   0   2   0   0   0  .333  .600  .333 
Scott Erickson     R   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
Hector Fajardo     R   4   1   0   1   0   0   0   2   0   0   0  .250  .250  .750 
Jeff Fassero       L  15   5   1   0   0   0   0   4   0   0   0  .333  .333  .400 
Alex Fernandez     R   3   1   0   1   0   1   0   1   0   0   0  .333  .500 1.000 
Mike Fetters       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Chuck Finley       L  11   3   1   0   0   0   0   5   0   0   0  .273  .273  .364 
Mark Gardner       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Greg Gohr          R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Tom Gordon         R  16   4   0   0   0   3   0   4   0   0   0  .250  .368  .250 
Jason Grimsley     R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Buddy Groom        L   7   3   2   0   0   0   0   1   0   0   0  .429  .429  .714 
Kevin Gross        R   7   4   1   0   1   0   0   1   0   0   0  .571  .571 1.143 
Eddie Guardado     L  10   1   0   0   0   0   0   2   0   0   0  .100  .100  .100 
Mark Gubicza       R   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 
Chris Haney        L   8   1   0   0   0   0   0   1   0   0   1  .125  .111  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pep Harris         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
S. Hasegawa        R   8   4   3   0   0   1   0   1   0   0   0  .500  .556  .875 
Jimmy Haynes       R  10   3   0   0   1   1   0   2   0   0   0  .300  .364  .600 
Mike Henneman      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ken Hill           R  13   2   0   0   0   0   0   1   0   0   0  .154  .154  .154 
S. Hitchcock       L   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Randy Johnson      L  17   4   1   0   0   0   0   8   0   1   0  .235  .235  .294 
Doug Jones         R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Todd Jones         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Scott Karl         L  12   4   1   0   0   0   0   1   0   1   0  .333  .333  .417 
Steve Karsay       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jimmy Key          L   5   2   1   0   0   1   0   2   0   0   0  .400  .500  .600 
Mark Kiefer        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Rick Krivda        L   6   2   0   0   0   2   0   2   0   0   0  .333  .500  .333 
Mark Langston      L  14   4   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Felipe Lira        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Albie Lopez        R  12   3   0   0   0   1   0   6   0   0   0  .250  .308  .250 
Derek Lowe         R   4   2   0   0   0   0   0   1   1   0   0  .500  .600  .500 
Mike Maddux        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Magnante      L   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pat Mahomes        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Dennis Martinez    R  10   2   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Chuck McElroy      L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Ramiro Mendoza     R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Jose Mercedes      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Jose Mesa          R   5   2   0   0   0   0   0   2   0   0   1  .400  .333  .400 
Angel Miranda      L   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Brian Moehler      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Mohler        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Moore         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jamie Moyer        L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Mike Mussina       R  14   4   0   0   0   1   0   7   0   0   0  .286  .333  .286 
Charles Nagy       R   9   3   1   0   0   1   0   1   0   0   1  .333  .364  .444 
Dan Naulty         R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Jaime Navarro      R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Hideo Nomo         R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Darren Oliver      L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Mike Oquist        R   9   0   0   0   0   2   0   2   0   0   0  .000  .182  .000 
Chan Ho Park       R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Roger Pavlik       R   7   4   1   0   0   1   0   2   0   0   0  .571  .625  .714 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Troy Percival      R   7   0   0   0   0   1   0   5   0   0   0  .000  .125  .000 
Matt Perisho       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Andy Pettitte      L   9   0   0   0   0   1   0   3   0   0   0  .000  .100  .000 
H. Pichardo        R   9   3   0   1   0   0   0   1   0   0   0  .333  .333  .556 
Eric Plunk         R   6   2   0   1   0   0   0   2   0   0   0  .333  .333  .667 
Mike Potts         L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Ariel Prieto       R  11   5   1   0   0   0   0   2   0   0   0  .455  .455  .545 
Brad Radke         R  12   6   1   0   0   0   0   3   0   0   0  .500  .500  .583 
Carlos Reyes       R   7   3   0   0   1   0   0   2   0   0   0  .429  .429  .857 
Arthur Rhodes      L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Todd Ritchie       R   3   2   0   0   1   1   0   1   0   0   0  .667  .750 1.667 
Rich Robertson     L   9   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
F. Rodriguez       R  17   4   2   0   0   0   0   1   0   1   0  .235  .235  .353 
Kenny Rogers       L   4   1   1   0   0   0   0   3   0   0   0  .250  .250  .500 
Bret Saberhagen    R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Scott Sanders      R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Aaron Sele         R   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
H. Slocumb         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Aaron Small        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
John Snyder        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Sparks       R  10   5   1   0   1   0   0   0   0   0   0  .500  .500  .900 
Paul Spoljaric     L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Dennis Springer    R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Kevin Tapani       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Telgheder     R   7   1   0   1   0   1   0   1   0   0   0  .143  .250  .429 
Bob Tewksbury      R  10   4   0   0   1   0   0   1   0   0   1  .400  .364  .700 
John Thomson       R   2   0   0   0   0   1   0   0   0   0   1  .000  .250  .000 
Mike Trombley      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ismael Valdez      R   5   2   0   1   0   1   0   1   0   0   0  .400  .500  .800 
Julio Valera       R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Todd Van Poppel    R   7   3   3   0   0   1   0   2   0   0   0  .429  .500  .857 
Randy Veres        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ron Villone        L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tim Wakefield      R  17   6   1   0   0   1   0   2   0   0   1  .353  .368  .412 
John Wasdin        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jarrod Washburn    L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Allen Watson       L   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Bob Welch          R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Bob Wells          R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Don Wengert        R  10   3   1   0   0   0   0   2   0   0   0  .300  .300  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Wickman        R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Bobby Witt         R  14   3   0   0   0   1   0   2   0   0   0  .214  .267  .214 
Bob Wolcott        R   6   3   2   0   0   0   0   2   0   0   0  .500  .500  .833
