Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bronson Arroyo     R  28   6   2   0   1   2   2   8   0   1   1  .214  .258  .393 
John Axford        R   7   4   0   0   0   0   0   2   0   0   0  .571  .571  .571 
Luis Ayala         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Danys Baez         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Homer Bailey       R  13   2   0   0   0   0   0   2   0   0   0  .154  .154  .154 
Anthony Bass       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Miguel Batista     R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Matt Belisle       R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Heath Bell         R   6   0   0   0   0   3   0   3   1   1   0  .000  .400  .000 
Brad Bergesen      R   9   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
R. Betancourt      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chad Billingsley   R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mitchell Boggs     R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dave Borkowski     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Bray          L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jonathan Broxton   R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Taylor Buchholz    R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Mark Buehrle       L  15   6   1   0   0   1   0   2   0   0   0  .400  .438  .467 
M. Bumgarner       L   7   2   2   0   0   1   1   4   0   0   0  .286  .375  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
A.J. Burnett       R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Sean Burnett       L   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
David Bush         R  22   3   0   0   1   0   0   0   0   1   1  .136  .130  .273 
Trevor Cahill      R   8   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Matt Cain          R  13   2   0   0   0   0   0   5   0   0   0  .154  .154  .154 
Shawn Camp         R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Matt Capps         R   4   3   1   0   0   0   0   0   0   1   0  .750  .750 1.000 
Chris Capuano      L  29   7   2   1   2   1   0   4   0   0   0  .241  .267  .586 
Fausto Carmona     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Chris Carpenter    R  26   5   1   0   1   1   0   4   0   0   0  .192  .222  .346 
Jhoulys Chacin     R   5   1   0   1   0   1   0   2   0   0   1  .200  .286  .600 
Aroldis Chapman    L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tyler Chatwood     R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Brandon Claussen   L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Roger Clemens      R   6   1   0   0   1   0   0   3   0   1   0  .167  .167  .667 
Tyler Clippard     R   6   4   1   0   0   1   0   1   0   0   0  .667  .714  .833 
Todd Coffey        R   9   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Bartolo Colon      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Jose Contreras     R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Aaron Cook         R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
F. Cordero         R   9   0   0   0   0   1   0   3   0   0   0  .000  .100  .000 
