Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alfredo Aceves     R   3   0   0   0   0   0   0   2   1   0   0  .000  .250  .000 
Al Alburquerque    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Cody Allen         R   9   4   2   0   0   0   0   2   0   0   0  .444  .444  .667 
Chris Archer       R   9   3   1   0   0   0   0   2   0   0   0  .333  .333  .444 
Jake Arrieta       R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Scott Atchison     R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Burke Badenhop     R   8   4   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Homer Bailey       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Grant Balfour      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Blake Beavan       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Erik Bedard        L  10   2   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Joe Beimel         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Blanton        R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeremy Bonderman   R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Blaine Boyer       R   5   2   2   0   0   0   0   0   0   0   0  .400  .400  .800 
Brad Brach         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Zach Britton       L   7   3   0   0   0   1   0   2   0   0   0  .429  .500  .429 
Jonathan Broxton   R   3   2   0   0   1   0   0   1   1   0   0  .667  .750 1.667 
Clay Buchholz      R   5   1   1   0   0   1   1   1   0   0   0  .200  .333  .400 
Mark Buehrle       L   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
M. Bumgarner       L   8   2   0   0   0   2   0   2   0   0   0  .250  .400  .250 
A.J. Burnett       R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Matt Cain          R   5   0   0   0   0   1   0   3   0   0   0  .000  .167  .000 
Chris Capuano      L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Fausto Carmona     R   5   4   3   0   0   0   0   0   0   0   0  .800  .800 1.400 
Carlos Carrasco    R   9   4   1   0   0   1   1   3   0   0   0  .444  .500  .556 
Brett Cecil        L  10   2   0   0   1   0   0   5   0   0   0  .200  .200  .500 
Bruce Chen         L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Wei-Yin Chen       L  14   3   0   0   0   0   0   4   0   0   0  .214  .214  .214 
Paul Clemens       R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Alex Cobb          R  19   3   0   0   0   0   0   5   0   0   0  .158  .158  .158 
Gerrit Cole        R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Adam Conley        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Aaron Cook         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Jarred Cosart      R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Neal Cotts         L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jesse Crain        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Aaron Crow         R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
John Danks         L   8   2   0   0   0   1   0   3   0   0   0  .250  .333  .250 
Yu Darvish         R  16   3   1   0   1   3   0  11   0   0   0  .188  .316  .438 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wade Davis         R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Dane de la Rosa    R   3   1   0   0   0   1   0   1   0   0   1  .333  .400  .333 
A. DeSclafani      R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Cole De Vries      R   6   2   1   0   1   1   0   0   0   0   0  .333  .429 1.000 
R.A. Dickey        R  22   6   2   1   1   0   0   6   0   0   0  .273  .273  .591 
Felix Doubront     L   6   2   0   0   0   2   0   1   0   0   0  .333  .500  .333 
Brian Duensing     L  10   3   0   0   1   0   0   2   0   0   0  .300  .300  .600 
Danny Duffy        L   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Jerad Eickhoff     R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Roenis Elias       L   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Nathan Eovaldi     R  11   4   1   0   0   0   0   0   0   0   1  .364  .333  .455 
Marco Estrada      R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Danny Farquhar     R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Scott Feldman      R  13   5   2   0   0   4   0   1   0   0   0  .385  .529  .538 
Josh Fields        R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Casey Fien         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brandon Finnegan   L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Doug Fister        R   6   4   0   0   1   0   0   0   0   0   0  .667  .667 1.167 
Gavin Floyd        R   5   1   0   0   0   0   0   2   1   0   0  .200  .333  .200 
Jason Frasor       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ernesto Frieri     R   5   2   1   0   0   0   0   2   1   0   0  .400  .500  .600 
Charlie Furbush    L   3   1   0   0   1   2   2   0   0   0   0  .333  .600 1.333 
Freddy Garcia      R   4   3   0   0   2   1   0   0   0   0   0  .750  .800 2.250 
Matt Garza         R   7   1   0   0   1   1   0   1   0   0   0  .143  .250  .571 
Kevin Gausman      R  12   3   0   0   1   0   0   2   0   0   0  .250  .250  .500 
Steve Geltz        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Kyle Gibson        R   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
Brandon Gomes      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeanmar Gomez      R   5   1   0   1   0   1   0   0   0   0   0  .200  .333  .600 
Gio Gonzalez       L   4   2   0   0   0   2   0   1   0   0   0  .500  .667  .500 
Miguel Gonzalez    R  13   6   0   0   0   1   0   3   0   0   0  .462  .500  .462 
Kendall Graveman   R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Jon Gray           R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 
Shane Greene       R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Zack Greinke       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Justin Grimm       R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Jeremy Guthrie     R  11   4   2   0   0   0   0   0   0   0   1  .364  .333  .545 
Juan Gutierrez     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jesse Hahn         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Brad Hand          L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tommy Hanson       R   6   2   1   0   0   0   0   3   0   0   0  .333  .333  .500 
J.A. Happ          L  22   5   2   0   1   1   0   6   0   0   0  .227  .261  .455 
Aaron Harang       R  13   3   0   0   2   0   0   3   0   0   0  .231  .231  .692 
Dan Haren          R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Lucas Harrell      R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Matt Harrison      L  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
LaTroy Hawkins     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
J. Hellickson      R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Liam Hendriks      R  12   3   0   0   1   0   0   3   2   0   0  .250  .357  .500 
Felix Hernandez    R  33   7   1   0   1   0   0  11   2   0   0  .212  .257  .333 
Luke Hochevar      R   7   3   1   0   1   0   0   0   0   0   0  .429  .429 1.000 
Derek Holland      L  16   5   0   0   4   2   0   3   0   0   0  .313  .389 1.063 
Greg Holland       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Phil Hughes        R  15   8   4   1   1   1   0   3   0   0   0  .533  .563 1.133 
Philip Humber      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Tommy Hunter       R   8   3   1   0   1   1   0   2   0   0   0  .375  .444  .875 
Drew Hutchison     R   9   4   2   0   0   0   0   3   0   0   0  .444  .444  .667 
Hisashi Iwakuma    R  30  12   5   0   4   0   0   7   0   0   0  .400  .400  .967 
Casey Janssen      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Kevin Jepsen       R   7   2   2   0   0   1   0   3   0   0   0  .286  .375  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ubaldo Jimenez     R  13   4   0   0   1   2   0   1   0   0   1  .308  .375  .538 
Nathan Karns       R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Scott Kazmir       L   6   0   0   0   0   1   0   5   0   0   0  .000  .143  .000 
Shawn Kelley       R   6   3   0   0   2   0   0   2   0   0   0  .500  .500 1.500 
Joe Kelly          R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dallas Keuchel     L  13   6   1   0   1   0   0   3   0   0   0  .462  .462  .769 
Michael Kirkman    L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Corey Kluber       R  12   4   1   0   1   0   0   3   0   0   0  .333  .333  .667 
Tom Koehler        R   8   3   2   1   0   0   0   1   1   0   0  .375  .444  .875 
Michael Kohn       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Hiroki Kuroda      R   9   2   0   0   0   1   0   3   0   0   0  .222  .300  .222 
John Lackey        R   4   1   1   0   0   1   0   1   1   0   0  .250  .500  .500 
Aaron Laffey       L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Mat Latos          R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Wade LeBlanc       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dominic Leone      R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Jon Lester         L  13   2   0   0   0   2   0   3   0   0   0  .154  .267  .154 
Colby Lewis        R   6   3   1   1   0   0   0   0   1   0   1  .500  .500 1.000 
Tim Lincecum       R   5   1   0   1   0   1   0   3   0   0   0  .200  .333  .600 
