Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Ashby         R   8   2   0   0   2   0   0   1   0   0   0  .250  .250 1.000 
Paul Assenmacher   L   8   4   3   0   0   2   0   1   0   0   0  .500  .600  .875 
Steve Avery        L  14   5   1   0   1   2   0   1   0   0   0  .357  .438  .643 
Bobby Ayala        R   5   1   0   1   0   0   0   1   0   0   0  .200  .200  .600 
Brian Barnes       L  21   2   0   0   0   3   0   8   0   0   0  .095  .208  .095 
Rod Beck           R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Tim Belcher        R  12   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Stan Belinda       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Andy Benes         R  12   2   0   0   0   0   0   5   0   0   0  .167  .167  .167 
Mike Bielecki      R  15   5   1   1   0   0   0   1   0   0   0  .333  .333  .533 
Buddy Black        L   8   3   2   0   1   0   0   0   0   0   0  .375  .375 1.000 
Willie Blair       R   6   2   1   0   0   0   0   0   0   0   1  .333  .286  .500 
Shawn Boskie       R   9   2   0   0   2   2   0   2   1   0   0  .222  .417  .889 
Ryan Bowen         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jeff Brantley      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kevin Brown        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Tom Browning       L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Dave Burba         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Burkett       R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
Tom Candiotti      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rafael Carmona     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cris Carpenter     R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Frank Castillo     R  15   4   1   0   0   0   0   3   0   0   0  .267  .267  .333 
Jim Clancy         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
David Cone         R  10   2   1   0   0   0   0   5   0   0   1  .200  .182  .300 
Steve Cooke        L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Rheal Cormier      L   6   3   1   0   0   0   0   0   0   1   0  .500  .500  .667 
Jose DeLeon        R   5   2   1   0   0   2   0   1   0   0   0  .400  .571  .600 
Jim Deshaies       L  13   6   1   0   0   0   0   1   0   0   0  .462  .462  .538 
Rob Dibble         R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Kelly Downs        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Drabek        R  13   4   0   0   0   0   0   5   0   0   0  .308  .308  .308 
Dave Eiland        R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Jeff Fassero       L  10   4   1   0   0   1   0   2   0   0   0  .400  .455  .500 
Sid Fernandez      L  13   3   0   0   0   2   0   6   0   0   0  .231  .333  .231 
Chuck Finley       L   9   4   1   0   0   0   0   3   0   0   0  .444  .444  .556 
Dave Fleming       L   4   1   0   0   0   1   1   2   0   0   0  .250  .400  .250 
John Franco        L   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Mark Gardner       R   9   2   0   0   1   0   0   2   0   0   0  .222  .222  .556 
Tom Glavine        L  14   2   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dwight Gooden      R   8   1   0   0   0   0   0   4   0   0   0  .125  .125  .125 
Jim Gott           R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Jason Grimsley     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kevin Gross        R  11   4   1   0   0   1   0   0   0   0   0  .364  .417  .455 
Jose Guzman        R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Chris Hammond      L   4   2   1   0   1   2   0   1   0   0   0  .500  .667 1.500 
Chris Haney        L   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000 
Pete Harnisch      R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Greg Harris        R   6   3   0   0   2   0   0   1   0   0   0  .500  .500 1.500 
Butch Henry        L   6   1   0   0   0   1   0   3   0   0   0  .167  .286  .167 
Xavier Hernandez   R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Orel Hershiser     R   8   2   1   0   0   2   0   2   0   0   0  .250  .400  .375 
Greg Hibbard       L   5   3   1   0   2   1   1   0   0   0   0  .600  .667 2.000 
Bryan Hickerson    L  10   2   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ken Hill           R  22   4   1   0   2   1   0   1   0   0   0  .182  .217  .500 
Eric Hillman       L   9   3   2   0   1   0   0   2   0   0   0  .333  .333  .889 
Jay Howell         R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Bruce Hurst        L  18   5   2   0   1   1   0   2   0   0   0  .278  .316  .556 
Jeff Innis         R   7   0   0   0   0   1   0   2   1   0   0  .000  .222  .000 
Danny Jackson      L   8   4   0   0   1   1   0   2   0   0   0  .500  .556  .875 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Michael Jackson    R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Randy Johnson      L   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Barry Jones        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jimmy Jones        R   4   3   2   0   0   0   0   0   0   0   0  .750  .750 1.250 
Darryl Kile        R  10   1   1   0   0   0   0   0   0   0   0  .100  .100  .200 
Les Lancaster      R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Bill Landrum       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Mark Langston      L   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Craig Lefferts     L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Greg Maddux        R  26   4   1   0   0   0   0   5   0   0   0  .154  .154  .192 
Mike Maddux        R   4   1   1   0   0   0   0   3   0   0   0  .250  .250  .500 
Joe Magrane        L   8   5   1   0   1   1   1   0   0   0   0  .625  .667 1.125 
Dennis Martinez    R  19   2   0   1   0   2   0   3   0   0   0  .105  .190  .211 
Pedro Martinez     L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Ramon Martinez     R   9   4   2   0   0   0   0   1   0   0   0  .444  .444  .667 
Roger Mason        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Chuck McElroy      L   7   1   0   0   1   1   0   0   0   0   0  .143  .250  .571 
Kent Mercker       L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Mike Morgan        R  23   5   2   0   0   0   0   3   0   0   0  .217  .217  .304 
Randy Myers        L   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Nabholz      L  22   6   2   0   0   2   0   0   0   1   0  .273  .333  .364 
Bob Ojeda          L  10   6   0   0   1   0   0   0   0   0   0  .600  .600  .900 
Omar Olivares      R  11   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave Otto          L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bob Patterson      L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
