Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Tony Armas         R   6   0   0   0   0   1   0   3   0   0   1  .000  .125  .000 
Josh Beckett       R   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
Kris Benson        R  12   3   1   0   0   0   0   4   0   0   0  .250  .250  .333 
Dewon Brazelton    R   3   2   0   0   0   2   0   1   0   0   0  .667  .800  .667 
A.J. Burnett       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Paul Byrd          R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Chris Carpenter    R   5   1   0   0   0   2   0   3   0   0   0  .200  .429  .200 
Shawn Chacon       R  11   3   2   0   0   4   0   2   0   0   0  .273  .467  .455 
Roger Clemens      R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Jose Contreras     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Chad Cordero       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jeff D'Amico       R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Jason Davis        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Zach Day           R   6   3   0   0   1   1   0   0   1   0   0  .500  .625 1.000 
Mike DeJean        R   4   2   1   0   0   2   1   0   0   0   0  .500  .667  .750 
Ryan Dempster      R   7   1   0   0   0   0   0   3   0   1   0  .143  .143  .143 
Adam Eaton         R  12   4   1   0   0   1   0   3   0   0   0  .333  .385  .417 
Josh Fogg          R  10   2   1   0   0   2   0   5   0   0   0  .200  .333  .300 
John Foster        L   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Fuentes      L   3   1   0   0   1   1   0   2   0   0   0  .333  .500 1.333 
Freddy Garcia      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Geoff Geary        R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Tom Glavine        L   8   4   2   0   0   0   0   1   0   0   0  .500  .500  .750 
Danny Graves       R  10   3   1   0   1   3   0   1   0   0   0  .300  .462  .700 
Chris Hammond      L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Aaron Harang       R   7   2   2   0   0   0   0   2   0   1   1  .286  .250  .571 
Jimmy Haynes       R   7   3   0   0   1   1   0   0   0   0   0  .429  .500  .857 
Livan Hernandez    R  12   3   0   0   1   1   0   2   0   0   0  .250  .308  .500 
R. Hernandez       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jason Jennings     R   9   3   1   0   1   3   0   2   0   0   0  .333  .500  .778 
Jason Johnson      R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Todd Jones         R   5   1   1   0   0   2   1   2   0   0   0  .200  .429  .400 
Byung-Hyun Kim     R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Sun-Woo Kim        R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Matt Kinney        R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Mike Koplove       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Lackey        R   4   1   0   0   0   1   0   2   1   0   0  .250  .500  .250 
Brian Lawrence     R   8   1   1   0   0   0   0   1   1   0   0  .125  .222  .250 
Al Levine          R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brad Lidge         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Cory Lidle         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose Lima          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Scott Linebrink    R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Esteban Loaiza     R   6   2   2   0   0   0   0   1   0   0   0  .333  .333  .667 
Greg Maddux        R   7   0   0   0   0   0   0   2   1   0   0  .000  .125  .000 
Jason Marquis      R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Kent Mercker       L   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Jose Mesa          R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Wade Miller        R  10   2   1   0   0   2   0   6   0   0   0  .200  .333  .300 
Kevin Millwood     R   7   0   0   0   0   2   0   1   0   0   0  .000  .222  .000 
Brian Moehler      R   5   3   0   1   0   0   0   0   0   0   0  .600  .600 1.000 
Matt Morris        R  13   3   1   0   0   1   0   6   0   0   0  .231  .286  .308 
Brett Myers        R  15   5   0   0   1   1   0   5   0   0   0  .333  .375  .533 
Tomo Ohka          R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Russ Ortiz         R  17   8   0   0   1   1   0   3   0   0   1  .471  .474  .647 
Roy Oswalt         R   8   3   0   1   0   1   0   4   0   0   0  .375  .444  .625 
Vicente Padilla    R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Carl Pavano        R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Jake Peavy         R   9   1   1   0   0   0   0   2   0   0   0  .111  .111  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Redding        R  10   2   1   0   1   2   0   1   0   0   0  .200  .333  .600 
Chris Reitsma      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Shane Reynolds     R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
John Riedling      R   2   0   0   0   0   3   0   1   1   0   0  .000  .667  .000 
Jason Schmidt      R  13   0   0   0   0   1   0   8   0   0   1  .000  .067  .000 
Jae Weong Seo      R  12   4   1   0   1   0   0   3   0   0   0  .333  .333  .667 
Ben Sheets         R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
J. Simontacchi     R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
John Smoltz        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ian Snell          R   5   2   0   0   0   0   0   3   0   0   0  .400  .400  .400 
Tim Stauffer       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ricky Stone        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeff Suppan        R   5   4   2   0   0   0   0   0   0   0   0  .800  .800 1.200 
John Thomson       R   6   1   0   0   1   3   0   3   0   0   0  .167  .444  .667 
Brett Tomko        R  15   5   1   0   1   1   1   6   1   0   0  .333  .412  .600 
Salomon Torres     R   7   2   0   0   0   2   1   1   0   0   0  .286  .444  .286 
Steve Trachsel     R   7   1   1   0   0   3   0   2   0   0   1  .143  .364  .286 
Ismael Valdez      R   4   2   1   0   0   0   0   2   0   0   0  .500  .500  .750 
Todd Van Poppel    R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Claudio Vargas     R   6   2   1   0   0   4   0   3   0   0   0  .333  .600  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Javier Vazquez     R  13   0   0   0   0   1   0   6   0   0   0  .000  .071  .000 
David Weathers     R   6   3   0   0   1   0   0   2   0   0   0  .500  .500 1.000 
Brandon Webb       R  11   5   1   0   1   4   0   2   0   0   0  .455  .600  .818 
Kip Wells          R  15   4   3   0   1   3   0   4   0   0   0  .267  .389  .667 
Woody Williams     R  11   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Paul Wilson        R   7   4   0   0   2   2   0   0   0   0   0  .571  .667 1.429 
Tim Worrell        R   4   2   0   0   1   0   0   2   0   0   0  .500  .500 1.250 
Jamey Wright       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jaret Wright       R   4   0   0   0   0   2   0   1   0   1   0  .000  .333  .000 
Victor Zambrano    R   6   3   2   0   0   3   0   0   0   0   0  .500  .667  .833
