Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Nathan Adcock      R   3   1   0   0   0   2   1   0   0   0   0  .333  .600  .333 
Jeremy Affeldt     L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Jose Alvarez       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
R.J. Alvarez       R   3   1   0   0   0   0   0   1   0   0   1  .333  .250  .333 
Brett Anderson     L  16   1   0   0   0   1   0   5   0   0   0  .063  .118  .063 
Chris Archer       R   8   2   1   0   0   2   0   4   0   0   0  .250  .400  .375 
Jake Arrieta       R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Bronson Arroyo     R  14   8   3   0   4   1   0   0   0   0   0  .571  .600 1.643 
Scott Atchison     R   5   2   0   0   0   1   1   1   0   0   0  .400  .500  .400 
John Axford        R   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
Luis Ayala         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Burke Badenhop     R   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Homer Bailey       R   8   3   0   1   0   3   0   2   0   0   0  .375  .545  .625 
Scott Baker        R  23   4   2   0   0   3   0   8   1   0   0  .174  .296  .261 
John Bale          L   3   1   0   0   0   1   0   0   1   0   0  .333  .600  .333 
Grant Balfour      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Brian Bannister    R  13   1   0   0   0   2   0   2   0   0   0  .077  .200  .077 
Daniel Bard        R   5   2   1   0   0   0   0   1   1   0   0  .400  .500  .600 
Brian Bass         R   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Miguel Batista     R   7   5   3   0   1   1   0   1   0   0   0  .714  .750 1.571 
