Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  21   3   1   0   1   4   1   2   0   0   0  .143  .280  .333 
Tom Acker          R  22   7   2   2   0   1   0   3   0   1   0  .318  .348  .591 
Craig Anderson     R   9   3   1   0   0   1   0   2   0   0   0  .333  .400  .444 
Bob Anderson       R  36  16   3   0   1   6   0   6   0   0   0  .444  .524  .611 
Johnny Antonelli   L  77  28   4   2   1   3   1   6   0   1   0  .364  .388  .506 
Steve Arlin        R   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Gerry Arrigo       L  20  10   1   0   1   3   0   1   0   0   0  .500  .565  .700 
Luis Arroyo        L  18   6   2   0   0   1   0   1   0   0   0  .333  .368  .444 
Jack Baldschun     R  30   7   0   0   0   6   4   2   0   0   0  .233  .361  .233 
Steve Barber       L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Curt Barclay       R   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
Jim Barr           R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ed Bauta           R   8   3   2   0   0   2   0   1   0   0   0  .375  .500  .625 
Larry Bearnarth    R  13   6   0   0   1   2   0   3   0   1   0  .462  .533  .692 
Bo Belinsky        L   6   4   0   1   0   0   0   0   1   0   0  .667  .714 1.000 
Dennis Bennett     L  16   6   3   0   0   0   0   1   1   0   0  .375  .412  .563 
Don Bessent        R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Jim Bethke         R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Jack Billingham    R  17   6   0   0   1   1   1   1   0   0   0  .353  .389  .529 
Joe Black          R   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wade Blasingame    L  37  14   1   1   3   2   1   5   0   0   0  .378  .410  .703 
Bobby Bolin        R  52  22   2   1   2   3   1   9   1   0   0  .423  .464  .615 
Bill Bonham        R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
John Boozer        R  14   7   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Pedro Borbon       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
