Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Antonio Bastardo   L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Miguel Batista     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chad Billingsley   R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Nick Blackburn     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Tyler Clippard     R   4   0   0   0   0   1   0   4   0   0   0  .000  .200  .000 
F. Cordero         R   6   1   0   0   1   0   0   3   0   0   0  .167  .167  .667 
Zack Greinke       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Roy Halladay       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cole Hamels        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jason Hammel       R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
J.A. Happ          L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Clay Hensley       R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Felix Hernandez    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Luke Hochevar      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ubaldo Jimenez     R   8   2   0   0   0   0   0   4   0   0   0  .250  .250  .250 
Clayton Kershaw    L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
John Lannan        L   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Cliff Lee          L   5   2   2   0   0   0   0   1   0   0   0  .400  .400  .800 
Tim Lincecum       R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Charlie Morton     R   2   0   0   0   0   1   1   1   0   0   1  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Nolasco      R   7   2   0   0   0   2   0   1   0   0   0  .286  .444  .286 
Vicente Padilla    R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Bobby Parnell      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
F. Rodriguez       R   4   1   0   0   1   0   0   3   0   0   0  .250  .250 1.000 
Brian Sanches      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
James Shields      R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Justin Verlander   R   6   1   0   0   0   0   0   2   1   0   0  .167  .286  .167 
Chris Volstad      R   6   1   0   0   0   1   0   3   0   0   0  .167  .286  .167
