Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dan Bankhead       R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Vern Bickford      R   9   2   1   0   0   0   0   0   0   0   0  .222  .222  .333 
Howie Fox          R   6   2   0   0   0   3   0   2   1   0   0  .333  .600  .333 
Frank Hiller       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Larry Jansen       R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Jack Kramer        R   4   2   0   1   0   1   0   0   0   0   0  .500  .600 1.000 
Doyle Lade         R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Russ Meyer         R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Red Munger         R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Don Newcombe       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bud Podbielan      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Bob Rush           R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Johnny Sain        R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Gerry Staley       R   9   1   0   0   0   0   0   2   1   0   0  .111  .200  .111 
Herm Wehmeier      R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500
