Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  16   0   0   0   0   1   0   1   0   0   0  .000  .059  .000 
Mark Acre          R   5   2   0   0   0   0   0   2   1   1   0  .400  .500  .400 
Rick Aguilera      R  15   7   1   1   0   1   1   1   0   0   0  .467  .500  .667 
Scott Aldred       L   4   3   2   0   1   1   0   0   0   0   0  .750  .800 2.000 
Gerald Alexander   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brian Anderson     L   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Luis Andujar       R   3   1   1   0   0   0   0   1   0   1   0  .333  .333  .667 
Kevin Appier       R  44  10   4   0   0   4   0   5   0   0   0  .227  .292  .318 
Rolando Arrojo     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Andy Ashby         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Paul Assenmacher   L   6   2   0   0   0   3   0   3   0   0   0  .333  .556  .333 
Pedro Astacio      R   6   1   0   0   0   1   0   2   0   0   1  .167  .250  .167 
James Baldwin      R  16   5   1   1   0   1   0   0   0   0   0  .313  .353  .500 
Scott Bankhead     R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
John Barfield      L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Tim Belcher        R  29  12   0   0   1   3   0   0   0   0   0  .414  .469  .517 
Andy Benes         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Armando Benitez    R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jason Bere         R   3   2   0   0   1   2   0   0   0   1   0  .667  .800 1.667 
Sean Bergman       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Bevil        R   2   1   1   0   0   1   0   0   0   0   1  .500  .500 1.000 
Mike Bielecki      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mike Boddicker     R  12   3   0   0   0   1   0   0   0   0   0  .250  .308  .250 
Joe Boever         R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
