Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Glenn Abbott       R   9   1   1   0   0   1   0   0   0   0   0  .111  .200  .222 
Doyle Alexander    R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Neil Allen         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Joaquin Andujar    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Len Barker         R  12   6   1   0   0   0   0   2   0   0   0  .500  .500  .583 
F. Barrios         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jim Beattie        R   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
Steve Bedrosian    R   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
Juan Berenguer     R   6   3   1   0   0   1   0   1   0   0   0  .500  .571  .667 
Jim Bibby          R  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Rich Bordi         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Ken Brett          L   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Warren Brusstar    R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tom Burgmeier      L   5   4   0   0   0   0   0   0   0   0   0  .800  .800  .800 
Tim Burke          R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Rick Camp          R   7   2   1   0   0   2   0   1   0   0   1  .286  .400  .429 
Bill Campbell      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Clancy         R  15   2   0   0   0   2   0   1   0   0   1  .133  .222  .133 
Ken Clay           R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Reggie Cleveland   R   6   3   0   0   0   1   0   0   0   0   1  .500  .500  .500 
Joe Coleman        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Danny Cox          R   8   2   1   0   1   2   1   1   0   0   0  .250  .400  .750 
Victor Cruz        R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Ron Darling        R  15   6   1   0   0   2   0   2   0   0   1  .400  .444  .467 
Bill Dawley        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jose DeLeon        R   5   2   0   1   0   3   0   0   0   0   0  .400  .625  .800 
Richard Dotson     R   8   2   1   0   0   1   0   0   0   0   0  .250  .333  .375 
Dick Drago         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dennis Eckersley   R  21  11   1   1   0   1   0   3   0   0   0  .524  .545  .667 
Dock Ellis         R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Roger Erickson     R  11   2   1   0   0   0   0   0   0   0   0  .182  .182  .273 
Ed Farmer          R   2   0   0   0   0   2   1   2   0   0   0  .000  .500  .000 
Ed Figueroa        R   8   2   1   0   0   1   0   0   0   0   0  .250  .333  .375 
Bob Forsch         R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
John Franco        L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
George Frazier     R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Dave Frost         R   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Rich Gale          R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Wayne Garland      R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Goltz         R  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Dwight Gooden      R  13   3   0   0   0   1   0   2   0   0   0  .231  .286  .231 
Tom Gorman         L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Rich Gossage       R   7   0   0   0   0   4   0   2   0   0   0  .000  .364  .000 
Mike Griffin       R   5   3   2   0   0   2   1   1   0   0   0  .600  .714 1.000 
Cecilio Guante     R   8   2   0   0   0   0   0   0   1   1   0  .250  .333  .250 
Bill Gullickson    R  10   3   1   0   0   4   0   1   0   0   0  .300  .500  .400 
Moose Haas         R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Andy Hawkins       R   7   2   1   0   0   2   0   2   0   0   1  .286  .400  .429 
Dave Heaverlo      R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Orel Hershiser     R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Don Hood           L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Charlie Hough      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom House          L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
LaMarr Hoyt        R   6   1   0   1   0   2   0   0   0   0   0  .167  .375  .500 
Tom Hume           R   7   3   0   0   0   1   0   2   0   0   0  .429  .500  .429 
Bob James          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Fergie Jenkins     R  15   6   1   0   0   2   1   3   0   0   0  .400  .471  .467 
Matt Keough        R  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
Kurt Kepshire      R   6   4   1   0   0   1   0   0   0   0   0  .667  .714  .833 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Kern           R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Bob Lacey          L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
